% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
1.5727,-12.043,3.9821,0.45609,4.157,0.1991,-0.80289,0.83942,51.749
-0.38276,-12.957,-1.2486,-0.111,4.093,-0.06243,-0.86381,0.82724,55.675
-1.2261,-18.102,-10.637,-0.35556,3.7329,-0.53183,-1.2068,0.75864,77.782
-0.34831,-11.216,0.48131,-0.10101,4.2149,0.024066,-0.7477,0.85046,48.192
1.0607,-15.941,2.708,0.3076,3.8841,0.1354,-1.0627,0.78745,68.497
0.30956,-11.788,-0.16435,0.089772,4.1749,-0.0082175,-0.78585,0.84283,50.651
-0.97996,-12.736,-6.4105,-0.28419,4.1085,-0.32052,-0.84906,0.83019,54.725
-1.0491,-23.688,-10.598,-0.30423,3.3418,-0.5299,-1.5792,0.68416,101.79
0.37309,-13.538,-3.5989,0.1082,4.0524,-0.17995,-0.9025,0.8195,58.17
0.47002,-16.124,-2.2878,0.13631,3.8713,-0.11439,-1.075,0.78501,69.285
-1.0524,-17.145,-5.576,-0.30521,3.7998,-0.2788,-1.143,0.7714,73.67
1.498,-14.37,1.7076,0.43442,3.9941,0.08538,-0.95802,0.8084,61.747
-0.90304,-16.188,-1.5277,-0.26188,3.8668,-0.076384,-1.0792,0.78416,69.558
0.16544,-11.181,-1.7654,0.047979,4.2173,-0.088268,-0.74539,0.85092,48.043
-1.2386,-14.415,-4.7524,-0.35919,3.991,-0.23762,-0.96097,0.80781,61.938
1.2026,-17.069,5.5039,0.34875,3.8052,0.2752,-1.1379,0.77242,73.343
0.28548,-15.763,-8.9208,0.082788,3.8966,-0.44604,-1.0508,0.78983,67.73
0.0031528,-11.252,-2.8215,0.00091432,4.2124,-0.14107,-0.75012,0.84998,48.348
0.58522,-8.6615,-3.229,0.16971,4.3937,-0.16145,-0.57743,0.88451,37.217
0.83078,-11.654,-0.61806,0.24093,4.1842,-0.030903,-0.77691,0.84462,50.074
-0.41775,-13.546,-1.2633,-0.12115,4.0518,-0.063167,-0.90307,0.81939,58.206
0.11559,-15.48,0.1675,0.033522,3.9164,0.0083748,-1.032,0.7936,66.516
0.7099,-15.381,0.60197,0.20587,3.9233,0.030098,-1.0254,0.79492,66.09
0.0037527,-12.878,-2.8965,0.0010883,4.0986,-0.14483,-0.8585,0.8283,55.334
-0.27039,-13.476,1.0087,-0.078413,4.0567,0.050436,-0.89842,0.82032,57.907
0.37029,-10.334,-5.147,0.10739,4.2766,-0.25735,-0.68896,0.86221,44.406
-0.67292,-18.491,-4.2884,-0.19515,3.7056,-0.21442,-1.2327,0.75345,79.455
-1.8767,-13.471,-8.4244,-0.54424,4.057,-0.42122,-0.89808,0.82038,57.884
-1.7442,-11.628,-2,-0.50582,4.1861,-0.099999,-0.77517,0.84497,49.962
0.88678,-13.673,-1.4535,0.25716,4.0429,-0.072676,-0.91154,0.81769,58.752
1.0264,-12.925,0.041894,0.29765,4.0953,0.0020947,-0.86165,0.82767,55.537
-0.35958,-12.644,-2.3668,-0.10428,4.1149,-0.11834,-0.84294,0.83141,54.33
-0.25026,-11.721,-3.3351,-0.072576,4.1795,-0.16675,-0.78139,0.84372,50.363
-0.30853,-13.173,-5.5771,-0.089475,4.0779,-0.27886,-0.87822,0.82436,56.605
0.97182,-52.664,-1.4252,0.28183,1.3135,-0.07126,-3.5109,0.29782,226.29
-0.85197,-12.398,-4.9861,-0.24707,4.1322,-0.24931,-0.82651,0.8347,53.271
0.67684,-20.007,1.9442,0.19628,3.5995,0.097208,-1.3338,0.73324,85.969
-1.0326,-17.025,-3.6429,-0.29945,3.8082,-0.18214,-1.135,0.773,73.155
-0.54865,-17.68,0.11986,-0.15911,3.7624,0.0059929,-1.1786,0.76427,75.968
1.5062,-13.837,2.8758,0.43681,4.0314,0.14379,-0.92246,0.81551,59.456
0.16631,-18.492,-6.4058,0.048231,3.7055,-0.32029,-1.2328,0.75343,79.46
-2.1666,-15.085,-6.0205,-0.62831,3.944,-0.30103,-1.0057,0.79886,64.82
-0.63605,-13.912,-4.0412,-0.18445,4.0261,-0.20206,-0.92748,0.8145,59.779
0.42445,-14.663,-6.0562,0.12309,3.9736,-0.30281,-0.97752,0.8045,63.004
0.013365,-20.287,-12.638,0.0038759,3.5799,-0.6319,-1.3525,0.72951,87.17
2.1515,-15.329,5.8018,0.62393,3.927,0.29009,-1.0219,0.79562,65.866
-0.35861,-11.873,-3.2036,-0.104,4.1689,-0.16018,-0.79155,0.84169,51.018
-0.45528,-13.453,-6.1597,-0.13203,4.0583,-0.30798,-0.89684,0.82063,57.805
-0.58344,-12.362,-0.22143,-0.1692,4.1347,-0.011071,-0.82411,0.83518,53.117
0.72604,-12.05,-2.2141,0.21055,4.1565,-0.1107,-0.8033,0.83934,51.776
0.5812,-14.075,1.4204,0.16855,4.0147,0.071018,-0.93834,0.81233,60.48
-0.52989,-12.399,-2.6894,-0.15367,4.1321,-0.13447,-0.8266,0.83468,53.277
1.0081,-16.489,-6.2222,0.29234,3.8458,-0.31111,-1.0993,0.78015,70.852
2.2942,-14.244,-1.2596,0.66533,4.0029,-0.06298,-0.94961,0.81008,61.206
0.27984,-12.666,-0.045631,0.081155,4.1134,-0.0022816,-0.84443,0.83111,54.426
-3.1179,-11.643,-25.099,-0.9042,4.185,-1.255,-0.77619,0.84476,50.028
-0.66731,-19.963,-9.7492,-0.19352,3.6026,-0.48746,-1.3309,0.73383,85.779
0.34852,-10.563,-5.7985,0.10107,4.2606,-0.28992,-0.70418,0.85916,45.387
0.52339,-17.95,2.075,0.15178,3.7435,0.10375,-1.1967,0.76066,77.131
-0.15992,-11.131,-0.52246,-0.046378,4.2208,-0.026123,-0.74208,0.85158,47.83
-0.16387,-20.022,2.5176,-0.047522,3.5984,0.12588,-1.3348,0.73303,86.034
1.2209,-18.108,-4.4732,0.35407,3.7324,-0.22366,-1.2072,0.75856,77.81
0.27022,-17.627,-10.098,0.078363,3.7661,-0.5049,-1.1751,0.76498,75.741
