% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-8.0738,-194.55,-32.203,-2.3414,61.382,-1.6101,-7.7818,0.89624,835.94
20.969,-220.05,24.86,6.081,59.597,1.243,-8.802,0.88264,945.53
-0.59138,-214.61,-153.19,-0.1715,59.977,-7.6595,-8.5844,0.88554,922.15
3.8143,-146.54,-125.93,1.1061,64.742,-6.2964,-5.8618,0.92184,629.68
-17.919,-222.77,-130.3,-5.1965,59.406,-6.5152,-8.9106,0.88119,957.2
11.825,-193.28,-72.026,3.4293,61.47,-3.6013,-7.7314,0.89692,830.52
-8.4907,-195.12,-80.981,-2.4623,61.342,-4.0491,-7.8047,0.89594,838.4
-11.015,-192.16,-72.897,-3.1943,61.549,-3.6448,-7.6865,0.89751,825.71
4.6933,-217.87,-94.744,1.3611,59.749,-4.7372,-8.7148,0.8838,936.17
16.533,-292.12,49.421,4.7946,54.551,2.471,-11.685,0.8442,1255.2
15.196,-190.08,-17.752,4.4067,61.694,-0.88761,-7.6032,0.89862,816.75
-23.477,-242.16,-117.6,-6.8083,58.049,-5.88,-9.6866,0.87085,1040.6
-2.3999,-186.33,-126.66,-0.69598,61.957,-6.3331,-7.4532,0.90062,800.64
-9.8309,-231.62,-228.82,-2.851,58.786,-11.441,-9.2649,0.87647,995.26
-19.187,-184.5,-58.085,-5.5643,62.085,-2.9043,-7.38,0.9016,792.77
7.0234,-210.68,-42.689,2.0368,60.253,-2.1344,-8.427,0.88764,905.25
-13.044,-234.18,-146.42,-3.7828,58.608,-7.321,-9.3671,0.87511,1006.2
-262.61,-1808,-2249,-76.156,-51.56,-112.45,-72.32,0.03573,7768.8
-8.3317,-200.44,-126.18,-2.4162,60.969,-6.3092,-8.0174,0.8931,861.25
4.9309,-200.14,-54.007,1.43,60.99,-2.7003,-8.0056,0.89326,859.99
2.955,-355.61,-3.8151,0.85694,50.107,-0.19076,-14.224,0.81034,1528
-7.9616,-240.79,-118.18,-2.3089,58.145,-5.909,-9.6316,0.87158,1034.7
-8.1201,-161.92,-40.665,-2.3548,63.665,-2.0333,-6.4769,0.91364,695.76
-14.008,-163.59,-87.415,-4.0624,63.549,-4.3707,-6.5437,0.91275,702.94
-5.9027,-286.7,-136.84,-1.7118,54.931,-6.8422,-11.468,0.8471,1231.9
-12.4,-194.75,-65.139,-3.5959,61.367,-3.257,-7.7901,0.89613,836.84
-18.144,-246.97,-122.69,-5.2619,57.712,-6.1343,-9.8787,0.86828,1061.2
8.9734,-166.33,5.8418,2.6023,63.357,0.29209,-6.6532,0.91129,714.7
4.2227,-141.95,-8.3192,1.2246,65.064,-0.41596,-5.678,0.92429,609.94
10.193,-308.99,63.132,2.9559,53.371,3.1566,-12.36,0.83521,1327.7
-9.4044,-200.88,-88.755,-2.7273,60.938,-4.4377,-8.0352,0.89286,863.17
-29.163,-243.77,-42.898,-8.4574,57.936,-2.1449,-9.7508,0.86999,1047.5
-0.19863,-147.82,-62.936,-0.057602,64.653,-3.1468,-5.9129,0.92116,635.17
10.543,-222.12,-36.935,3.0575,59.452,-1.8468,-8.8847,0.88154,954.42
-15.444,-192.32,-15.867,-4.4788,61.538,-0.79337,-7.6928,0.89743,826.38
-41.462,-266.15,-1.8102,-12.024,56.369,-0.090512,-10.646,0.85805,1143.6
3.1249,-259.78,-23.397,0.90623,56.815,-1.1698,-10.391,0.86145,1116.3
-20.558,-224.24,-56.494,-5.9619,59.303,-2.8247,-8.9696,0.88041,963.53
25.268,-319.39,167.85,7.3276,52.643,8.3923,-12.776,0.82966,1372.4
0.95975,-306.78,-58.455,0.27833,53.526,-2.9227,-12.271,0.83639,1318.2
26.073,-294.9,-20.22,7.561,54.357,-1.011,-11.796,0.84272,1267.2
-1.953,-188.17,-10.467,-0.56636,61.828,-0.52333,-7.5268,0.89964,808.55
-21.021,-222.83,-11.199,-6.096,59.402,-0.55993,-8.9134,0.88115,957.5
1.4841,-248.68,-38.444,0.43039,57.593,-1.9222,-9.9471,0.86737,1068.5
10.046,-181.34,-86.282,2.9135,62.306,-4.3141,-7.2538,0.90328,779.22
10.951,-248.07,-92.982,3.1757,57.635,-4.6491,-9.9229,0.86769,1065.9
-18.418,-236.37,-66.056,-5.3412,58.454,-3.3028,-9.455,0.87393,1015.7
-34.022,-275.45,-197.29,-9.8662,55.719,-9.8644,-11.018,0.8531,1183.6
-5.1108,-322.53,-72.007,-1.4821,52.423,-3.6003,-12.901,0.82799,1385.9
-14.155,-240.78,-35.753,-4.105,58.145,-1.7876,-9.6313,0.87158,1034.6
-0.896,-190.36,-45.004,-0.25984,61.675,-2.2502,-7.6145,0.89847,817.97
-8.0669,-215.5,-95.286,-2.3394,59.915,-4.7643,-8.6201,0.88506,926
4.7431,-312.78,-21.015,1.3755,53.105,-1.0508,-12.511,0.83318,1344
11.807,-184.29,-114.63,3.424,62.099,-5.7314,-7.3717,0.90171,791.89
-23.606,-215.03,-149.94,-6.8457,59.948,-7.4969,-8.6011,0.88532,923.95
7.6152,-331.52,-126.92,2.2084,51.794,-6.3461,-13.261,0.82319,1424.5
1.3392,-181.7,-91.685,0.38836,62.281,-4.5843,-7.2678,0.9031,780.73
-6.7162,-239.78,-5.2306,-1.9477,58.215,-0.26153,-9.5912,0.87212,1030.3
-17.869,-255.1,-181.4,-5.182,57.143,-9.07,-10.204,0.86395,1096.1
-7.9448,-374.7,-104.71,-2.304,48.771,-5.2357,-14.988,0.80016,1610.1
-14.484,-232.85,-135.83,-4.2004,58.7,-6.7916,-9.3141,0.87581,1000.5
4.2691,-319.69,-102.61,1.238,52.622,-5.1307,-12.788,0.8295,1373.7
-12.733,-197.41,12.522,-3.6927,61.181,0.62612,-7.8965,0.89471,848.26
-2.126,-472.01,21.519,-0.61655,41.959,1.076,-18.881,0.74826,2028.2
-7.9386,-172.51,-62.004,-2.3022,62.924,-3.1002,-6.9003,0.908,741.25
-19.784,-306.22,-156.01,-5.7373,53.565,-7.8005,-12.249,0.83668,1315.8
18.171,-189.25,29.07,5.2696,61.753,1.4535,-7.5699,0.89907,813.18
-3.4547,-240.39,-56.442,-1.0019,58.172,-2.8221,-9.6158,0.87179,1033
17.359,-181.67,13.105,5.0341,62.283,0.65524,-7.2669,0.90311,780.63
-33.37,-307.55,-111.57,-9.6774,53.471,-5.5785,-12.302,0.83597,1321.5
-14.702,-243.79,-179.62,-4.2637,57.935,-8.9811,-9.7516,0.86998,1047.5
-18.076,-175.23,-36.871,-5.2419,62.734,-1.8435,-7.0092,0.90654,752.94
8.027,-209.37,-35.72,2.3278,60.344,-1.786,-8.3749,0.88833,899.66
-14.325,-201.11,-23.718,-4.1543,60.922,-1.1859,-8.0444,0.89274,864.15
6.511,-218.64,-68.905,1.8882,59.696,-3.4453,-8.7454,0.88339,939.45
4.7124,-214.73,12.747,1.3666,59.969,0.63737,-8.5891,0.88548,922.66
-5.5839,-190.85,44.38,-1.6193,61.64,2.219,-7.634,0.89821,820.07
-5.9682,-144.13,-0.050605,-1.7308,64.911,-0.0025303,-5.7653,0.92313,619.33
-25.928,-340.47,-73.222,-7.5191,51.167,-3.6611,-13.619,0.81842,1462.9
12.233,-156.39,1.292,3.5477,64.052,0.064599,-6.2558,0.91659,672.01
-1.2689,-165.97,-47.76,-0.36797,63.382,-2.388,-6.6387,0.91148,713.14
-4.2972,-343.82,-243.48,-1.2462,50.932,-12.174,-13.753,0.81663,1477.4
-31.893,-190.07,-8.2896,-9.249,61.695,-0.41448,-7.6028,0.89863,816.71
16.995,-310.79,9.9327,4.9285,53.244,0.49664,-12.432,0.83424,1335.4
-7.1791,-289.9,-116.32,-2.0819,54.707,-5.8158,-11.596,0.84539,1245.7
-21.065,-183.67,-10.14,-6.1089,62.143,-0.507,-7.347,0.90204,789.23
-5.5786,-171.12,9.0169,-1.6178,63.022,0.45085,-6.8447,0.90874,735.27
9.3317,-237.71,108.14,2.7062,58.36,5.4072,-9.5085,0.87322,1021.4
-21.973,-211.86,-95.073,-6.3722,60.17,-4.7536,-8.4744,0.88701,910.34
-2.2624,-228.48,-121.1,-0.6561,59.007,-6.0552,-9.1391,0.87815,981.74
-20.973,-138.93,-63.859,-6.0823,65.275,-3.1929,-5.557,0.92591,596.95
-8.2999,-193.2,-180.79,-2.407,61.476,-9.0393,-7.7282,0.89696,830.18
-11.62,-224.14,13.509,-3.3697,59.31,0.67546,-8.9657,0.88046,963.12
9.1496,-222.9,-88.768,2.6534,59.397,-4.4384,-8.9158,0.88112,957.76
-18.491,-171.01,-86.24,-5.3624,63.029,-4.312,-6.8404,0.90879,734.81
-6.2593,-221.43,-23.549,-1.8152,59.5,-1.1774,-8.8572,0.8819,951.46
-3.2956,-190.16,-25.643,-0.95572,61.689,-1.2821,-7.6063,0.89858,817.09
2.9169,-216.45,-7.4562,0.8459,59.849,-0.37281,-8.6579,0.88456,930.05
-0.25213,-183.18,-58.428,-0.073118,62.177,-2.9214,-7.3273,0.9023,787.11
11.493,-225.61,-138.34,3.333,59.208,-6.9168,-9.0242,0.87968,969.4
-14.196,-234.7,-186.26,-4.1169,58.571,-9.3128,-9.3879,0.87483,1008.5
-33.321,-180.26,-191.59,-9.663,62.382,-9.5794,-7.2103,0.90386,774.55
23.604,-384.57,-165.57,6.8451,48.08,-8.2786,-15.383,0.79489,1652.5
7.787,-184.32,-31.047,2.2582,62.098,-1.5524,-7.3728,0.9017,792.01
-14.342,-254.53,-127.76,-4.1591,57.183,-6.3878,-10.181,0.86425,1093.7
-15.971,-224.21,-72.908,-4.6315,59.305,-3.6454,-8.9685,0.88042,963.41
-20.571,-183.31,-79.444,-5.9656,62.168,-3.9722,-7.3324,0.90223,787.66
-8.0914,-192.98,-21.452,-2.3465,61.492,-1.0726,-7.719,0.89708,829.19
-1.917,-168.08,7.8777,-0.55592,63.234,0.39388,-6.7234,0.91036,722.24
1.0397,-149.42,37.434,0.30153,64.54,1.8717,-5.977,0.92031,642.06
16.532,-210.12,-58.389,4.7942,60.292,-2.9195,-8.4048,0.88794,902.86
-11.632,-280.51,-120.62,-3.3733,55.365,-6.0312,-11.22,0.8504,1205.3
-77.413,-444.39,-235.84,-22.45,43.892,-11.792,-17.776,0.76299,1909.5
0.62269,-187.89,-7.6822,0.18058,61.848,-0.38411,-7.5155,0.89979,807.33
20.696,-138.1,-29.877,6.002,65.333,-1.4939,-5.5241,0.92635,593.41
-32.851,-281.89,-16.398,-9.5267,55.267,-0.81989,-11.276,0.84966,1211.3
-15.549,-213.32,-61.011,-4.5091,60.067,-3.0506,-8.5329,0.88623,916.62
13.92,-240.98,10.062,4.0369,58.132,0.5031,-9.6391,0.87148,1035.5
