% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
28.309,-216.78,71.678,8.2097,74.825,3.5839,-7.9866,0.91126,931.48
-6.8897,-233.23,-22.475,-1.998,73.674,-1.1237,-8.5926,0.90453,1002.2
-22.069,-325.83,-191.46,-6.4001,67.192,-9.573,-12.004,0.86662,1400.1
-6.2696,-201.88,8.6636,-1.8182,75.868,0.43318,-7.4377,0.91736,867.46
19.093,-286.94,48.745,5.5369,69.914,2.4372,-10.571,0.88254,1233
5.5721,-212.18,-2.9583,1.6159,75.147,-0.14791,-7.8172,0.91314,911.72
-17.639,-229.25,-115.39,-5.1154,73.953,-5.7694,-8.4459,0.90616,985.05
-18.883,-426.39,-190.76,-5.4762,60.153,-9.5382,-15.709,0.82545,1832.2
6.7157,-243.68,-64.78,1.9475,72.943,-3.239,-8.9775,0.90025,1047.1
8.4603,-290.24,-41.181,2.4535,69.683,-2.059,-10.693,0.88119,1247.1
-18.944,-308.61,-100.37,-5.4937,68.397,-5.0184,-11.37,0.87367,1326.1
26.964,-258.66,30.737,7.8196,71.893,1.5368,-9.5297,0.89411,1111.5
-16.255,-291.38,-27.498,-4.7139,69.603,-1.3749,-10.735,0.88072,1252
2.978,-201.26,-31.776,0.86361,75.912,-1.5888,-7.4147,0.91761,864.77
-22.295,-259.46,-85.544,-6.4654,71.838,-4.2772,-9.5591,0.89379,1114.9
21.647,-307.24,99.071,6.2776,68.493,4.9535,-11.319,0.87423,1320.2
5.1386,-283.73,-160.57,1.4902,70.139,-8.0287,-10.453,0.88386,1219.1
0.056751,-202.53,-50.787,0.016458,75.823,-2.5393,-7.4617,0.91709,870.26
10.534,-155.91,-58.121,3.0548,79.087,-2.9061,-5.7439,0.93618,669.91
14.954,-209.77,-11.125,4.3367,75.316,-0.55625,-7.7282,0.91413,901.34
-7.5195,-243.83,-22.74,-2.1807,72.932,-1.137,-8.9831,0.90019,1047.7
2.0807,-278.64,3.0149,0.6034,70.495,0.15075,-10.266,0.88594,1197.3
12.778,-276.86,10.835,3.7057,70.62,0.54177,-10.2,0.88667,1189.6
0.067548,-231.8,-52.138,0.019589,73.774,-2.6069,-8.5399,0.90511,996
-4.867,-242.57,18.157,-1.4114,73.02,0.90785,-8.937,0.9007,1042.3
6.6653,-186.02,-92.646,1.9329,76.979,-4.6323,-6.8534,0.92385,799.31
-12.113,-332.84,-77.191,-3.5127,66.701,-3.8596,-12.263,0.86375,1430.2
-33.781,-242.48,-151.64,-9.7964,73.026,-7.5819,-8.9335,0.90074,1041.9
-31.395,-209.3,-36,-9.1047,75.349,-1.8,-7.7109,0.91432,899.32
15.962,-246.11,-26.163,4.629,72.772,-1.3082,-9.0674,0.89925,1057.5
18.475,-232.65,0.75409,5.3578,73.715,0.037704,-8.5712,0.90476,999.66
-6.4724,-227.59,-42.603,-1.877,74.068,-2.1302,-8.385,0.90683,977.94
-4.5047,-210.98,-60.031,-1.3064,75.232,-3.0016,-7.7728,0.91364,906.54
-5.5536,-237.12,-100.39,-1.6106,73.402,-5.0194,-8.736,0.90293,1018.9
17.493,-947.95,-25.654,5.0729,23.644,-1.2827,-34.924,0.61195,4073.2
-15.335,-223.16,-89.75,-4.4473,74.379,-4.4875,-8.2216,0.90865,958.89
12.183,-360.13,34.995,3.5331,64.791,1.7497,-13.268,0.85258,1547.4
-18.586,-306.45,-65.572,-5.39,68.548,-3.2786,-11.29,0.87455,1316.8
-9.8757,-318.23,2.1574,-2.864,67.724,0.10787,-11.724,0.86973,1367.4
27.112,-249.07,51.765,7.8626,72.565,2.5883,-9.1761,0.89804,1070.2
2.9937,-332.86,-115.3,0.86816,66.7,-5.7652,-12.263,0.86374,1430.3
-38.998,-271.54,-108.37,-11.31,70.993,-5.4185,-10.004,0.88885,1166.8
-11.449,-250.42,-72.741,-3.3202,72.471,-3.637,-9.226,0.89749,1076
7.6402,-263.93,-109.01,2.2156,71.525,-5.4505,-9.7237,0.89196,1134.1
0.24057,-365.16,-227.49,0.069766,64.439,-11.374,-13.453,0.85052,1569.1
38.726,-275.92,104.43,11.231,70.686,5.2216,-10.165,0.88705,1185.6
-6.4549,-213.72,-57.665,-1.8719,75.04,-2.8832,-7.8738,0.91251,918.32
-8.195,-242.15,-110.87,-2.3765,73.05,-5.5437,-8.9212,0.90088,1040.5
-10.502,-222.51,-3.9857,-3.0456,74.424,-0.19929,-8.1978,0.90891,956.1
13.069,-216.89,-39.853,3.7899,74.818,-1.9927,-7.9908,0.91121,931.96
10.462,-253.35,25.566,3.0339,72.265,1.2783,-9.3341,0.89629,1088.6
-9.538,-223.18,-48.409,-2.766,74.377,-2.4204,-8.2225,0.90864,958.99
18.145,-296.8,-112,5.2621,69.224,-5.6,-10.935,0.8785,1275.3
41.296,-256.39,-22.673,11.976,72.052,-1.1336,-9.4461,0.89504,1101.7
5.0372,-228,-0.82136,1.4608,74.04,-0.041068,-8.3998,0.90667,979.67
-56.123,-209.57,-451.79,-16.276,75.33,-22.589,-7.721,0.91421,900.5
-12.012,-359.33,-175.48,-3.4834,64.847,-8.7742,-13.239,0.8529,1544
6.2734,-190.13,-104.37,1.8193,76.691,-5.2186,-7.0048,0.92217,816.97
9.421,-323.11,37.35,2.7321,67.383,1.8675,-11.904,0.86773,1388.4
-2.8786,-200.36,-9.4042,-0.83481,75.975,-0.47021,-7.3818,0.91798,860.94
-2.9497,-360.4,45.317,-0.8554,64.772,2.2658,-13.278,0.85247,1548.6
21.977,-325.95,-80.517,6.3733,67.184,-4.0259,-12.009,0.86657,1400.6
4.8639,-317.28,-181.76,1.4105,67.79,-9.0881,-11.689,0.87012,1363.3
4.0108,-195.06,-10.277,1.1631,76.346,-0.51384,-7.1866,0.92015,838.17
-1.8856,-243.12,-77.016,-0.54683,72.981,-3.8508,-8.9572,0.90048,1044.7
21.658,-364.51,-129.26,6.2807,64.484,-6.4628,-13.429,0.85078,1566.3
39.661,-361.52,-132.79,11.502,64.694,-6.6396,-13.319,0.85201,1553.4
-1.3468,-453.04,-59.043,-0.39057,58.287,-2.9522,-16.691,0.81455,1946.7
-9.6886,-233.46,-38.643,-2.8097,73.658,-1.9322,-8.601,0.90443,1003.1
25.163,-264.06,29.832,7.2972,71.516,1.4916,-9.7285,0.89191,1134.6
-0.70966,-257.53,-183.83,-0.2058,71.973,-9.1914,-9.488,0.89458,1106.6
4.5772,-175.85,-151.11,1.3274,77.69,-7.5557,-6.4788,0.92801,755.62
-21.503,-267.32,-156.36,-6.2358,71.288,-7.8182,-9.8486,0.89057,1148.6
14.19,-231.94,-86.432,4.1152,73.764,-4.3216,-8.5452,0.90505,996.63
-10.189,-234.14,-97.178,-2.9548,73.61,-4.8589,-8.6262,0.90415,1006.1
-13.218,-230.6,-87.476,-3.8332,73.858,-4.3738,-8.4957,0.9056,990.85
5.6319,-261.44,-113.69,1.6333,71.699,-5.6846,-9.6322,0.89298,1123.4
19.84,-350.55,59.305,5.7535,65.462,2.9652,-12.915,0.8565,1506.3
18.235,-228.09,-21.303,5.2881,74.033,-1.0651,-8.4035,0.90663,980.1
-28.172,-290.6,-141.12,-8.1699,69.658,-7.056,-10.706,0.88104,1248.7
-2.8799,-223.6,-151.99,-0.83517,74.348,-7.5997,-8.2378,0.90847,960.77
-11.797,-277.95,-274.59,-3.4212,70.544,-13.729,-10.24,0.88622,1194.3
-23.024,-221.4,-69.702,-6.6771,74.502,-3.4851,-8.1568,0.90937,951.33
8.4281,-252.81,-51.227,2.4442,72.303,-2.5613,-9.3141,0.89651,1086.3
-15.653,-281.01,-175.7,-4.5394,70.329,-8.7852,-10.353,0.88497,1207.5
-315.13,-2169.6,-2698.8,-91.387,-61.873,-134.94,-79.933,0.11186,9322.6
-9.998,-240.52,-151.42,-2.8994,73.163,-7.5711,-8.8614,0.90154,1033.5
5.9171,-240.17,-64.808,1.716,73.188,-3.2404,-8.8483,0.90169,1032
3.546,-426.73,-4.5781,1.0283,60.129,-0.22891,-15.722,0.82531,1833.6
-9.5539,-288.95,-141.82,-2.7706,69.774,-7.0909,-10.645,0.88172,1241.6
-9.7442,-194.31,-48.798,-2.8258,76.399,-2.4399,-7.1587,0.92046,834.92
-16.81,-196.31,-104.9,-4.8749,76.258,-5.2449,-7.2325,0.91964,843.53
-7.0833,-344.03,-164.21,-2.0542,65.918,-8.2106,-12.675,0.85917,1478.3
-14.88,-233.7,-78.167,-4.3151,73.641,-3.9084,-8.6102,0.90433,1004.2
-21.773,-296.36,-147.22,-6.3143,69.255,-7.3612,-10.919,0.87868,1273.4
10.768,-199.6,7.0102,3.1228,76.028,0.35051,-7.3535,0.91829,857.64
5.0673,-170.34,-9.983,1.4695,78.076,-0.49915,-6.2757,0.93027,731.93
12.231,-370.79,75.758,3.5471,64.045,3.7879,-13.661,0.84822,1593.2
-11.285,-241.06,-106.51,-3.2727,73.126,-5.3253,-8.8811,0.90132,1035.8
-34.996,-292.52,-51.478,-10.149,69.523,-2.5739,-10.777,0.88025,1256.9
-0.23835,-177.39,-75.523,-0.069122,77.583,-3.7762,-6.5353,0.92739,762.21
12.652,-266.54,-44.323,3.669,71.342,-2.2161,-9.8199,0.89089,1145.3
-18.533,-230.79,-19.041,-5.3746,73.845,-0.95204,-8.5026,0.90553,991.66
-49.754,-319.38,-2.1723,-14.429,67.643,-0.10861,-11.767,0.86926,1372.3
3.7499,-311.74,-28.076,1.0875,68.178,-1.4038,-11.485,0.87239,1339.5
-24.67,-269.09,-67.793,-7.1543,71.164,-3.3896,-9.9137,0.88985,1156.2
30.321,-383.27,201.41,8.7931,63.171,10.071,-14.12,0.84311,1646.9
1.1517,-368.13,-70.146,0.33399,64.231,-3.5073,-13.563,0.8493,1581.8
31.287,-353.88,-24.264,9.0732,65.228,-1.2132,-13.038,0.85514,1520.6
-2.3436,-225.8,-12.56,-0.67963,74.194,-0.628,-8.3191,0.90757,970.25
-25.225,-267.4,-13.438,-7.3152,71.282,-0.67191,-9.8516,0.89054,1149
1.7809,-298.41,-46.133,0.51647,69.111,-2.3067,-10.994,0.87784,1282.2
12.056,-217.61,-103.54,3.4961,74.767,-5.1769,-8.0173,0.91092,935.06
13.141,-297.69,-111.58,3.8109,69.162,-5.5789,-10.967,0.87814,1279.1
-22.102,-283.65,-79.267,-6.4095,70.145,-3.9633,-10.45,0.88389,1218.8
-40.826,-330.54,-236.75,-11.839,66.863,-11.837,-12.178,0.86469,1420.3
-6.133,-387.03,-86.408,-1.7786,62.908,-4.3204,-14.259,0.84157,1663
-16.986,-288.94,-42.903,-4.926,69.774,-2.1452,-10.645,0.88172,1241.5
-1.0752,-228.43,-54.004,-0.31181,74.01,-2.7002,-8.416,0.90649,981.56
-9.6803,-258.6,-114.34,-2.8073,71.898,-5.7172,-9.5275,0.89414,1111.2
5.6918,-375.34,-25.218,1.6506,63.726,-1.2609,-13.828,0.84635,1612.8
14.168,-221.15,-137.55,4.1088,74.519,-6.8777,-8.1477,0.90947,950.27
-28.327,-258.03,-179.92,-8.2149,71.938,-8.9962,-9.5064,0.89437,1108.7
9.1382,-397.82,-152.31,2.6501,62.152,-7.6154,-14.657,0.83715,1709.4
1.607,-218.04,-110.02,0.46603,74.738,-5.5011,-8.0329,0.91075,936.87
-8.0595,-287.74,-6.2768,-2.3372,69.859,-0.31384,-10.601,0.88221,1236.4
-21.443,-306.12,-217.68,-6.2184,68.571,-10.884,-11.278,0.87469,1315.4
-9.5337,-449.64,-125.66,-2.7648,58.525,-6.2829,-16.566,0.81594,1932.1
-17.381,-279.42,-163,-5.0405,70.44,-8.15,-10.294,0.88562,1200.6
5.123,-383.63,-123.14,1.4857,63.146,-6.1568,-14.134,0.84296,1648.4
-15.28,-236.9,15.027,-4.4312,73.417,0.75135,-8.7277,0.90303,1017.9
-2.5513,-566.42,25.823,-0.73986,50.351,1.2912,-20.868,0.76813,2433.8
-9.5263,-207.01,-74.405,-2.7626,75.509,-3.7203,-7.6267,0.91526,889.5
-23.74,-367.46,-187.21,-6.8847,64.277,-9.3606,-13.538,0.84958,1579
21.805,-227.1,34.884,6.3235,74.103,1.7442,-8.3667,0.90704,975.81
-4.1457,-288.47,-67.731,-1.2022,69.807,-3.3865,-10.628,0.88191,1239.5
20.831,-218.01,15.726,6.0409,74.739,0.78628,-8.0318,0.91076,936.75
-40.045,-369.06,-133.88,-11.613,64.166,-6.6942,-13.597,0.84892,1585.8
-17.643,-292.55,-215.55,-5.1164,69.522,-10.777,-10.778,0.88024,1257.1
-21.691,-210.27,-44.245,-6.2903,75.281,-2.2122,-7.747,0.91392,903.53
9.6324,-251.25,-42.864,2.7934,72.413,-2.1432,-9.2565,0.89715,1079.6
-17.19,-241.33,-28.461,-4.9852,73.107,-1.4231,-8.8912,0.90121,1037
7.8132,-262.36,-82.686,2.2658,71.635,-4.1343,-9.666,0.8926,1127.3
5.6549,-257.67,15.297,1.6399,71.963,0.76484,-9.4932,0.89452,1107.2
-6.7007,-229.02,53.256,-1.9432,73.969,2.6628,-8.4376,0.90625,984.08
-7.1619,-172.96,-0.060727,-2.0769,77.893,-0.0030363,-6.3722,0.9292,743.19
-31.113,-408.56,-87.866,-9.0229,61.401,-4.3933,-15.052,0.83275,1755.5
14.68,-187.67,1.5504,4.2572,76.863,0.077519,-6.9143,0.92317,806.41
-1.5226,-199.16,-57.312,-0.44156,76.059,-2.8656,-7.3375,0.91847,855.77
-5.1567,-412.59,-292.17,-1.4954,61.119,-14.609,-15.201,0.8311,1772.8
-38.272,-228.08,-9.9475,-11.099,74.034,-0.49737,-8.4031,0.90663,980.06
20.394,-372.95,11.919,5.9142,63.893,0.59596,-13.74,0.84733,1602.5
-8.6149,-347.88,-139.58,-2.4983,65.649,-6.9789,-12.816,0.85759,1494.8
-25.278,-220.41,-12.168,-7.3306,74.571,-0.6084,-8.1204,0.90977,947.08
-6.6943,-205.34,10.82,-1.9413,75.626,0.54102,-7.5651,0.91594,882.32
11.198,-285.25,129.77,3.2474,70.032,6.4887,-10.509,0.88323,1225.7
-26.368,-254.23,-114.09,-7.6466,72.204,-5.7044,-9.3665,0.89593,1092.4
-2.7149,-274.17,-145.32,-0.78732,70.808,-7.2662,-10.101,0.88777,1178.1
-25.168,-166.71,-76.63,-7.2987,78.33,-3.8315,-6.142,0.93176,716.34
-9.9599,-231.84,-216.94,-2.8884,73.771,-10.847,-8.5416,0.90509,996.21
-13.944,-268.97,16.211,-4.0437,71.172,0.81055,-9.9095,0.88989,1155.7
10.979,-267.48,-106.52,3.184,71.277,-5.3261,-9.8544,0.89051,1149.3
-22.189,-205.21,-103.49,-6.4348,75.635,-5.1744,-7.5604,0.916,881.77
-7.5112,-265.72,-28.258,-2.1782,71.4,-1.4129,-9.7896,0.89123,1141.8
-3.9547,-228.19,-30.772,-1.1469,74.027,-1.5386,-8.407,0.90659,980.51
3.5003,-259.74,-8.9474,1.0151,71.818,-0.44737,-9.5692,0.89368,1116.1
-0.30256,-219.82,-70.114,-0.087742,74.613,-3.5057,-8.0985,0.91002,944.53
13.792,-270.73,-166,3.9996,71.049,-8.3002,-9.9741,0.88918,1163.3
-17.036,-281.64,-223.51,-4.9403,70.285,-11.175,-10.376,0.88471,1210.2
-39.985,-216.31,-229.91,-11.596,74.858,-11.495,-7.9693,0.91145,929.46
28.325,-461.49,-198.69,8.2142,57.696,-9.9343,-17.002,0.81109,1983
9.3444,-221.18,-37.257,2.7099,74.517,-1.8628,-8.1489,0.90946,950.41
-17.21,-305.44,-153.31,-4.9909,68.619,-7.6653,-11.253,0.87497,1312.5
-19.165,-269.05,-87.49,-5.5579,71.166,-4.3745,-9.9125,0.88986,1156.1
