% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
4.7182,-36.13,11.946,1.3683,12.471,0.59731,-2.1992,0.85339,155.25
-1.1483,-38.871,-3.7458,-0.333,12.279,-0.18729,-2.3661,0.84226,167.03
-3.6782,-54.306,-31.91,-1.0667,11.199,-1.5955,-3.3056,0.77963,233.35
-1.0449,-33.647,1.4439,-0.30303,12.645,0.072197,-2.0481,0.86346,144.58
3.1821,-47.823,8.1241,0.92281,11.652,0.40621,-2.911,0.80593,205.49
0.92868,-35.363,-0.49305,0.26932,12.525,-0.024652,-2.1526,0.8565,151.95
-2.9399,-38.208,-19.231,-0.85257,12.325,-0.96157,-2.3257,0.84495,164.17
-3.1472,-71.065,-31.794,-0.91269,10.025,-1.5897,-4.3257,0.71162,305.36
1.1193,-40.613,-10.797,0.32459,12.157,-0.53984,-2.4721,0.83519,174.51
1.4101,-48.373,-6.8634,0.40892,11.614,-0.34317,-2.9444,0.8037,207.85
-3.1573,-51.435,-16.728,-0.91562,11.4,-0.8364,-3.1308,0.79128,221.01
4.4941,-43.111,5.1228,1.3033,11.982,0.25614,-2.6241,0.82506,185.24
-2.7091,-48.564,-4.583,-0.78564,11.601,-0.22915,-2.9561,0.80293,208.67
0.49633,-33.543,-5.2961,0.14394,12.652,-0.2648,-2.0417,0.86389,144.13
-3.7158,-43.244,-14.257,-1.0776,11.973,-0.71287,-2.6322,0.82452,185.81
3.6078,-51.207,16.512,1.0463,11.416,0.82559,-3.1169,0.79221,220.03
0.85643,-47.288,-26.762,0.24837,11.69,-1.3381,-2.8784,0.80811,203.19
0.0094585,-33.755,-8.4644,0.002743,12.637,-0.42322,-2.0547,0.86302,145.04
1.7557,-25.984,-9.6869,0.50914,13.181,-0.48434,-1.5817,0.89456,111.65
2.4923,-34.961,-1.8542,0.72278,12.553,-0.092709,-2.1281,0.85813,150.22
-1.2533,-40.638,-3.79,-0.36344,12.155,-0.1895,-2.4736,0.83509,174.62
0.34678,-46.44,0.50249,0.10057,11.749,0.025124,-2.8268,0.81155,199.55
2.1297,-46.143,1.8059,0.61762,11.77,0.090295,-2.8087,0.81275,198.27
0.011258,-38.633,-8.6896,0.0032648,12.296,-0.43448,-2.3516,0.84323,166
-0.81117,-40.429,3.0262,-0.23524,12.17,0.15131,-2.4609,0.83594,173.72
1.1109,-31.003,-15.441,0.32216,12.83,-0.77205,-1.8872,0.87419,133.22
-2.0188,-55.474,-12.865,-0.58544,11.117,-0.64326,-3.3767,0.77489,238.36
-5.6301,-40.414,-25.273,-1.6327,12.171,-1.2637,-2.46,0.836,173.65
-5.2326,-34.883,-5.9999,-1.5174,12.558,-0.3,-2.1233,0.85845,149.89
2.6603,-41.019,-4.3606,0.77149,12.129,-0.21803,-2.4968,0.83355,176.25
3.0792,-38.774,0.12568,0.89296,12.286,0.0062841,-2.3602,0.84265,166.61
-1.0787,-37.932,-7.1005,-0.31283,12.345,-0.35503,-2.3089,0.84607,162.99
-0.75079,-35.163,-10.005,-0.21773,12.539,-0.50026,-2.1403,0.85731,151.09
-0.9256,-39.52,-16.731,-0.26843,12.234,-0.83657,-2.4056,0.83963,169.81
2.9155,-157.99,-4.2756,0.84548,3.9406,-0.21378,-9.6168,0.35888,678.87
-2.5559,-37.193,-14.958,-0.74122,12.396,-0.74792,-2.2639,0.84907,159.81
2.0305,-60.021,5.8325,0.58885,10.798,0.29162,-3.6535,0.75643,257.91
-3.0977,-51.076,-10.929,-0.89834,11.425,-0.54643,-3.1089,0.79274,219.47
-1.646,-53.039,0.35957,-0.47733,11.287,0.017979,-3.2285,0.78477,227.9
4.5187,-41.511,8.6275,1.3104,12.094,0.43138,-2.5267,0.83155,178.37
0.49894,-55.477,-19.217,0.14469,11.117,-0.96086,-3.3769,0.77488,238.38
-6.4997,-45.256,-18.062,-1.8849,11.832,-0.90308,-2.7547,0.81635,194.46
-1.9081,-41.737,-12.123,-0.55336,12.078,-0.60617,-2.5405,0.83063,179.34
1.2734,-43.988,-18.168,0.36927,11.921,-0.90842,-2.6776,0.8215,189.01
0.040095,-60.861,-37.914,0.011628,10.74,-1.8957,-3.7046,0.75303,261.51
6.4544,-45.987,17.405,1.8718,11.781,0.87026,-2.7992,0.81339,197.6
-1.0758,-35.62,-9.6108,-0.31199,12.507,-0.48054,-2.1682,0.85546,153.05
-1.3658,-40.358,-18.479,-0.39609,12.175,-0.92395,-2.4566,0.83623,173.41
-1.7503,-37.085,-0.66429,-0.50759,12.404,-0.033214,-2.2574,0.84951,159.35
2.1781,-36.149,-6.6422,0.63165,12.47,-0.33211,-2.2004,0.85331,155.33
1.7436,-42.226,4.2611,0.50565,12.044,0.21305,-2.5702,0.82865,181.44
-1.5897,-37.197,-8.0681,-0.461,12.396,-0.40341,-2.2642,0.84906,159.83
3.0242,-49.467,-18.667,0.87702,11.537,-0.93333,-3.0111,0.79926,212.56
6.8827,-42.732,-3.7788,1.996,12.009,-0.18894,-2.6011,0.82659,183.62
0.83953,-37.999,-0.13689,0.24346,12.34,-0.0068447,-2.313,0.8458,163.28
-9.3538,-34.928,-75.298,-2.7126,12.555,-3.7649,-2.1261,0.85826,150.08
-2.0019,-59.889,-29.247,-0.58056,10.808,-1.4624,-3.6454,0.75697,257.34
1.0456,-31.688,-17.395,0.30321,12.782,-0.86977,-1.9289,0.87141,136.16
1.5702,-53.851,6.2251,0.45535,11.23,0.31125,-3.2779,0.78147,231.39
-0.47977,-33.394,-1.5674,-0.13913,12.662,-0.078368,-2.0327,0.86449,143.49
-0.49161,-60.067,7.5528,-0.14257,10.795,0.37764,-3.6563,0.75625,258.1
3.6628,-54.325,-13.42,1.0622,11.197,-0.67098,-3.3067,0.77955,233.43
0.81065,-52.881,-30.294,0.23509,11.298,-1.5147,-3.2188,0.78541,227.22
0.66846,-32.511,-1.7128,0.19385,12.724,-0.085641,-1.9789,0.86807,139.69
-0.31427,-40.52,-12.836,-0.091138,12.164,-0.6418,-2.4665,0.83557,174.11
3.6096,-60.752,-21.543,1.0468,10.747,-1.0771,-3.6979,0.75347,261.04
6.6102,-60.253,-22.132,1.917,10.782,-1.1066,-3.6676,0.75549,258.9
-0.22447,-75.506,-9.8405,-0.065096,9.7146,-0.49203,-4.596,0.6936,324.44
-1.6148,-38.909,-6.4405,-0.46828,12.276,-0.32203,-2.3684,0.84211,167.19
4.1938,-44.01,4.9719,1.2162,11.919,0.2486,-2.6789,0.82141,189.11
-0.11828,-42.922,-30.638,-0.0343,11.995,-1.5319,-2.6126,0.82582,184.43
0.76286,-29.309,-25.186,0.22123,12.948,-1.2593,-1.784,0.88107,125.94
