% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-963.48,0,0,919.46,0,0,-289.04,0.76082,1.1635e+08
-1206.2,0,0,846.63,0,0,-361.87,0.70056,1.4567e+08
-2206.7,-1.5706e-14,0,546.5,0,0,-662,0.45222,2.6648e+08
-974.77,-1.5706e-14,0,916.07,0,0,-292.43,0.75802,1.1772e+08
-1142.3,-1.5706e-14,0,865.81,0,0,-342.69,0.71643,1.3795e+08
-1964.4,0,0,619.19,0,0,-589.31,0.51236,2.3723e+08
-1406.6,-4.7118e-14,0,786.52,0,0,-421.98,0.65082,1.6987e+08
-1291.7,0,0,820.98,0,0,-387.52,0.67934,1.5599e+08
-1421.5,0,0,782.05,0,0,-426.45,0.64712,1.7167e+08
-1312.4,0,0,814.78,0,0,-393.72,0.67421,1.5849e+08
-1668.7,-3.1412e-14,0,707.9,0,0,-500.6,0.58577,2.0152e+08
-965.64,-1.5706e-14,0,918.81,0,0,-289.69,0.76029,1.1661e+08
-1104.4,-1.5706e-14,0,877.19,0,0,-331.31,0.72585,1.3337e+08
-1224.7,0,0,841.09,0,0,-367.42,0.69597,1.479e+08
-1702.2,0,0,697.85,0,0,-510.65,0.57745,2.0556e+08
-1281.8,0,0,823.97,0,0,-384.53,0.68181,1.5479e+08
-1153.8,1.5706e-14,0,862.36,1.1869e-14,0,-346.14,0.71358,1.3934e+08
-1390.9,-1.5706e-14,0,791.23,0,0,-417.27,0.65472,1.6797e+08
-1867.9,-3.1412e-14,0,648.14,0,0,-560.36,0.53632,2.2557e+08
-1514.7,-1.5706e-14,0,754.08,0,0,-454.42,0.62398,1.8292e+08
-1191.2,0,0,851.13,0,0,-357.37,0.70428,1.4386e+08
-1834.6,-1.5706e-14,0,658.12,0,0,-550.38,0.54457,2.2155e+08
-1489.4,0,0,761.68,0,0,-446.82,0.63027,1.7987e+08
-1344.6,-1.5706e-14,0,805.12,0,0,-403.38,0.66621,1.6238e+08
-1299.5,-1.5706e-14,0,818.66,0,0,-389.84,0.67742,1.5693e+08
-1114.5,0,0,874.15,0,0,-334.35,0.72334,1.3459e+08
-1096.3,-3.1412e-14,0,879.6,0,0,-328.9,0.72784,1.324e+08
-1146,0,0,864.69,0,0,-343.81,0.71551,1.384e+08
-1666.7,-1.5706e-14,0,708.5,0,0,-500,0.58626,2.0127e+08
-1461.3,-1.5706e-14,0,770.12,0,0,-438.38,0.63725,1.7647e+08
-1854.9,-3.1412e-14,0,652.04,0,0,-556.46,0.53954,2.24e+08
-1586.8,0,0,732.47,0,0,-476.03,0.6061,1.9162e+08
-1074.3,-3.1412e-14,0,886.2,0,0,-322.3,0.73331,1.2974e+08
-1534.2,0,0,748.24,0,0,-460.26,0.61915,1.8527e+08
-1486.3,-1.5706e-14,0,762.61,0,0,-445.89,0.63104,1.7949e+08
-1734.4,-1.5706e-14,0,688.19,0,0,-520.31,0.56946,2.0945e+08
-1560.2,-1.5706e-14,0,740.43,0,0,-468.07,0.61269,1.8842e+08
-1056.2,0,0,891.64,0,0,-316.87,0.7378,1.2755e+08
-1442.1,-1.5706e-14,0,775.87,0,0,-432.63,0.64201,1.7415e+08
-1140.1,-1.5706e-14,0,866.48,0,0,-342.02,0.71699,1.3768e+08
-1127.2,-3.1412e-14,0,870.34,0,0,-338.16,0.72018,1.3613e+08
-1739.3,-1.5706e-14,0,686.71,0,0,-521.79,0.56823,2.1004e+08
-1716,-3.1412e-14,0,693.69,0,0,-514.81,0.57401,2.0723e+08
-1672.6,0,0,706.72,0,0,-501.78,0.58479,2.0199e+08
-1551.5,0,0,743.05,0,0,-465.46,0.61485,1.8737e+08
-1158.6,-1.5706e-14,0,860.91,0,0,-347.59,0.71238,1.3992e+08
-1065.3,0,0,888.91,0,0,-319.59,0.73555,1.2865e+08
-958.95,-1.5706e-14,0,920.82,0,0,-287.69,0.76195,1.1581e+08
-1405.6,0,0,786.83,0,0,-421.67,0.65108,1.6974e+08
-1736.2,-3.1412e-14,0,687.64,0,0,-520.86,0.569,2.0967e+08
-1263.6,0,0,829.41,0,0,-379.09,0.68631,1.526e+08
-1592,-1.5706e-14,0,730.91,0,0,-477.59,0.60481,1.9225e+08
-1321.3,-1.5706e-14,0,812.12,0,0,-396.38,0.67201,1.5956e+08
-2074.6,0,0,586.13,0,0,-622.37,0.48501,2.5053e+08
-1254.1,-1.5706e-14,0,832.28,0,0,-376.22,0.68869,1.5145e+08
-968.12,-3.1412e-14,0,918.07,0,0,-290.44,0.75967,1.1691e+08
-1220.4,-1.5706e-14,0,842.39,0,0,-366.11,0.69705,1.4738e+08
-1549.9,1.5706e-14,0,743.53,1.1869e-14,0,-464.97,0.61525,1.8717e+08
-1224.4,0,0,841.17,0,0,-367.33,0.69604,1.4787e+08
-1443.9,-1.5706e-14,0,775.33,0,0,-433.17,0.64157,1.7437e+08
-1963.9,0,0,619.32,0,0,-589.18,0.51247,2.3717e+08
-999.94,0,0,908.52,0,0,-299.98,0.75177,1.2076e+08
-1006.8,-3.1412e-14,0,906.45,0,0,-302.05,0.75006,1.2159e+08
-1266.9,-3.1412e-14,0,828.44,0,0,-380.06,0.68551,1.5299e+08
-2158.2,0,0,561.03,0,0,-647.47,0.46424,2.6064e+08
