% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-83.186,-927.14,-258.76,-24.124,261.95,-12.938,-15.204,0.95348,3983.8
0.58284,-857.15,68.366,0.16902,266.85,3.4183,-14.057,0.95699,3683.1
-99.804,-707.46,-229.86,-28.943,277.33,-11.493,-11.602,0.9645,3039.9
14.367,-881.59,-179.79,4.1665,265.14,-8.9897,-14.457,0.95577,3788.1
-75.078,-1480.3,-256.31,-21.773,223.23,-12.816,-24.275,0.92573,6360.6
13.623,-821.31,-44.342,3.9507,269.36,-2.2171,-13.469,0.95879,3529.1
-19.671,-715.68,-77.561,-5.7046,276.75,-3.8781,-11.736,0.96409,3075.2
162.58,-1151.9,12.678,47.147,246.22,0.63392,-18.89,0.94221,4949.6
-85.169,-888.42,-719.16,-24.699,264.66,-35.958,-14.569,0.95543,3817.4
-39.444,-889.24,-109.07,-11.439,264.61,-5.4536,-14.583,0.95538,3821
24.911,-775.48,-173.21,7.2241,272.57,-8.6607,-12.717,0.96109,3332.1
-0.6598,-727.07,-4.7167,-0.19134,275.96,-0.23584,-11.923,0.96352,3124.2
-42.328,-1336.7,-632.25,-12.275,233.29,-31.613,-21.92,0.93294,5743.5
81.738,-688.98,122.04,23.704,278.62,6.102,-11.299,0.96543,2960.5
216.45,-1191.6,-293.17,62.77,243.44,-14.659,-19.541,0.94021,5120.2
66.454,-1466.5,-351.03,19.272,224.2,-17.552,-24.049,0.92642,6301.4
-75.569,-750.02,-160.24,-21.915,274.35,-8.0118,-12.3,0.96237,3222.8
-29.433,-1049.5,289.21,-8.5357,253.39,14.46,-17.21,0.94735,4509.4
-16.033,-763.22,-120.06,-4.6496,273.43,-6.0029,-12.516,0.96171,3279.5
-35.529,-1084.4,-143,-10.303,250.94,-7.1502,-17.783,0.94559,4659.5
-215.11,-1074.7,-676.81,-62.381,251.62,-33.84,-17.625,0.94608,4618
74.587,-877.03,-115.3,21.63,265.46,-5.7652,-14.383,0.956,3768.5
-42.469,-886.32,-457.51,-12.316,264.81,-22.876,-14.535,0.95553,3808.4
92.196,-873.29,-226.49,26.737,265.72,-11.325,-14.321,0.95618,3752.4
-21.635,-977.5,-111.25,-6.274,258.43,-5.5626,-16.03,0.95096,4200.2
59.502,-1298.4,-244.24,17.255,235.96,-12.212,-21.293,0.93486,5579.1
-27.037,-1253.9,-92.152,-7.8408,239.08,-4.6076,-20.563,0.93709,5387.8
-98.551,-648.79,-248.64,-28.58,281.44,-12.432,-10.64,0.96745,2787.8
18.811,-880.98,-35.858,5.455,265.18,-1.7929,-14.447,0.9558,3785.5
-5.0287,-1025,-542.4,-1.4583,255.1,-27.12,-16.809,0.94857,4404.3
4.9923,-807.48,83.375,1.4478,270.33,4.1688,-13.242,0.95949,3469.7
-176.74,-1902,-1448.2,-51.255,193.71,-72.409,-31.191,0.90457,8172.6
-42.227,-692.88,-462,-12.246,278.35,-23.1,-11.363,0.96524,2977.2
