% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-47.995,-534.93,-149.29,-13.919,151.14,-7.4647,-12.976,0.93119,2298.5
0.33628,-494.55,39.445,0.097521,153.96,1.9722,-11.996,0.93639,2125
-57.584,-408.18,-132.62,-16.699,160.01,-6.6311,-9.901,0.9475,1753.9
8.2894,-508.65,-103.74,2.4039,152.98,-5.1868,-12.338,0.93458,2185.6
-43.317,-854.08,-147.88,-12.562,128.8,-7.3942,-20.717,0.89014,3669.9
7.8601,-473.87,-25.584,2.2794,155.41,-1.2792,-11.494,0.93905,2036.2
-11.35,-412.92,-44.75,-3.2914,159.68,-2.2375,-10.016,0.94689,1774.3
93.801,-664.61,7.315,27.202,142.06,0.36575,-16.121,0.91452,2855.7
-49.14,-512.59,-414.93,-14.251,152.7,-20.747,-12.434,0.93407,2202.5
-22.758,-513.06,-62.931,-6.5998,152.67,-3.1466,-12.445,0.93401,2204.6
14.373,-447.42,-99.938,4.1681,157.26,-4.9969,-10.853,0.94245,1922.5
-0.38068,-419.5,-2.7214,-0.1104,159.22,-0.13607,-10.175,0.94604,1802.5
-24.422,-771.21,-364.79,-7.0824,134.6,-18.24,-18.707,0.9008,3313.8
47.16,-397.52,70.413,13.677,160.76,3.5207,-9.6424,0.94887,1708.1
124.88,-687.52,-169.15,36.216,140.46,-8.4575,-16.677,0.91157,2954.2
38.342,-846.12,-202.53,11.119,129.35,-10.127,-20.524,0.89117,3635.7
-43.601,-432.74,-92.451,-12.644,158.29,-4.6225,-10.497,0.94434,1859.4
-16.982,-605.5,166.86,-4.9248,146.2,8.3432,-14.687,0.92212,2601.8
-9.2506,-440.35,-69.27,-2.6827,157.76,-3.4635,-10.681,0.94336,1892.2
-20.499,-625.66,-82.508,-5.9447,144.79,-4.1254,-15.176,0.91952,2688.4
-124.11,-620.08,-390.49,-35.992,145.18,-19.525,-15.041,0.92024,2664.4
43.034,-506.02,-66.527,12.48,153.16,-3.3263,-12.274,0.93491,2174.3
-24.503,-511.38,-263.97,-7.1059,152.79,-13.198,-12.404,0.93422,2197.3
53.194,-503.86,-130.68,15.426,153.31,-6.5339,-12.222,0.93519,2165
-12.482,-563.99,-64.189,-3.6199,149.1,-3.2094,-13.68,0.92746,2423.4
34.33,-749.14,-140.92,9.9558,136.14,-7.0459,-18.171,0.90364,3219
-15.6,-723.45,-53.168,-4.5239,137.94,-2.6584,-17.548,0.90695,3108.6
-56.861,-374.33,-143.46,-16.49,162.38,-7.1728,-9.0799,0.95185,1608.5
10.853,-508.3,-20.689,3.1474,153,-1.0345,-12.329,0.93462,2184.1
-2.9014,-591.39,-312.94,-0.8414,147.19,-15.647,-14.345,0.92393,2541.1
2.8804,-465.89,48.105,0.83531,155.97,2.4052,-11.301,0.94007,2001.9
-101.97,-1097.4,-835.55,-29.572,111.77,-41.778,-26.619,0.85885,4715.3
-24.363,-399.77,-266.56,-7.0654,160.6,-13.328,-9.697,0.94858,1717.8
10.494,-395.45,-151.69,3.0432,160.9,-7.5847,-9.5921,0.94914,1699.2
-6.5539,-542.95,-117.99,-1.9006,150.58,-5.8996,-13.17,0.93016,2333
81.43,-967.59,-105.6,23.615,120.85,-5.2802,-23.47,0.87554,4157.6
27.19,-550.58,-112.4,7.8852,150.04,-5.62,-13.355,0.92918,2365.8
-21.95,-585.58,-110.33,-6.3655,147.59,-5.5165,-14.204,0.92468,2516.2
-45.006,-776.58,-136.93,-13.052,134.22,-6.8467,-18.837,0.90011,3336.9
-37.195,-1038.1,-220.87,-10.786,115.92,-11.044,-25.181,0.86647,4460.6
23.993,-798.75,-46.253,6.958,132.67,-2.3127,-19.375,0.89726,3432.1
-50.751,-626.42,-196.86,-14.718,144.73,-9.8432,-15.195,0.91943,2691.6
-66.084,-526.86,-260.7,-19.164,151.7,-13.035,-12.78,0.93223,2263.9
14.335,-656.36,-350.67,4.157,142.64,-17.533,-15.921,0.91558,2820.3
-38.108,-551.49,105.65,-11.051,149.98,5.2826,-13.377,0.92906,2369.7
15.235,-581.47,-150.93,4.4182,147.88,-7.5467,-14.104,0.92521,2498.5
-5.1336,-372.58,-131.58,-1.4887,162.5,-6.5792,-9.0374,0.95208,1600.9
-36.977,-412.27,-201.17,-10.723,159.72,-10.058,-10,0.94697,1771.5
4.516,-632.94,-425.42,1.3096,144.28,-21.271,-15.353,0.91859,2719.7
10.06,-514.64,-83.608,2.9175,152.56,-4.1804,-12.483,0.9338,2211.4
-30.999,-662.26,-159.34,-8.9896,142.22,-7.9669,-16.064,0.91482,2845.7
82.752,-556.83,13.371,23.998,149.6,0.66854,-13.507,0.92838,2392.7
14.457,-853.15,-181.56,4.1925,128.86,-9.0778,-20.694,0.89026,3665.9
1.9489,-653.68,-212.12,0.56519,142.83,-10.606,-15.856,0.91592,2808.8
-14.348,-498.82,-174.77,-4.1608,153.67,-8.7386,-12.1,0.93584,2143.4
10.488,-462.24,-45.295,3.0414,156.23,-2.2648,-11.212,0.94054,1986.2
-13.495,-571.87,-76.447,-3.9136,148.55,-3.8224,-13.871,0.92644,2457.2
-36.784,-860.92,-497.7,-10.667,128.32,-24.885,-20.883,0.88927,3699.3
-46.949,-430.38,-158.72,-13.615,158.46,-7.936,-10.439,0.94464,1849.3
-6.1265,-508.16,21.281,-1.7767,153.01,1.0641,-12.326,0.93464,2183.5
0.041419,-493.09,-218.35,0.012011,154.07,-10.918,-11.961,0.93658,2118.7
-12.501,-566.22,-228.18,-3.6253,148.95,-11.409,-13.735,0.92717,2433
-35.964,-766.78,-266.82,-10.43,134.91,-13.341,-18.599,0.90137,3294.8
-15.87,-458.07,-47.45,-4.6024,156.52,-2.3725,-11.111,0.94108,1968.3
-1.2696,-511.31,198.77,-0.36817,152.79,9.9385,-12.403,0.93423,2197.1
-11.783,-523.37,-111.2,-3.417,151.95,-5.5599,-12.695,0.93268,2248.9
60.55,-564.64,-61.203,17.559,149.06,-3.0602,-13.696,0.92737,2426.2
-53.691,-590.59,-287.83,-15.57,147.24,-14.392,-14.326,0.92404,2537.7
33.426,-570.24,-1.5868,9.6935,148.67,-0.079341,-13.832,0.92665,2450.2
7.6833,-680.59,-88.471,2.2281,140.94,-4.4236,-16.509,0.91246,2924.4
36.196,-604.61,-185.03,10.497,146.26,-9.2517,-14.666,0.92223,2597.9
56.573,-473.69,34.91,16.406,155.42,1.7455,-11.49,0.93907,2035.4
12.224,-416.85,21.228,3.545,159.4,1.0614,-10.111,0.94638,1791.2
-12.41,-616.74,-415.14,-3.5988,145.41,-20.757,-14.96,0.92067,2650.1
-5.542,-457.85,-149.62,-1.6072,156.53,-7.4809,-11.106,0.94111,1967.3
-140.26,-556.39,-380.85,-40.675,149.64,-19.042,-13.496,0.92843,2390.8
51.128,-579.46,-186.9,14.827,148.02,-9.3448,-14.056,0.92547,2489.9
11.756,-612.29,-69.069,3.4093,145.72,-3.4535,-14.852,0.92124,2631
-1.462,-415.79,-59.298,-0.42398,159.48,-2.9649,-10.086,0.94652,1786.6
-5.5646,-586.02,-222.36,-1.6137,147.56,-11.118,-14.215,0.92462,2518
-17.843,-602.05,34.55,-5.1744,146.44,1.7275,-14.604,0.92256,2587
4.6116,-474.61,32.341,1.3374,155.36,1.617,-11.512,0.93895,2039.4
-72.813,-532.61,-160.01,-21.116,151.3,-8.0005,-12.919,0.93149,2288.6
-1.5177,-483.94,137.7,-0.44014,154.71,6.8849,-11.739,0.93775,2079.4
21.416,-942.99,-289.58,6.2105,122.57,-14.479,-22.874,0.87871,4051.9
-1.3723,-534.02,-175.57,-0.39795,151.2,-8.7783,-12.953,0.93131,2294.6
20.658,-725.3,-31.519,5.9909,137.81,-1.576,-17.593,0.90671,3116.5
-14.955,-792.89,-338.74,-4.3371,133.08,-16.937,-19.233,0.89801,3407
-49.847,-436.16,-130.16,-14.456,158.05,-6.5079,-10.58,0.9439,1874.1
51.149,-440.98,10.594,14.833,157.71,0.52968,-10.697,0.94328,1894.8
7.1206,-545.9,-91.501,2.065,150.37,-4.5751,-13.242,0.92978,2345.7
61.446,-401.62,77.134,17.819,160.47,3.8567,-9.7419,0.94834,1725.7
-26.185,-519.85,-62.397,-7.5937,152.19,-3.1198,-12.61,0.93313,2233.7
-76.631,-612.86,-252.69,-22.223,145.68,-12.635,-14.866,0.92117,2633.4
27.313,-571.66,-123.56,7.9207,148.57,-6.178,-13.866,0.92647,2456.3
-25.453,-491.03,161.47,-7.3813,154.21,8.0737,-11.911,0.93684,2109.9
-26.593,-995.77,-328.81,-7.7121,118.88,-16.441,-24.154,0.87192,4278.7
-13.403,-471.11,-168.89,-3.887,155.61,-8.4445,-11.427,0.9394,2024.3
21.042,-494.48,-158.88,6.1023,153.97,-7.9442,-11.994,0.9364,2124.7
-0.03515,-494.26,-19.518,-0.010193,153.99,-0.97589,-11.989,0.93643,2123.8
54.68,-546.93,-3.8087,15.857,150.3,-0.19043,-13.267,0.92965,2350.1
-14.61,-582.08,-264.06,-4.237,147.84,-13.203,-14.119,0.92513,2501.1
-60.701,-570.69,-244.46,-17.603,148.63,-12.223,-13.843,0.92659,2452.2
-29.78,-872.7,-327.8,-8.6361,127.49,-16.39,-21.169,0.88775,3749.9
-27.399,-487.1,-38.219,-7.9458,154.49,-1.911,-11.815,0.93735,2093
-30.562,-900.62,-519.24,-8.863,125.54,-25.962,-21.846,0.88416,3869.9
1.2747,-454.56,-214.22,0.36966,156.76,-10.711,-11.026,0.94153,1953.2
21.513,-415.76,-10.598,6.2389,159.48,-0.52992,-10.085,0.94652,1786.5
21.936,-421.52,17.49,6.3614,159.08,0.87451,-10.225,0.94578,1811.2
-28.035,-524.54,41.787,-8.1302,151.87,2.0894,-12.723,0.93253,2253.9
0.54417,-441.77,-34.488,0.15781,157.66,-1.7244,-10.716,0.94318,1898.2
25.317,-391.51,-1.724,7.342,161.18,-0.086202,-9.4968,0.94964,1682.3
-15.388,-491.62,-204.16,-4.4627,154.17,-10.208,-11.925,0.93677,2112.4
0.99335,-543.8,-20.121,0.28807,150.52,-1.0061,-13.191,0.93005,2336.6
12.056,-399.76,18.667,3.4961,160.6,0.93333,-9.6969,0.94858,1717.7
-61.948,-913.82,-213.18,-17.965,124.62,-10.659,-22.166,0.88246,3926.6
-22.793,-718.96,-203.9,-6.6101,138.26,-10.195,-17.439,0.90752,3089.3
51.389,-514.39,-463.4,14.903,152.58,-23.17,-12.477,0.93384,2210.3
3.5807,-523.02,-94.935,1.0384,151.97,-4.7467,-12.687,0.93273,2247.4
-23.541,-479.02,-105.61,-6.8269,155.05,-5.2803,-11.619,0.93839,2058.3
-32.511,-585.57,-309.54,-9.4281,147.59,-15.477,-14.204,0.92468,2516.2
53.307,-440.06,-5.4868,15.459,157.78,-0.27434,-10.674,0.9434,1890.9
0.69153,-709.14,-250.02,0.20054,138.94,-12.501,-17.201,0.90879,3047.1
57.066,-453.69,-35.652,16.549,156.83,-1.7826,-11.005,0.94164,1949.4
-26.536,-384.07,-73.325,-7.6955,161.7,-3.6662,-9.3162,0.9506,1650.3
27.146,-456.04,-46.373,7.8723,156.66,-2.3187,-11.062,0.94134,1959.6
5.4553,-773.43,-68.017,1.582,134.44,-3.4009,-18.761,0.90052,3323.3
-6.3521,-729.23,-63.704,-1.8421,137.54,-3.1852,-17.689,0.9062,3133.4
38.092,-1109.8,-184.79,11.047,110.89,-9.2397,-26.921,0.85725,4768.9
109.82,-557.52,252.62,31.847,149.56,12.631,-13.523,0.92829,2395.6
-68.938,-474.75,-222.79,-19.992,155.35,-11.14,-11.516,0.93894,2040
-5.9787,-626.01,-376.88,-1.7338,144.76,-18.844,-15.185,0.91948,2689.9
-20.165,-413.56,128.62,-5.8479,159.63,6.4308,-10.032,0.94681,1777
19.21,-655.09,165.57,5.571,142.73,8.2786,-15.89,0.91574,2814.8
16.3,-583.13,-123.4,4.727,147.76,-6.1699,-14.145,0.925,2505.6
-18.485,-581.39,-63.372,-5.3606,147.89,-3.1686,-14.102,0.92522,2498.2
91.51,-1429,-184.46,26.538,88.555,-9.2228,-34.662,0.8162,6140.2
113.5,-555.01,337.89,32.914,149.73,16.894,-13.463,0.92861,2384.8
