% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-85.822,3.1412e-14,0,49.391,0,0,-40.609,0.54878,1.6347e+07
-93.379,3.1412e-14,0,53.739,0,0,-36.261,0.5971,1.4597e+07
-121.63,1.5706e-14,0,70,0,0,-20,0.77778,8.0509e+06
-105.05,3.1412e-14,0,60.454,0,0,-29.546,0.67171,1.1894e+07
-105.19,1.5706e-14,0,60.536,1.1869e-14,0,-29.464,0.67262,1.1861e+07
-110.54,1.5706e-14,0,63.614,1.1869e-14,0,-26.386,0.70682,1.0622e+07
-90.768,3.1412e-14,0,52.237,0,0,-37.763,0.58041,1.5201e+07
-105.04,1.5706e-14,0,60.453,0,0,-29.547,0.6717,1.1894e+07
-99.052,1.5706e-14,0,57.004,0,0,-32.996,0.63338,1.3282e+07
-112.5,3.1412e-14,0,64.741,0,0,-25.259,0.71934,1.0168e+07
-103.35,0,0,59.478,0,0,-30.522,0.66087,1.2286e+07
-109.32,1.5706e-14,0,62.914,0,0,-27.086,0.69904,1.0903e+07
-102.55,3.1412e-14,0,59.015,0,0,-30.985,0.65572,1.2473e+07
-109.06,3.1412e-14,0,62.762,0,0,-27.238,0.69736,1.0965e+07
-102.11,1.5706e-14,0,58.766,1.1869e-14,0,-31.234,0.65295,1.2573e+07
-100.01,3.1412e-14,0,57.553,0,0,-32.447,0.63948,1.3061e+07
-106.96,1.5706e-14,0,61.556,0,0,-28.444,0.68395,1.145e+07
-97.191,3.1412e-14,0,55.934,0,0,-34.066,0.62148,1.3713e+07
-86.546,4.7118e-14,0,49.807,0,0,-40.193,0.55341,1.6179e+07
-105.12,3.1412e-14,0,60.496,0,0,-29.504,0.67218,1.1877e+07
-84.665,1.5706e-14,0,48.725,0,0,-41.275,0.54138,1.6615e+07
-94.444,1.5706e-14,0,54.353,1.1869e-14,0,-35.647,0.60392,1.435e+07
-104.97,3.1412e-14,0,60.413,0,0,-29.587,0.67125,1.191e+07
-105.88,1.5706e-14,0,60.932,0,0,-29.068,0.67702,1.1701e+07
-102,1.5706e-14,0,58.699,0,0,-31.301,0.65222,1.26e+07
-103.43,3.1412e-14,0,59.521,0,0,-30.479,0.66135,1.2269e+07
-86.622,1.5706e-14,0,49.851,1.1869e-14,0,-40.149,0.5539,1.6162e+07
-98.081,1.5706e-14,0,56.446,0,0,-33.554,0.62717,1.3507e+07
-91.727,3.1412e-14,0,52.789,0,0,-37.211,0.58655,1.4979e+07
-106.29,1.5706e-14,0,61.172,0,0,-28.828,0.67969,1.1604e+07
-107.75,1.5706e-14,0,62.008,0,0,-27.992,0.68897,1.1268e+07
-94.44,1.5706e-14,0,54.35,0,0,-35.65,0.60389,1.4351e+07
-116.58,1.5706e-14,0,67.09,0,0,-22.91,0.74545,9.2222e+06
-97.56,1.5706e-14,0,56.146,1.1869e-14,0,-33.854,0.62384,1.3628e+07
-110.36,3.1412e-14,0,63.51,0,0,-26.49,0.70567,1.0663e+07
-102.8,1.5706e-14,0,59.162,0,0,-30.838,0.65736,1.2414e+07
-113.74,1.5706e-14,0,65.455,0,0,-24.545,0.72728,9.8803e+06
-110.76,3.1412e-14,0,63.742,0,0,-26.258,0.70824,1.057e+07
-107.06,1.5706e-14,0,61.615,0,0,-28.385,0.68461,1.1426e+07
-97.599,3.1412e-14,0,56.168,0,0,-33.832,0.62409,1.3619e+07
-103.3,1.5706e-14,0,59.447,0,0,-30.553,0.66052,1.2299e+07
-107,1.5706e-14,0,61.577,0,0,-28.423,0.68419,1.1441e+07
-113.51,1.5706e-14,0,65.323,0,0,-24.677,0.72581,9.9338e+06
-104.8,0,0,60.311,0,0,-29.689,0.67013,1.1951e+07
-96.525,1.5706e-14,0,55.55,0,0,-34.45,0.61722,1.3868e+07
-89.594,1.5706e-14,0,51.561,0,0,-38.439,0.5729,1.5473e+07
-95.854,1.5706e-14,0,55.164,0,0,-34.836,0.61294,1.4023e+07
