% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-92.861,-1035,-288.85,-26.93,292.42,-14.443,-15.585,0.95729,4447.2
0.65064,-956.85,76.318,0.18868,297.89,3.8159,-14.408,0.96051,4111.5
-111.41,-789.75,-256.6,-32.31,309.59,-12.83,-11.892,0.96741,3393.5
16.038,-984.14,-200.71,4.6511,295.98,-10.035,-14.819,0.95939,4228.7
-83.811,-1652.5,-286.12,-24.305,249.2,-14.306,-24.883,0.9318,7100.5
15.208,-916.84,-49.5,4.4102,300.69,-2.475,-13.806,0.96216,3939.6
-21.959,-798.92,-86.583,-6.3682,308.95,-4.3292,-12.03,0.96703,3432.9
181.49,-1285.9,14.153,52.631,274.86,0.70766,-19.363,0.94693,5525.3
-95.075,-991.75,-802.81,-27.572,295.45,-40.14,-14.934,0.95907,4261.5
-44.032,-992.68,-121.76,-12.769,295.38,-6.088,-14.948,0.95903,4265.4
27.808,-865.68,-193.36,8.0644,304.27,-9.668,-13.035,0.96427,3719.7
-0.73654,-811.64,-5.2653,-0.2136,308.06,-0.26327,-12.222,0.9665,3487.5
-47.252,-1492.1,-705.8,-13.703,260.42,-35.29,-22.469,0.93842,6411.6
91.246,-769.12,136.24,26.461,311.03,6.8118,-11.581,0.96826,3304.8
241.62,-1330.2,-327.27,70.071,271.76,-16.364,-20.03,0.9451,5715.8
74.184,-1637.1,-391.86,21.513,250.28,-19.593,-24.651,0.93244,7034.3
-84.359,-837.27,-178.87,-24.464,306.26,-8.9437,-12.607,0.96545,3597.6
-32.857,-1171.5,322.85,-9.5285,282.86,16.142,-17.641,0.95165,5033.9
-17.898,-852,-134.02,-5.1904,305.23,-6.7011,-12.829,0.96484,3660.9
-39.661,-1210.5,-159.64,-11.502,280.13,-7.9819,-18.228,0.95004,5201.5
-240.13,-1199.7,-755.53,-69.637,280.89,-37.776,-18.066,0.95049,5155.2
