% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-72.961,-813.18,-226.95,-21.159,229.75,-11.348,-14.721,0.94865,3494.2
0.5112,-751.79,59.962,0.14825,234.05,2.9981,-13.61,0.95253,3230.4
-87.536,-620.5,-201.61,-25.385,243.24,-10.08,-11.233,0.96082,2666.2
12.601,-773.23,-157.69,3.6544,232.55,-7.8847,-13.998,0.95117,3322.5
-65.849,-1298.3,-224.81,-19.096,195.79,-11.24,-23.504,0.91801,5578.8
11.949,-720.35,-38.892,3.4651,236.25,-1.9446,-13.041,0.95451,3095.3
-17.253,-627.71,-68.028,-5.0034,242.74,-3.4014,-11.363,0.96036,2697.2
142.59,-1010.3,11.12,41.352,215.96,0.556,-18.29,0.9362,4341.2
-74.7,-779.22,-630.76,-21.663,232.13,-31.538,-14.106,0.95079,3348.2
-34.595,-779.94,-95.665,-10.033,232.08,-4.7833,-14.119,0.95075,3351.3
21.849,-680.16,-151.92,6.3362,239.07,-7.5961,-12.313,0.95705,2922.6
-0.5787,-637.7,-4.1369,-0.16782,242.04,-0.20685,-11.544,0.95973,2740.1
-37.125,-1172.4,-554.54,-10.766,204.61,-27.727,-21.223,0.92597,5037.5
71.691,-604.29,107.04,20.791,244.38,5.352,-10.94,0.96184,2596.6
189.84,-1045.1,-257.13,55.054,213.52,-12.857,-18.92,0.934,4490.9
58.286,-1286.2,-307.88,16.903,196.64,-15.394,-23.285,0.91878,5526.8
-66.28,-657.83,-140.54,-19.221,240.63,-7.027,-11.909,0.95846,2826.6
-25.816,-920.46,253.66,-7.4865,222.24,12.683,-16.663,0.94187,3955.1
-14.062,-669.41,-105.3,-4.0781,239.82,-5.265,-12.118,0.95773,2876.4
-31.162,-951.1,-125.43,-9.0369,220.1,-6.2713,-17.218,0.93994,4086.8
-188.67,-942.63,-593.61,-54.713,220.69,-29.681,-17.064,0.94048,4050.4
65.419,-769.23,-101.13,18.971,232.83,-5.0566,-13.925,0.95142,3305.3
-37.249,-777.37,-401.27,-10.802,232.26,-20.064,-14.073,0.95091,3340.3
80.863,-765.94,-198.65,23.45,233.06,-9.9326,-13.866,0.95163,3291.2
-18.975,-857.35,-97.577,-5.5028,226.66,-4.8789,-15.521,0.94586,3683.9
52.188,-1138.8,-214.22,15.134,206.96,-10.711,-20.616,0.92809,4893.4
-23.714,-1099.8,-80.825,-6.877,209.69,-4.0412,-19.909,0.93055,4725.6
-86.437,-569.04,-218.07,-25.067,246.84,-10.904,-10.301,0.96407,2445.1
16.498,-772.69,-31.451,4.7845,232.59,-1.5725,-13.988,0.95121,3320.2
-4.4105,-899,-475.73,-1.2791,223.75,-23.786,-16.275,0.94323,3862.9
4.3786,-708.23,73.127,1.2698,237.1,3.6563,-12.821,0.95528,3043.2
-155.02,-1668.2,-1270.2,-44.955,169.9,-63.509,-30.199,0.89466,7168
-37.036,-607.71,-405.22,-10.741,244.14,-20.261,-11.001,0.96162,2611.3
15.952,-601.14,-230.6,4.6262,244.6,-11.53,-10.882,0.96204,2583
-9.9629,-825.38,-179.37,-2.8893,228.9,-8.9684,-14.942,0.94788,3546.6
123.79,-1470.9,-160.54,35.898,183.71,-8.0268,-26.628,0.90712,6320.3
41.334,-836.97,-170.87,11.987,228.09,-8.5433,-15.152,0.94715,3596.4
-33.368,-890.17,-167.72,-9.6766,224.36,-8.3859,-16.115,0.94379,3825
-68.416,-1180.5,-208.16,-19.841,204.04,-10.408,-21.371,0.92545,5072.6
-56.542,-1578.1,-335.76,-16.397,176.21,-16.788,-28.568,0.90035,6780.8
36.474,-1214.2,-70.312,10.577,201.68,-3.5156,-21.981,0.92332,5217.4
-77.15,-952.25,-299.26,-22.373,220.02,-14.963,-17.239,0.93987,4091.7
-100.46,-800.91,-396.3,-29.133,230.61,-19.815,-14.499,0.94942,3441.4
21.791,-997.78,-533.07,6.3193,216.83,-26.654,-18.063,0.93699,4287.3
-57.93,-838.36,160.61,-16.8,227.99,8.0304,-15.177,0.94706,3602.3
23.16,-883.93,-229.44,6.7163,224.8,-11.472,-16.002,0.94418,3798.2
-7.8039,-566.38,-200.03,-2.2631,247.03,-10.001,-10.253,0.96423,2433.7
-56.211,-626.72,-305.81,-16.301,242.81,-15.29,-11.345,0.96042,2692.9
6.8651,-962.17,-646.7,1.9909,219.32,-32.335,-17.418,0.93924,4134.4
15.293,-782.33,-127.1,4.4351,231.91,-6.3549,-14.163,0.9506,3361.6
