% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-14.304,3.1412e-14,0,8.2318,0,0,-6.7682,0.54878,2.7245e+06
-15.563,3.1412e-14,0,8.9566,0,0,-6.0434,0.5971,2.4328e+06
-20.272,1.5706e-14,0,11.667,0,0,-3.3333,0.77778,1.3418e+06
-17.508,3.1412e-14,0,10.076,0,0,-4.9244,0.67171,1.9823e+06
-17.531,1.5706e-14,0,10.089,1.1869e-14,0,-4.9107,0.67262,1.9768e+06
-18.423,1.5706e-14,0,10.602,1.1869e-14,0,-4.3977,0.70682,1.7703e+06
-15.128,3.1412e-14,0,8.7061,0,0,-6.2939,0.58041,2.5336e+06
-17.507,1.5706e-14,0,10.076,0,0,-4.9245,0.6717,1.9823e+06
-16.509,1.5706e-14,0,9.5007,0,0,-5.4993,0.63338,2.2137e+06
-18.749,3.1412e-14,0,10.79,0,0,-4.2098,0.71934,1.6947e+06
-17.225,0,0,9.9131,0,0,-5.0869,0.66087,2.0477e+06
-18.22,1.5706e-14,0,10.486,0,0,-4.5144,0.69904,1.8172e+06
-17.091,3.1412e-14,0,9.8358,0,0,-5.1642,0.65572,2.0788e+06
-18.176,3.1412e-14,0,10.46,0,0,-4.5397,0.69736,1.8274e+06
-17.019,1.5706e-14,0,9.7943,1.1869e-14,0,-5.2057,0.65295,2.0955e+06
-16.668,3.1412e-14,0,9.5922,0,0,-5.4078,0.63948,2.1769e+06
-17.827,1.5706e-14,0,10.259,0,0,-4.7407,0.68395,1.9084e+06
-16.199,3.1412e-14,0,9.3223,0,0,-5.6777,0.62148,2.2856e+06
-14.424,4.7118e-14,0,8.3012,0,0,-6.6988,0.55341,2.6966e+06
-17.52,3.1412e-14,0,10.083,0,0,-4.9173,0.67218,1.9795e+06
-14.111,1.5706e-14,0,8.1208,0,0,-6.8792,0.54138,2.7692e+06
-15.741,1.5706e-14,0,9.0588,1.1869e-14,0,-5.9412,0.60392,2.3916e+06
-17.496,3.1412e-14,0,10.069,0,0,-4.9312,0.67125,1.985e+06
-17.646,1.5706e-14,0,10.155,0,0,-4.8447,0.67702,1.9502e+06
-17,1.5706e-14,0,9.7832,0,0,-5.2168,0.65222,2.1e+06
-17.238,3.1412e-14,0,9.9202,0,0,-5.0798,0.66135,2.0449e+06
-14.437,1.5706e-14,0,8.3085,1.1869e-14,0,-6.6915,0.5539,2.6937e+06
-16.347,1.5706e-14,0,9.4076,0,0,-5.5924,0.62717,2.2512e+06
-15.288,3.1412e-14,0,8.7982,0,0,-6.2018,0.58655,2.4965e+06
-17.716,1.5706e-14,0,10.195,0,0,-4.8046,0.67969,1.9341e+06
