% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
-46.77,-521.27,-145.48,-13.563,147.28,-7.274,-12.859,0.93003,2239.8
0.32769,-481.92,38.437,0.095031,150.03,1.9219,-11.888,0.93531,2070.7
-56.113,-397.76,-129.24,-16.273,155.92,-6.4618,-9.8119,0.94661,1709.1
8.0777,-495.66,-101.09,2.3425,149.07,-5.0543,-12.227,0.93346,2129.8
-42.211,-832.26,-144.11,-12.241,125.51,-7.2053,-20.53,0.88828,3576.1
7.6593,-461.77,-24.931,2.2212,151.44,-1.2465,-11.391,0.93801,1984.2
-11.06,-402.38,-43.607,-3.2073,155.6,-2.1804,-9.9259,0.94599,1729
91.405,-647.63,7.1282,26.507,138.43,0.35641,-15.976,0.91306,2782.8
-47.885,-499.5,-404.33,-13.887,148.8,-20.217,-12.322,0.93295,2146.3
-22.177,-499.96,-61.324,-6.4312,148.77,-3.0662,-12.333,0.93289,2148.3
14.006,-436,-97.386,4.0616,153.25,-4.8693,-10.755,0.94147,1873.4
-0.37096,-408.78,-2.6519,-0.10758,155.15,-0.13259,-10.084,0.94513,1756.5
-23.798,-751.51,-355.47,-6.9015,131.16,-17.774,-18.538,0.89912,3229.2
45.956,-387.37,68.615,13.327,156.65,3.4308,-9.5556,0.948,1664.5
121.69,-669.96,-164.83,35.291,136.87,-8.2415,-16.527,0.91007,2878.8
37.363,-824.51,-197.36,10.835,126.05,-9.8681,-20.339,0.88932,3542.8
-42.487,-421.69,-90.09,-12.321,154.25,-4.5045,-10.402,0.94339,1812
-16.548,-590.04,162.6,-4.799,142.46,8.1301,-14.555,0.9208,2535.3
-9.0144,-429.11,-67.5,-2.6142,153.73,-3.375,-10.585,0.9424,1843.8
-19.975,-609.68,-80.401,-5.7929,141.09,-4.0201,-15.04,0.91816,2619.7
-120.94,-604.25,-380.52,-35.072,141.47,-19.026,-14.906,0.91889,2596.4
41.935,-493.09,-64.828,12.161,149.25,-3.2414,-12.164,0.93381,2118.8
-23.877,-498.32,-257.23,-6.9244,148.88,-12.861,-12.293,0.93311,2141.2
51.835,-490.99,-127.34,15.032,149.4,-6.367,-12.112,0.93409,2109.7
-12.164,-549.58,-62.55,-3.5275,145.3,-3.1275,-13.557,0.92623,2361.5
33.454,-730.01,-137.32,9.7016,132.67,-6.866,-18.008,0.90201,3136.8
-15.201,-704.98,-51.811,-4.4084,134.42,-2.5905,-17.39,0.90537,3029.2
-55.409,-364.77,-139.79,-16.068,158.23,-6.9896,-8.9982,0.95103,1567.4
10.576,-495.31,-20.161,3.067,149.09,-1.008,-12.218,0.93351,2128.3
-2.8273,-576.28,-304.95,-0.81991,143.43,-15.248,-14.216,0.92264,2476.2
2.8068,-453.99,46.876,0.81398,151.99,2.3438,-11.199,0.93906,1950.8
-99.369,-1069.4,-814.21,-28.817,108.91,-40.711,-26.379,0.85645,4594.9
-23.741,-389.56,-259.75,-6.885,156.5,-12.988,-9.6097,0.94771,1673.9
10.226,-385.35,-147.82,2.9655,156.79,-7.391,-9.5058,0.94827,1655.8
-6.3865,-529.09,-114.98,-1.8521,146.73,-5.749,-13.052,0.92898,2273.4
79.351,-942.88,-102.91,23.012,117.77,-5.1454,-23.259,0.87343,4051.5
26.496,-536.52,-109.53,7.6838,146.21,-5.4765,-13.235,0.92798,2305.4
-21.389,-570.62,-107.51,-6.2029,143.82,-5.3756,-14.076,0.9234,2451.9
-43.856,-756.74,-133.44,-12.718,130.79,-6.6718,-18.667,0.89842,3251.6
-36.245,-1011.6,-215.23,-10.511,112.96,-10.762,-24.954,0.86421,4346.7
23.38,-778.35,-45.072,6.7803,129.28,-2.2536,-19.2,0.89552,3344.5
-49.455,-610.42,-191.84,-14.342,141.04,-9.5918,-15.058,0.91806,2622.9
-64.397,-513.4,-254.04,-18.675,147.83,-12.702,-12.665,0.93108,2206
13.968,-639.6,-341.71,4.0508,138.99,-17.086,-15.778,0.91414,2748.3
-37.135,-537.41,102.95,-10.769,146.15,5.1477,-13.257,0.92786,2309.2
14.846,-566.62,-147.08,4.3053,144.1,-7.354,-13.977,0.92394,2434.7
-5.0025,-363.06,-128.22,-1.4507,158.35,-6.4112,-8.9561,0.95126,1560
-36.033,-401.74,-196.03,-10.45,155.65,-9.8015,-9.9102,0.94607,1726.2
4.4007,-616.78,-414.55,1.2762,140.59,-20.728,-15.215,0.91721,2650.2
9.8034,-501.5,-81.473,2.843,148.66,-4.0736,-12.371,0.93268,2154.9
-30.207,-645.35,-155.27,-8.76,138.59,-7.7635,-15.92,0.91337,2773
80.638,-542.61,13.029,23.385,145.78,0.65147,-13.385,0.92716,2331.6
14.088,-831.36,-176.92,4.0854,125.57,-8.846,-20.508,0.8884,3572.3
1.8992,-636.99,-206.7,0.55076,139.18,-10.335,-15.713,0.91449,2737.1
-13.981,-486.08,-170.31,-4.0546,149.74,-8.5155,-11.991,0.93475,2088.7
10.22,-450.44,-44.138,2.9638,152.24,-2.2069,-11.111,0.93954,1935.5
-13.151,-557.26,-74.495,-3.8137,144.76,-3.7247,-13.747,0.9252,2394.5
-35.845,-838.93,-484.99,-10.395,125.04,-24.25,-20.695,0.88739,3604.8
-45.75,-419.38,-154.67,-13.268,154.41,-7.7333,-10.345,0.9437,1802.1
-5.97,-495.18,20.738,-1.7313,149.1,1.0369,-12.215,0.93353,2127.7
0.040361,-480.49,-212.78,0.011705,150.13,-10.639,-11.853,0.9355,2064.6
-12.182,-551.76,-222.35,-3.5328,145.14,-11.118,-13.611,0.92593,2370.9
-35.046,-747.19,-260.01,-10.163,131.46,-13.001,-18.432,0.8997,3210.6
-15.465,-446.37,-46.238,-4.4849,152.52,-2.3119,-11.011,0.94008,1918
-1.2371,-498.25,193.69,-0.35877,148.89,9.6846,-12.291,0.93312,2140.9
-11.482,-510.01,-108.36,-3.3297,148.07,-5.4179,-12.581,0.93154,2191.5
59.003,-550.22,-59.64,17.111,145.25,-2.982,-13.573,0.92614,2364.2
-52.32,-575.51,-280.48,-15.173,143.48,-14.024,-14.197,0.92275,2472.9
32.572,-555.67,-1.5463,9.4459,144.87,-0.077314,-13.707,0.92541,2387.7
7.487,-663.21,-86.212,2.1712,137.34,-4.3106,-16.36,0.91097,2849.7
35.272,-589.17,-180.31,10.229,142.53,-9.0155,-14.534,0.92091,2531.6
55.128,-461.59,34.018,15.987,151.46,1.7009,-11.387,0.93804,1983.4
11.912,-406.2,20.686,3.4545,155.33,1.0343,-10.02,0.94547,1745.4
-12.093,-600.99,-404.54,-3.5069,141.7,-20.227,-14.825,0.91933,2582.4
-5.4004,-446.15,-145.8,-1.5661,152.54,-7.2898,-11.006,0.94011,1917.1
-136.68,-542.18,-371.12,-39.636,145.81,-18.556,-13.375,0.92722,2329.7
49.823,-564.66,-182.12,14.449,144.24,-9.1061,-13.929,0.9242,2426.3
11.456,-596.66,-67.305,3.3222,142,-3.3653,-14.718,0.91991,2563.8
-1.4247,-405.17,-57.783,-0.41315,155.4,-2.8892,-9.9949,0.94561,1741
-5.4225,-571.05,-216.68,-1.5725,143.79,-10.834,-14.087,0.92334,2453.7
-17.387,-586.68,33.668,-5.0423,142.7,1.6834,-14.472,0.92125,2520.9
