% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-1.6524,0,0,1.2245,0,0,-0.49571,0.71182,1.9955e+05
-2.8667,-3.1412e-14,0,0.86017,0,0,-0.86001,0.50004,3.4619e+05
-1.7461,0,0,1.1964,0,0,-0.52382,0.69548,2.1086e+05
-1.9356,-3.1412e-14,0,1.1395,0,0,-0.58068,0.66243,2.3375e+05
-1.3714,0,0,1.3088,0,0,-0.41143,0.76082,1.6562e+05
-1.717,0,0,1.2051,0,0,-0.51509,0.70056,2.0735e+05
-3.141,-1.5706e-14,0,0.77789,0,0,-0.94229,0.45222,3.7931e+05
-1.3875,-1.5706e-14,0,1.3039,0,0,-0.41625,0.75802,1.6756e+05
-1.6259,-1.5706e-14,0,1.2324,0,0,-0.48778,0.71643,1.9636e+05
-2.7961,0,0,0.88135,0,0,-0.83883,0.51236,3.3767e+05
-2.0021,-4.7118e-14,0,1.1195,0,0,-0.60064,0.65082,2.4179e+05
-1.8386,0,0,1.1686,0,0,-0.55159,0.67934,2.2204e+05
-2.0234,0,0,1.1132,0,0,-0.60701,0.64712,2.4435e+05
-1.8681,0,0,1.1598,0,0,-0.56042,0.67421,2.256e+05
-2.3752,-3.1412e-14,0,1.0076,0,0,-0.71256,0.58577,2.8684e+05
-1.3745,-1.5706e-14,0,1.3078,0,0,-0.41235,0.76029,1.6599e+05
-1.5719,-1.5706e-14,0,1.2486,0,0,-0.47158,0.72585,1.8983e+05
-1.7433,0,0,1.1972,0,0,-0.52298,0.69597,2.1052e+05
-2.4229,0,0,0.99331,0,0,-0.72686,0.57745,2.926e+05
-1.8245,0,0,1.1728,0,0,-0.54734,0.68181,2.2033e+05
-1.6423,1.5706e-14,0,1.2275,1.1869e-14,0,-0.49269,0.71358,1.9833e+05
-1.9798,-1.5706e-14,0,1.1262,0,0,-0.59394,0.65472,2.3909e+05
-2.6587,-3.1412e-14,0,0.92257,0,0,-0.79761,0.53632,3.2107e+05
-2.1561,-1.5706e-14,0,1.0734,0,0,-0.64682,0.62398,2.6037e+05
-1.6956,0,0,1.2115,0,0,-0.50868,0.70428,2.0477e+05
-2.6114,-1.5706e-14,0,0.93676,0,0,-0.78341,0.54457,3.1536e+05
-2.12,0,0,1.0842,0,0,-0.636,0.63027,2.5602e+05
-1.9139,-1.5706e-14,0,1.146,0,0,-0.57417,0.66621,2.3113e+05
-1.8497,-1.5706e-14,0,1.1653,0,0,-0.5549,0.67742,2.2337e+05
-1.5864,0,0,1.2443,0,0,-0.47591,0.72334,1.9158e+05
-1.5605,-3.1412e-14,0,1.252,0,0,-0.46816,0.72784,1.8845e+05
-1.6313,0,0,1.2308,0,0,-0.48938,0.71551,1.97e+05
-2.3723,-1.5706e-14,0,1.0085,0,0,-0.7117,0.58626,2.8649e+05
-2.08,-1.5706e-14,0,1.0962,0,0,-0.62399,0.63725,2.5119e+05
-2.6402,-3.1412e-14,0,0.92811,0,0,-0.79207,0.53954,3.1884e+05
-2.2586,0,0,1.0426,0,0,-0.67758,0.6061,2.7276e+05
-1.5292,-3.1412e-14,0,1.2614,0,0,-0.45876,0.73331,1.8467e+05
-2.1838,0,0,1.065,0,0,-0.65513,0.61915,2.6372e+05
-2.1156,-1.5706e-14,0,1.0855,0,0,-0.63468,0.63104,2.5549e+05
-2.4687,-1.5706e-14,0,0.97957,0,0,-0.7406,0.56946,2.9813e+05
-2.2208,-1.5706e-14,0,1.0539,0,0,-0.66625,0.61269,2.6819e+05
