% Change in the Price of gasoline,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of gasoline,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of Non-Biomass Electricity,Rebound effect on electricity,CO2 Reduction (megatonnes)
0.58423,-859.19,68.528,0.16943,267.49,3.4264,-14.064,0.95707,3691.8
-100.04,-709.14,-230.41,-29.012,277.99,-11.52,-11.608,0.96457,3047.1
14.401,-883.69,-180.22,4.1764,265.77,-9.0111,-14.465,0.95585,3797.1
-75.257,-1483.8,-256.92,-21.824,223.76,-12.846,-24.289,0.92587,6375.8
13.655,-823.26,-44.448,3.9601,270,-2.2224,-13.476,0.95887,3537.5
-19.718,-717.38,-77.746,-5.7182,277.41,-3.8873,-11.743,0.96416,3082.5
162.96,-1154.6,12.709,47.259,246.81,0.63543,-18.901,0.94231,4961.3
-85.372,-890.53,-720.87,-24.758,265.29,-36.043,-14.577,0.95551,3826.5
-39.538,-891.36,-109.33,-11.466,265.24,-5.4666,-14.591,0.95547,3830.1
24.97,-777.32,-173.63,7.2413,273.22,-8.6813,-12.724,0.96116,3340.1
-0.66137,-728.8,-4.7279,-0.1918,276.61,-0.2364,-11.93,0.96359,3131.6
-42.429,-1339.8,-633.76,-12.304,233.84,-31.688,-21.932,0.93306,5757.2
81.933,-690.62,122.33,23.761,279.29,6.1165,-11.305,0.96549,2967.5
216.96,-1194.4,-293.87,62.919,244.02,-14.693,-19.552,0.94032,5132.4
66.612,-1470,-351.87,19.318,224.73,-17.593,-24.063,0.92656,6316.4
-75.749,-751.81,-160.62,-21.967,275,-8.0309,-12.307,0.96244,3230.4
-29.503,-1052,289.9,-8.556,253.99,14.495,-17.22,0.94744,4520.1
-16.071,-765.04,-120.34,-4.6607,274.08,-6.0172,-12.523,0.96178,3287.3
-35.613,-1087,-143.34,-10.328,251.54,-7.1672,-17.793,0.94569,4670.6
-215.62,-1077.3,-678.42,-62.529,252.22,-33.921,-17.634,0.94618,4629
74.764,-879.12,-115.58,21.682,266.09,-5.7789,-14.391,0.95608,3777.5
-42.57,-888.43,-458.6,-12.345,265.44,-22.93,-14.543,0.95561,3817.5
92.415,-875.36,-227.03,26.8,266.35,-11.352,-14.329,0.95626,3761.4
-21.686,-979.83,-111.52,-6.289,259.04,-5.5759,-16.039,0.95105,4210.2
59.643,-1301.5,-244.82,17.297,236.53,-12.241,-21.305,0.93497,5592.4
-27.102,-1256.9,-92.371,-7.8595,239.65,-4.6185,-20.574,0.9372,5400.7
-98.786,-650.33,-249.23,-28.648,282.11,-12.461,-10.645,0.96751,2794.4
18.855,-883.08,-35.944,5.468,265.81,-1.7972,-14.455,0.95588,3794.5
-5.0406,-1027.4,-543.69,-1.4618,255.71,-27.184,-16.818,0.94867,4414.8
5.0042,-809.41,83.574,1.4512,270.97,4.1787,-13.249,0.95956,3477.9
-177.16,-1906.5,-1451.6,-51.377,194.17,-72.581,-31.208,0.90475,8192.1
-42.327,-694.53,-463.1,-12.275,279.01,-23.155,-11.369,0.9653,2984.3
18.231,-687.02,-263.54,5.287,279.54,-13.177,-11.246,0.96567,2952
