% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-52.447,3.1412e-14,0,30.183,0,0,-24.817,0.54878,9.9899e+06
-57.065,3.1412e-14,0,32.841,0,0,-22.159,0.5971,8.9201e+06
-74.331,1.5706e-14,0,42.778,0,0,-12.222,0.77778,4.92e+06
-64.194,3.1412e-14,0,36.944,0,0,-18.056,0.67171,7.2684e+06
-64.282,1.5706e-14,0,36.994,1.1869e-14,0,-18.006,0.67262,7.2482e+06
-67.55,1.5706e-14,0,38.875,1.1869e-14,0,-16.125,0.70682,6.491e+06
-55.469,3.1412e-14,0,31.922,0,0,-23.078,0.58041,9.2898e+06
-64.194,1.5706e-14,0,36.944,0,0,-18.056,0.6717,7.2685e+06
-60.532,1.5706e-14,0,34.836,0,0,-20.164,0.63338,8.117e+06
-68.747,3.1412e-14,0,39.564,0,0,-15.436,0.71934,6.2137e+06
-63.159,0,0,36.348,0,0,-18.652,0.66087,7.5083e+06
-66.807,1.5706e-14,0,38.447,0,0,-16.553,0.69904,6.6632e+06
-62.667,3.1412e-14,0,36.065,0,0,-18.935,0.65572,7.6223e+06
-66.646,3.1412e-14,0,38.355,0,0,-16.645,0.69736,6.7006e+06
-62.402,1.5706e-14,0,35.912,1.1869e-14,0,-19.088,0.65295,7.6837e+06
-61.115,3.1412e-14,0,35.172,0,0,-19.828,0.63948,7.9819e+06
-65.364,1.5706e-14,0,37.617,0,0,-17.383,0.68395,6.9973e+06
-59.395,3.1412e-14,0,34.182,0,0,-20.818,0.62148,8.3804e+06
-52.889,4.7118e-14,0,30.438,0,0,-24.562,0.55341,9.8874e+06
-64.239,3.1412e-14,0,36.97,0,0,-18.03,0.67218,7.258e+06
-51.74,1.5706e-14,0,29.776,0,0,-25.224,0.54138,1.0154e+07
-57.716,1.5706e-14,0,33.216,1.1869e-14,0,-21.784,0.60392,8.7693e+06
-64.151,3.1412e-14,0,36.919,0,0,-18.081,0.67125,7.2785e+06
-64.702,1.5706e-14,0,37.236,0,0,-17.764,0.67702,7.1508e+06
-62.332,1.5706e-14,0,35.872,0,0,-19.128,0.65222,7.6999e+06
-63.204,3.1412e-14,0,36.374,0,0,-18.626,0.66135,7.4978e+06
-52.935,1.5706e-14,0,30.464,1.1869e-14,0,-24.536,0.5539,9.8767e+06
-59.938,1.5706e-14,0,34.495,0,0,-20.505,0.62717,8.2544e+06
-56.056,3.1412e-14,0,32.26,0,0,-22.74,0.58655,9.1539e+06
-64.958,1.5706e-14,0,37.383,0,0,-17.617,0.67969,7.0916e+06
-65.845,1.5706e-14,0,37.894,0,0,-17.106,0.68897,6.8861e+06
-57.713,1.5706e-14,0,33.214,0,0,-21.786,0.60389,8.7699e+06
-71.242,1.5706e-14,0,41,0,0,-14,0.74545,5.6358e+06
-59.62,1.5706e-14,0,34.311,1.1869e-14,0,-20.689,0.62384,8.3282e+06
-67.44,3.1412e-14,0,38.812,0,0,-16.188,0.70567,6.5165e+06
-62.823,1.5706e-14,0,36.155,0,0,-18.845,0.65736,7.5861e+06
-69.506,1.5706e-14,0,40.001,0,0,-14.999,0.72728,6.038e+06
-67.686,3.1412e-14,0,38.953,0,0,-16.047,0.70824,6.4596e+06
-65.428,1.5706e-14,0,37.654,0,0,-17.346,0.68461,6.9827e+06
-59.644,3.1412e-14,0,34.325,0,0,-20.675,0.62409,8.3226e+06
-63.125,1.5706e-14,0,36.329,0,0,-18.671,0.66052,7.5161e+06
-65.387,1.5706e-14,0,37.63,0,0,-17.37,0.68419,6.992e+06
-69.365,1.5706e-14,0,39.919,0,0,-15.081,0.72581,6.0706e+06
-64.043,0,0,36.857,0,0,-18.143,0.67013,7.3034e+06
-58.987,1.5706e-14,0,33.947,0,0,-21.053,0.61722,8.4747e+06
-54.752,1.5706e-14,0,31.51,0,0,-23.49,0.5729,9.4559e+06
-58.578,1.5706e-14,0,33.711,0,0,-21.289,0.61294,8.5696e+06
-55.209,1.5706e-14,0,31.773,1.1869e-14,0,-23.227,0.57769,9.35e+06
-78.081,1.5706e-14,0,44.936,0,0,-10.064,0.81701,4.0514e+06
-58.912,3.1412e-14,0,33.904,1.1869e-14,0,-21.096,0.61643,8.4922e+06
-57.601,1.5706e-14,0,33.15,0,0,-21.85,0.60272,8.7958e+06
-57.481,1.5706e-14,0,33.081,0,0,-21.919,0.60146,8.8236e+06
-61.39,1.5706e-14,0,35.33,1.1869e-14,0,-19.67,0.64236,7.9181e+06
-57.716,1.5706e-14,0,33.216,0,0,-21.784,0.60392,8.7692e+06
-68.963,0,0,39.688,0,0,-15.312,0.72161,6.1636e+06
-63.772,3.1412e-14,0,36.701,0,0,-18.299,0.66728,7.3663e+06
-60.382,3.1412e-14,0,34.75,0,0,-20.25,0.63181,8.1517e+06
-58.854,1.5706e-14,0,33.87,0,0,-21.13,0.61582,8.5057e+06
-57.941,0,0,33.345,0,0,-21.655,0.60627,8.7171e+06
-65.772,3.1412e-14,0,37.852,0,0,-17.148,0.68822,6.9028e+06
-61.138,1.5706e-14,0,35.185,1.1869e-14,0,-19.815,0.63972,7.9765e+06
-65.897,1.5706e-14,0,37.924,1.1869e-14,0,-17.076,0.68952,6.8739e+06
-69.011,4.7118e-14,0,39.716,0,0,-15.284,0.72211,6.1526e+06
-79.053,3.1412e-14,0,45.495,0,0,-9.5049,0.82718,3.8261e+06
-71.368,3.1412e-14,0,41.072,0,0,-13.928,0.74677,5.6065e+06
-63.293,1.5706e-14,0,36.425,0,0,-18.575,0.66227,7.4773e+06
-68.828,0,0,39.61,0,0,-15.39,0.72019,6.1951e+06
-64.665,1.5706e-14,0,37.215,0,0,-17.785,0.67663,7.1594e+06
