% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-4.7679,3.1412e-14,0,2.7439,0,0,-2.2561,0.54878,9.0817e+05
-5.1877,3.1412e-14,0,2.9855,0,0,-2.0145,0.5971,8.1092e+05
-6.7574,1.5706e-14,0,3.8889,0,0,-1.1111,0.77778,4.4727e+05
-5.8358,3.1412e-14,0,3.3585,0,0,-1.6415,0.67171,6.6077e+05
-5.8438,1.5706e-14,0,3.3631,1.1869e-14,0,-1.6369,0.67262,6.5893e+05
-6.1409,1.5706e-14,0,3.5341,1.1869e-14,0,-1.4659,0.70682,5.9009e+05
-5.0426,3.1412e-14,0,2.902,0,0,-2.098,0.58041,8.4452e+05
-5.8358,1.5706e-14,0,3.3585,0,0,-1.6415,0.6717,6.6077e+05
-5.5029,1.5706e-14,0,3.1669,0,0,-1.8331,0.63338,7.3791e+05
-6.2497,3.1412e-14,0,3.5967,0,0,-1.4033,0.71934,5.6489e+05
-5.7417,0,0,3.3044,0,0,-1.6956,0.66087,6.8257e+05
-6.0733,1.5706e-14,0,3.4952,0,0,-1.5048,0.69904,6.0575e+05
-5.697,3.1412e-14,0,3.2786,0,0,-1.7214,0.65572,6.9294e+05
-6.0587,3.1412e-14,0,3.4868,0,0,-1.5132,0.69736,6.0914e+05
-5.6729,1.5706e-14,0,3.2648,1.1869e-14,0,-1.7352,0.65295,6.9851e+05
-5.5559,3.1412e-14,0,3.1974,0,0,-1.8026,0.63948,7.2562e+05
-5.9422,1.5706e-14,0,3.4198,0,0,-1.5802,0.68395,6.3612e+05
-5.3995,3.1412e-14,0,3.1074,0,0,-1.8926,0.62148,7.6185e+05
-4.8081,4.7118e-14,0,2.7671,0,0,-2.2329,0.55341,8.9886e+05
-5.8399,3.1412e-14,0,3.3609,0,0,-1.6391,0.67218,6.5982e+05
-4.7036,1.5706e-14,0,2.7069,0,0,-2.2931,0.54138,9.2307e+05
-5.2469,1.5706e-14,0,3.0196,1.1869e-14,0,-1.9804,0.60392,7.972e+05
-5.8319,3.1412e-14,0,3.3563,0,0,-1.6437,0.67125,6.6168e+05
-5.882,1.5706e-14,0,3.3851,0,0,-1.6149,0.67702,6.5007e+05
-5.6665,1.5706e-14,0,3.2611,0,0,-1.7389,0.65222,6.9999e+05
-5.7458,3.1412e-14,0,3.3067,0,0,-1.6933,0.66135,6.8162e+05
-4.8123,1.5706e-14,0,2.7695,1.1869e-14,0,-2.2305,0.5539,8.9788e+05
-5.4489,1.5706e-14,0,3.1359,0,0,-1.8641,0.62717,7.504e+05
-5.096,3.1412e-14,0,2.9327,0,0,-2.0673,0.58655,8.3217e+05
-5.9052,1.5706e-14,0,3.3985,0,0,-1.6015,0.67969,6.4469e+05
-5.9859,1.5706e-14,0,3.4449,0,0,-1.5551,0.68897,6.2601e+05
-5.2467,1.5706e-14,0,3.0195,0,0,-1.9805,0.60389,7.9726e+05
-6.4765,1.5706e-14,0,3.7272,0,0,-1.2728,0.74545,5.1235e+05
-5.42,1.5706e-14,0,3.1192,1.1869e-14,0,-1.8808,0.62384,7.5711e+05
-6.1309,3.1412e-14,0,3.5283,0,0,-1.4717,0.70567,5.9241e+05
-5.7112,1.5706e-14,0,3.2868,0,0,-1.7132,0.65736,6.8965e+05
-6.3187,1.5706e-14,0,3.6364,0,0,-1.3636,0.72728,5.4891e+05
-6.1532,3.1412e-14,0,3.5412,0,0,-1.4588,0.70824,5.8724e+05
-5.948,1.5706e-14,0,3.4231,0,0,-1.5769,0.68461,6.3479e+05
-5.4222,3.1412e-14,0,3.1205,0,0,-1.8795,0.62409,7.566e+05
-5.7387,1.5706e-14,0,3.3026,0,0,-1.6974,0.66052,6.8328e+05
-5.9443,1.5706e-14,0,3.421,0,0,-1.579,0.68419,6.3564e+05
-6.3059,1.5706e-14,0,3.629,0,0,-1.371,0.72581,5.5188e+05
-5.8221,0,0,3.3506,0,0,-1.6494,0.67013,6.6395e+05
-5.3625,1.5706e-14,0,3.0861,0,0,-1.9139,0.61722,7.7043e+05
-4.9775,1.5706e-14,0,2.8645,0,0,-2.1355,0.5729,8.5963e+05
-5.3252,1.5706e-14,0,3.0647,0,0,-1.9353,0.61294,7.7906e+05
-5.019,1.5706e-14,0,2.8884,1.1869e-14,0,-2.1116,0.57769,8.5e+05
-7.0983,1.5706e-14,0,4.0851,0,0,-0.91495,0.81701,3.6831e+05
-5.3556,3.1412e-14,0,3.0822,1.1869e-14,0,-1.9178,0.61643,7.7202e+05
-5.2365,1.5706e-14,0,3.0136,0,0,-1.9864,0.60272,7.9962e+05
-5.2256,1.5706e-14,0,3.0073,0,0,-1.9927,0.60146,8.0214e+05
-5.5809,1.5706e-14,0,3.2118,1.1869e-14,0,-1.7882,0.64236,7.1983e+05
-5.2469,1.5706e-14,0,3.0196,0,0,-1.9804,0.60392,7.972e+05
-6.2694,0,0,3.608,0,0,-1.392,0.72161,5.6033e+05
-5.7974,3.1412e-14,0,3.3364,0,0,-1.6636,0.66728,6.6967e+05
-5.4892,3.1412e-14,0,3.1591,0,0,-1.8409,0.63181,7.4106e+05
-5.3503,1.5706e-14,0,3.0791,0,0,-1.9209,0.61582,7.7324e+05
-5.2674,0,0,3.0314,0,0,-1.9686,0.60627,7.9246e+05
-5.9793,3.1412e-14,0,3.4411,0,0,-1.5589,0.68822,6.2753e+05
-5.558,1.5706e-14,0,3.1986,1.1869e-14,0,-1.8014,0.63972,7.2514e+05
-5.9907,1.5706e-14,0,3.4476,1.1869e-14,0,-1.5524,0.68952,6.249e+05
-6.2737,4.7118e-14,0,3.6105,0,0,-1.3895,0.72211,5.5933e+05
-7.1867,3.1412e-14,0,4.1359,0,0,-0.86408,0.82718,3.4783e+05
-6.488,3.1412e-14,0,3.7338,0,0,-1.2662,0.74677,5.0969e+05
-5.7539,1.5706e-14,0,3.3114,0,0,-1.6886,0.66227,6.7976e+05
-6.2571,0,0,3.6009,0,0,-1.3991,0.72019,5.6319e+05
-5.8786,1.5706e-14,0,3.3831,0,0,-1.6169,0.67663,6.5086e+05
-5.6413,1.5706e-14,0,3.2466,0,0,-1.7534,0.64931,7.0583e+05
-6.0989,1.5706e-14,0,3.5099,0,0,-1.4901,0.70198,5.9983e+05
-5.8037,1.5706e-14,0,3.34,0,0,-1.66,0.668,6.6822e+05
-4.6792,1.5706e-14,0,2.6929,0,0,-2.3071,0.53857,9.2873e+05
-6.0208,1.5706e-14,0,3.465,1.1869e-14,0,-1.535,0.693,6.1791e+05
-6.7356,4.7118e-14,0,3.8763,0,0,-1.1237,0.77526,4.5233e+05
-7.0118,1.5706e-14,0,4.0353,0,0,-0.96469,0.80706,3.8833e+05
-5.5702,1.5706e-14,0,3.2056,0,0,-1.7944,0.64113,7.2231e+05
-5.9063,1.5706e-14,0,3.3991,1.1869e-14,0,-1.6009,0.67982,6.4444e+05
-5.8879,1.5706e-14,0,3.3885,0,0,-1.6115,0.6777,6.487e+05
-4.6436,1.5706e-14,0,2.6724,1.1869e-14,0,-2.3276,0.53448,9.3696e+05
-5.402,1.5706e-14,0,3.1089,1.1869e-14,0,-1.8911,0.62177,7.6127e+05
-5.7935,3.1412e-14,0,3.3341,0,0,-1.6659,0.66683,6.7058e+05
-5.2443,0,0,3.0181,0,0,-1.9819,0.60362,7.9781e+05
-5.707,1.5706e-14,0,3.2844,1.1869e-14,0,-1.7156,0.65688,6.906e+05
-6.9415,1.5706e-14,0,3.9949,0,0,-1.0051,0.79897,4.0462e+05
-6.4303,3.1412e-14,0,3.7006,1.1869e-14,0,-1.2994,0.74012,5.2306e+05
-5.1596,1.5706e-14,0,2.9694,0,0,-2.0306,0.59387,8.1743e+05
-5.2939,4.7118e-14,0,3.0466,0,0,-1.9534,0.60933,7.8631e+05
-5.1567,6.2824e-14,0,2.9677,0,0,-2.0323,0.59354,8.181e+05
-5.738,1.5706e-14,0,3.3022,1.1869e-14,0,-1.6978,0.66044,6.8344e+05
-6.5012,3.1412e-14,0,3.7414,1.1869e-14,0,-1.2586,0.74828,5.0663e+05
-5.1256,1.5706e-14,0,2.9498,1.1869e-14,0,-2.0502,0.58996,8.253e+05
-6.629,1.5706e-14,0,3.815,0,0,-1.185,0.76299,4.7703e+05
-4.9232,1.5706e-14,0,2.8333,0,0,-2.1667,0.56666,8.722e+05
-5.8203,3.1412e-14,0,3.3496,0,0,-1.6504,0.66991,6.6437e+05
-6.9249,1.5706e-14,0,3.9853,0,0,-1.0147,0.79705,4.0848e+05
-5.4253,1.5706e-14,0,3.1223,0,0,-1.8777,0.62445,7.5587e+05
-5.6597,1.5706e-14,0,3.2572,1.1869e-14,0,-1.7428,0.65143,7.0158e+05
-5.5637,3.1412e-14,0,3.2019,0,0,-1.7981,0.64038,7.2381e+05
-5.0519,1.5706e-14,0,2.9074,0,0,-2.0926,0.58147,8.4238e+05
-4.7902,0,0,2.7567,0,0,-2.2433,0.55135,9.0301e+05
-5.7639,3.1412e-14,0,3.3171,0,0,-1.6829,0.66342,6.7744e+05
-5.5782,4.7118e-14,0,3.2102,0,0,-1.7898,0.64205,7.2046e+05
-5.6351,3.1412e-14,0,3.243,0,0,-1.757,0.6486,7.0727e+05
-6.0518,1.5706e-14,0,3.4828,0,0,-1.5172,0.69656,6.1074e+05
-6.5561,1.5706e-14,0,3.773,0,0,-1.227,0.7546,4.9392e+05
-5.0537,1.5706e-14,0,2.9084,0,0,-2.0916,0.58168,8.4195e+05
-4.9154,1.5706e-14,0,2.8288,0,0,-2.1712,0.56576,8.74e+05
-7.2052,3.1412e-14,0,4.1466,1.1869e-14,0,-0.85338,0.82932,3.4352e+05
-5.8833,1.5706e-14,0,3.3858,1.1869e-14,0,-1.6142,0.67717,6.4978e+05
-6.0561,3.1412e-14,0,3.4853,1.1869e-14,0,-1.5147,0.69706,6.0974e+05
-6.7607,3.1412e-14,0,3.8908,0,0,-1.1092,0.77815,4.4651e+05
-6.8634,3.1412e-14,0,3.9499,0,0,-1.0501,0.78998,4.2272e+05
-5.5878,0,0,3.2158,0,0,-1.7842,0.64315,7.1824e+05
-5.7595,1.5706e-14,0,3.3146,0,0,-1.6854,0.66292,6.7846e+05
-5.1819,4.7118e-14,0,2.9822,0,0,-2.0178,0.59644,8.1226e+05
-5.4549,3.1412e-14,0,3.1393,0,0,-1.8607,0.62786,7.4902e+05
-4.6159,0,0,2.6565,0,0,-2.3435,0.53129,9.4338e+05
-5.9156,3.1412e-14,0,3.4045,0,0,-1.5955,0.68089,6.4228e+05
-4.5424,1.5706e-14,0,2.6141,1.1869e-14,0,-2.3859,0.52283,9.6042e+05
-5.7593,0,0,3.3145,0,0,-1.6855,0.6629,6.785e+05
-5.8325,0,0,3.3566,0,0,-1.6434,0.67132,6.6154e+05
-5.4088,3.1412e-14,0,3.1128,0,0,-1.8872,0.62255,7.597e+05
-5.0054,3.1412e-14,0,2.8806,0,0,-2.1194,0.57612,8.5316e+05
-4.995,0,0,2.8746,0,0,-2.1254,0.57493,8.5556e+05
-5.9435,1.5706e-14,0,3.4205,0,0,-1.5795,0.68409,6.3583e+05
-4.5035,3.1412e-14,0,2.5918,0,0,-2.4082,0.51835,9.6942e+05
-5.2538,1.5706e-14,0,3.0236,1.1869e-14,0,-1.9764,0.60472,7.956e+05
-4.7241,1.5706e-14,0,2.7187,0,0,-2.2813,0.54375,9.1831e+05
-5.8581,3.1412e-14,0,3.3714,0,0,-1.6286,0.67427,6.556e+05
-5.8674,1.5706e-14,0,3.3767,1.1869e-14,0,-1.6233,0.67534,6.5346e+05
-4.8418,1.5706e-14,0,2.7864,0,0,-2.2136,0.55729,8.9106e+05
-6.9139,1.5706e-14,0,3.9789,0,0,-1.0211,0.79579,4.1102e+05
-5.4072,1.5706e-14,0,3.1119,0,0,-1.8881,0.62237,7.6006e+05
-6.9518,0,0,4.0008,0,0,-0.99925,0.80015,4.0224e+05
-5.4361,1.5706e-14,0,3.1285,0,0,-1.8715,0.62569,7.5338e+05
-5.5934,3.1412e-14,0,3.219,0,0,-1.781,0.6438,7.1694e+05
-7.2659,1.5706e-14,0,4.1815,1.1869e-14,0,-0.81846,0.83631,3.2947e+05
-6.3357,1.5706e-14,0,3.6462,0,0,-1.3538,0.72924,5.4497e+05
-7.1252,3.1412e-14,0,4.1006,0,0,-0.89943,0.82011,3.6206e+05
-5.8304,1.5706e-14,0,3.3554,0,0,-1.6446,0.67108,6.6202e+05
-5.6815,3.1412e-14,0,3.2697,0,0,-1.7303,0.65394,6.9653e+05
-5.9432,1.5706e-14,0,3.4203,0,0,-1.5797,0.68406,6.359e+05
-5.7911,3.1412e-14,0,3.3328,0,0,-1.6672,0.66656,6.7113e+05
-5.6834,3.1412e-14,0,3.2708,1.1869e-14,0,-1.7292,0.65416,6.9608e+05
-5.283,1.5706e-14,0,3.0403,0,0,-1.9597,0.60807,7.8885e+05
-6.28,1.5706e-14,0,3.6141,0,0,-1.3859,0.72283,5.5787e+05
-5.5925,3.1412e-14,0,3.2185,0,0,-1.7815,0.6437,7.1714e+05
-5.0927,0,0,2.9309,0,0,-2.0691,0.58617,8.3292e+05
-6.028,1.5706e-14,0,3.4691,0,0,-1.5309,0.69382,6.1625e+05
-6.7221,3.1412e-14,0,3.8686,0,0,-1.1314,0.77372,4.5544e+05
-4.9419,3.1412e-14,0,2.8441,0,0,-2.1559,0.56882,8.6785e+05
-5.6791,3.1412e-14,0,3.2683,0,0,-1.7317,0.65366,6.9708e+05
-4.777,0,0,2.7492,0,0,-2.2508,0.54983,9.0606e+05
-5.3448,0,0,3.0759,0,0,-1.9241,0.61519,7.7452e+05
-5.5727,1.5706e-14,0,3.2071,0,0,-1.7929,0.64142,7.2173e+05
-6.3197,1.5706e-14,0,3.637,0,0,-1.363,0.7274,5.4868e+05
-5.4784,1.5706e-14,0,3.1528,0,0,-1.8472,0.63057,7.4356e+05
-6.2353,0,0,3.5884,0,0,-1.4116,0.71768,5.6823e+05
-6.6714,3.1412e-14,0,3.8394,0,0,-1.1606,0.76787,4.6721e+05
-5.1856,1.5706e-14,0,2.9843,1.1869e-14,0,-2.0157,0.59687,8.114e+05
-7.3058,1.5706e-14,0,4.2045,0,0,-0.79553,0.84089,3.2024e+05
-7.0199,3.1412e-14,0,4.0399,0,0,-0.96006,0.80799,3.8647e+05
-5.3129,0,0,3.0576,0,0,-1.9424,0.61151,7.8192e+05
-5.4181,0,0,3.1181,0,0,-1.8819,0.62363,7.5754e+05
-5.6569,1.5706e-14,0,3.2555,0,0,-1.7445,0.65111,7.0223e+05
-5.8624,1.5706e-14,0,3.3738,0,0,-1.6262,0.67476,6.5461e+05
-5.8474,3.1412e-14,0,3.3652,0,0,-1.6348,0.67303,6.581e+05
-5.0516,1.5706e-14,0,2.9072,1.1869e-14,0,-2.0928,0.58144,8.4245e+05
-5.8267,1.5706e-14,0,3.3533,0,0,-1.6467,0.67065,6.6289e+05
-5.2529,3.1412e-14,0,3.023,0,0,-1.977,0.60461,7.9582e+05
-7.0457,3.1412e-14,0,4.0548,2.3739e-14,0,-0.94519,0.81096,3.8048e+05
-4.9068,0,0,2.8239,0,0,-2.1761,0.56478,8.7598e+05
-5.4798,1.5706e-14,0,3.1536,1.1869e-14,0,-1.8464,0.63073,7.4325e+05
-5.8883,3.1412e-14,0,3.3887,0,0,-1.6113,0.67775,6.4861e+05
-5.8039,3.1412e-14,0,3.3401,1.1869e-14,0,-1.6599,0.66802,6.6818e+05
-6.3435,3.1412e-14,0,3.6507,0,0,-1.3493,0.73014,5.4315e+05
-4.4966,1.5706e-14,0,2.5878,0,0,-2.4122,0.51756,9.7102e+05
-5.5006,3.1412e-14,0,3.1656,0,0,-1.8344,0.63312,7.3842e+05
-6.1196,1.5706e-14,0,3.5218,1.1869e-14,0,-1.4782,0.70436,5.9503e+05
-5.3011,3.1412e-14,0,3.0508,1.1869e-14,0,-1.9492,0.61015,7.8465e+05
-5.6435,1.5706e-14,0,3.2478,0,0,-1.7522,0.64956,7.0533e+05
-5.7933,1.5706e-14,0,3.3341,0,0,-1.6659,0.66681,6.7062e+05
-6.1684,3.1412e-14,0,3.5499,0,0,-1.4501,0.70998,5.8373e+05
-6.3937,1.5706e-14,0,3.6796,0,0,-1.3204,0.73592,5.3152e+05
-6.7158,1.5706e-14,0,3.865,1.1869e-14,0,-1.135,0.77299,4.569e+05
-6.6566,1.5706e-14,0,3.8309,1.1869e-14,0,-1.1691,0.76617,4.7063e+05
-5.7613,3.1412e-14,0,3.3156,0,0,-1.6844,0.66313,6.7803e+05
-4.8402,3.1412e-14,0,2.7855,0,0,-2.2145,0.5571,8.9143e+05
-5.255,3.1412e-14,0,3.0243,0,0,-1.9757,0.60485,7.9532e+05
-5.125,1.5706e-14,0,2.9494,0,0,-2.0506,0.58989,8.2544e+05
-5.5271,1.5706e-14,0,3.1808,1.1869e-14,0,-1.8192,0.63617,7.3229e+05
-5.4188,3.1412e-14,0,3.1185,0,0,-1.8815,0.6237,7.5739e+05
-6.3679,3.1412e-14,0,3.6647,1.1869e-14,0,-1.3353,0.73294,5.3752e+05
-4.7469,3.1412e-14,0,2.7319,0,0,-2.2681,0.54637,9.1303e+05
-6.2367,3.1412e-14,0,3.5892,0,0,-1.4108,0.71784,5.6791e+05
-5.18,3.1412e-14,0,2.9811,1.1869e-14,0,-2.0189,0.59622,8.1271e+05
-5.6385,0,0,3.2449,0,0,-1.7551,0.64899,7.0649e+05
-5.4324,3.1412e-14,0,3.1264,0,0,-1.8736,0.62527,7.5422e+05
-6.4978,1.5706e-14,0,3.7395,0,0,-1.2605,0.74789,5.0742e+05
-6.8334,3.1412e-14,0,3.9326,1.1869e-14,0,-1.0674,0.78652,4.2968e+05
-5.4743,3.1412e-14,0,3.1504,0,0,-1.8496,0.63009,7.4453e+05
-7.8159,1.5706e-14,0,4.498,0,0,-0.50198,0.8996,2.0207e+05
-7.2655,1.5706e-14,0,4.1813,0,0,-0.81871,0.83626,3.2957e+05
-5.3464,1.5706e-14,0,3.0769,0,0,-1.9231,0.61537,7.7415e+05
-5.5458,1.5706e-14,0,3.1916,0,0,-1.8084,0.63833,7.2795e+05
-5.8086,1.5706e-14,0,3.3428,1.1869e-14,0,-1.6572,0.66857,6.6708e+05
-6.5376,1.5706e-14,0,3.7624,0,0,-1.2376,0.75248,4.982e+05
-7.0283,1.5706e-14,0,4.0448,0,0,-0.95524,0.80895,3.8453e+05
-6.9705,3.1412e-14,0,4.0115,0,0,-0.98845,0.80231,3.979e+05
-7.8424,0,0,4.5133,0,0,-0.4867,0.90266,1.9592e+05
-7.4023,0,0,4.26,0,0,-0.73996,0.85201,2.9787e+05
-6.5418,1.5706e-14,0,3.7648,0,0,-1.2352,0.75296,4.9722e+05
-5.0401,3.1412e-14,0,2.9006,1.1869e-14,0,-2.0994,0.58012,8.451e+05
-4.7778,1.5706e-14,0,2.7496,0,0,-2.2504,0.54992,9.0589e+05
-5.3882,3.1412e-14,0,3.1009,0,0,-1.8991,0.62018,7.6448e+05
-7.0327,1.5706e-14,0,4.0473,0,0,-0.95265,0.80947,3.8349e+05
-5.9952,4.7118e-14,0,3.4502,0,0,-1.5498,0.69005,6.2385e+05
-6.3851,1.5706e-14,0,3.6746,0,0,-1.3254,0.73492,5.3353e+05
-5.3407,1.5706e-14,0,3.0736,0,0,-1.9264,0.61471,7.7548e+05
-5.4678,3.1412e-14,0,3.1467,0,0,-1.8533,0.62934,7.4604e+05
-6.4888,1.5706e-14,0,3.7343,0,0,-1.2657,0.74686,5.0951e+05
-6.027,1.5706e-14,0,3.4685,0,0,-1.5315,0.69371,6.1649e+05
-6.4706,1.5706e-14,0,3.7238,0,0,-1.2762,0.74477,5.1371e+05
-6.0446,1.5706e-14,0,3.4787,0,0,-1.5213,0.69573,6.1241e+05
