% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-4.4438,0,0,3.293,0,0,-1.3331,0.71182,5.3665e+05
-7.7095,-3.1412e-14,0,2.3133,0,0,-2.3128,0.50004,9.3103e+05
-4.6957,0,0,3.2174,0,0,-1.4087,0.69548,5.6708e+05
-5.2054,-3.1412e-14,0,3.0645,0,0,-1.5616,0.66243,6.2863e+05
-3.6882,0,0,3.5196,0,0,-1.1065,0.76082,4.454e+05
-4.6175,0,0,3.2409,0,0,-1.3852,0.70056,5.5762e+05
-8.447,-1.5706e-14,0,2.092,0,0,-2.5341,0.45222,1.0201e+06
-3.7314,-1.5706e-14,0,3.5067,0,0,-1.1194,0.75802,4.5062e+05
-4.3727,-1.5706e-14,0,3.3143,0,0,-1.3118,0.71643,5.2806e+05
-7.5196,0,0,2.3702,0,0,-2.2559,0.51236,9.0809e+05
-5.3844,-4.7118e-14,0,3.0108,0,0,-1.6153,0.65082,6.5024e+05
-4.9447,0,0,3.1427,0,0,-1.4834,0.67934,5.9714e+05
-5.4415,0,0,2.9937,0,0,-1.6324,0.64712,6.5713e+05
-5.0239,0,0,3.1189,0,0,-1.5072,0.67421,6.067e+05
-6.3876,-3.1412e-14,0,2.7098,0,0,-1.9163,0.58577,7.7139e+05
-3.6964,-1.5706e-14,0,3.5172,0,0,-1.1089,0.76029,4.464e+05
-4.2275,-1.5706e-14,0,3.3579,0,0,-1.2682,0.72585,5.1052e+05
-4.6882,0,0,3.2196,0,0,-1.4065,0.69597,5.6616e+05
-6.5159,0,0,2.6713,0,0,-1.9548,0.57745,7.8688e+05
-4.9066,0,0,3.1541,0,0,-1.472,0.68181,5.9254e+05
-4.4167,1.5706e-14,0,3.3011,1.1869e-14,0,-1.325,0.71358,5.3337e+05
-5.3243,-1.5706e-14,0,3.0288,0,0,-1.5973,0.65472,6.4298e+05
-7.1501,-3.1412e-14,0,2.4811,0,0,-2.145,0.53632,8.6347e+05
-5.7983,-1.5706e-14,0,2.8866,0,0,-1.7395,0.62398,7.0022e+05
-4.56,0,0,3.2581,0,0,-1.368,0.70428,5.5069e+05
-7.0228,-1.5706e-14,0,2.5193,0,0,-2.1068,0.54457,8.481e+05
-5.7014,0,0,2.9157,0,0,-1.7104,0.63027,6.8852e+05
-5.1471,-1.5706e-14,0,3.082,0,0,-1.5441,0.66621,6.2159e+05
-4.9743,-1.5706e-14,0,3.1338,0,0,-1.4923,0.67742,6.0072e+05
-4.2663,0,0,3.3462,0,0,-1.2799,0.72334,5.1521e+05
-4.1967,-3.1412e-14,0,3.3671,0,0,-1.259,0.72784,5.0681e+05
-4.387,0,0,3.31,0,0,-1.3161,0.71551,5.2979e+05
-6.3799,-1.5706e-14,0,2.7121,0,0,-1.914,0.58626,7.7047e+05
-5.5937,-1.5706e-14,0,2.948,0,0,-1.6781,0.63725,6.7552e+05
-7.1004,-3.1412e-14,0,2.496,0,0,-2.1301,0.53954,8.5747e+05
-6.0741,0,0,2.8039,0,0,-1.8222,0.6061,7.3353e+05
-4.1125,-3.1412e-14,0,3.3924,0,0,-1.2337,0.73331,4.9664e+05
-5.8728,0,0,2.8643,0,0,-1.7619,0.61915,7.0923e+05
-5.6895,-1.5706e-14,0,2.9193,0,0,-1.7068,0.63104,6.8708e+05
-6.6391,-1.5706e-14,0,2.6344,0,0,-1.9917,0.56946,8.0176e+05
-5.9725,-1.5706e-14,0,2.8344,0,0,-1.7917,0.61269,7.2126e+05
-4.0432,0,0,3.4132,0,0,-1.213,0.7378,4.8827e+05
-5.5204,-1.5706e-14,0,2.97,0,0,-1.6561,0.64201,6.6666e+05
-4.3642,-1.5706e-14,0,3.3168,0,0,-1.3093,0.71699,5.2704e+05
-4.3149,-3.1412e-14,0,3.3316,0,0,-1.2945,0.72018,5.2108e+05
-6.658,-1.5706e-14,0,2.6287,0,0,-1.9974,0.56823,8.0404e+05
-6.5689,-3.1412e-14,0,2.6554,0,0,-1.9707,0.57401,7.9329e+05
-6.4027,0,0,2.7053,0,0,-1.9208,0.58479,7.7321e+05
-5.9392,0,0,2.8444,0,0,-1.7817,0.61485,7.1723e+05
-4.4352,-1.5706e-14,0,3.2955,0,0,-1.3306,0.71238,5.3561e+05
-4.078,0,0,3.4027,0,0,-1.2234,0.73555,4.9247e+05
-3.6708,-1.5706e-14,0,3.5249,0,0,-1.1013,0.76195,4.433e+05
-5.3805,0,0,3.012,0,0,-1.6142,0.65108,6.4977e+05
-6.6462,-3.1412e-14,0,2.6322,0,0,-1.9939,0.569,8.0262e+05
-4.8372,0,0,3.175,0,0,-1.4511,0.68631,5.8415e+05
-6.094,-1.5706e-14,0,2.7979,0,0,-1.8282,0.60481,7.3594e+05
-5.0578,-1.5706e-14,0,3.1088,0,0,-1.5173,0.67201,6.108e+05
-7.9414,0,0,2.2437,0,0,-2.3824,0.48501,9.5903e+05
-4.8005,-1.5706e-14,0,3.1859,0,0,-1.4402,0.68869,5.7973e+05
-3.7059,-3.1412e-14,0,3.5143,0,0,-1.1118,0.75967,4.4754e+05
-4.6716,-1.5706e-14,0,3.2246,0,0,-1.4015,0.69705,5.6416e+05
-5.933,1.5706e-14,0,2.8462,1.1869e-14,0,-1.7799,0.61525,7.1649e+05
-4.6871,0,0,3.22,0,0,-1.4061,0.69604,5.6603e+05
-5.5272,-1.5706e-14,0,2.9679,0,0,-1.6582,0.64157,6.6748e+05
-7.5178,0,0,2.3708,0,0,-2.2554,0.51247,9.0788e+05
-3.8277,0,0,3.4778,0,0,-1.1483,0.75177,4.6225e+05
-3.8542,-3.1412e-14,0,3.4698,0,0,-1.1563,0.75006,4.6545e+05
-4.8496,-3.1412e-14,0,3.1712,0,0,-1.4549,0.68551,5.8565e+05
-8.2617,0,0,2.1476,0,0,-2.4785,0.46424,9.9771e+05
-5.9614,0,0,2.8377,0,0,-1.7884,0.61341,7.1992e+05
-4.0029,0,0,3.4252,0,0,-1.2009,0.74042,4.834e+05
-4.5982,-1.5706e-14,0,3.2466,0,0,-1.3795,0.70181,5.553e+05
-5.7016,-3.1412e-14,0,2.9156,0,0,-1.7105,0.63026,6.8855e+05
