% Change in the Price of fuel,% Change in the Price of electricity,% Change in the Price of natural gas,% Change in the Quantity of fuel,% Change in the Quantity of electricity,% Change in the Quantity of natural gas,% Change in the Quantity of gasoline,Rebound effect on fuel,CO2 Reduction (tonnes)
-6.873,0,0,5.0931,0,0,-2.0619,0.71182,8.3e+05
-11.924,-3.1412e-14,0,3.5778,0,0,-3.5772,0.50004,1.44e+06
-7.2627,0,0,4.9761,0,0,-2.1788,0.69548,8.7707e+05
-8.051,-3.1412e-14,0,4.7396,0,0,-2.4153,0.66243,9.7227e+05
-5.7043,0,0,5.4437,0,0,-1.7113,0.76082,6.8887e+05
-7.1416,0,0,5.0125,0,0,-2.1425,0.70056,8.6244e+05
-13.065,-1.5706e-14,0,3.2356,0,0,-3.9194,0.45222,1.5777e+06
-5.7711,-1.5706e-14,0,5.4236,0,0,-1.7313,0.75802,6.9694e+05
-6.763,-1.5706e-14,0,5.126,0,0,-2.0289,0.71643,8.1673e+05
-11.63,0,0,3.6659,0,0,-3.489,0.51236,1.4045e+06
-8.3278,-4.7118e-14,0,4.6566,0,0,-2.4983,0.65082,1.0057e+06
-7.6477,0,0,4.8606,0,0,-2.2943,0.67934,9.2357e+05
-8.416,0,0,4.6301,0,0,-2.5248,0.64712,1.0164e+06
-7.7701,0,0,4.8239,0,0,-2.331,0.67421,9.3835e+05
-9.8794,-3.1412e-14,0,4.1911,0,0,-2.9638,0.58577,1.1931e+06
-5.7171,-1.5706e-14,0,5.4398,0,0,-1.7151,0.76029,6.9042e+05
-6.5384,-1.5706e-14,0,5.1934,0,0,-1.9615,0.72585,7.896e+05
-7.251,0,0,4.9797,0,0,-2.1753,0.69597,8.7565e+05
-10.078,0,0,4.1316,0,0,-3.0233,0.57745,1.217e+06
-7.5887,0,0,4.8783,0,0,-2.2766,0.68181,9.1644e+05
-6.831,1.5706e-14,0,5.1056,1.1869e-14,0,-2.0493,0.71358,8.2494e+05
-8.2348,-1.5706e-14,0,4.6845,0,0,-2.4704,0.65472,9.9446e+05
-11.059,-3.1412e-14,0,3.8374,0,0,-3.3176,0.53632,1.3355e+06
-8.9679,-1.5706e-14,0,4.4646,0,0,-2.6904,0.62398,1.083e+06
-7.0528,0,0,5.0391,0,0,-2.1158,0.70428,8.5172e+05
-10.862,-1.5706e-14,0,3.8964,0,0,-3.2585,0.54457,1.3117e+06
-8.818,0,0,4.5095,0,0,-2.6454,0.63027,1.0649e+06
-7.9608,-1.5706e-14,0,4.7667,0,0,-2.3882,0.66621,9.6137e+05
-7.6935,-1.5706e-14,0,4.8469,0,0,-2.3081,0.67742,9.291e+05
-6.5984,0,0,5.1754,0,0,-1.9795,0.72334,7.9685e+05
-6.4909,-3.1412e-14,0,5.2077,0,0,-1.9473,0.72784,7.8386e+05
-6.7851,0,0,5.1194,0,0,-2.0355,0.71551,8.194e+05
-9.8675,-1.5706e-14,0,4.1947,0,0,-2.9603,0.58626,1.1916e+06
-8.6515,-1.5706e-14,0,4.5595,0,0,-2.5955,0.63725,1.0448e+06
-10.982,-3.1412e-14,0,3.8604,0,0,-3.2946,0.53954,1.3262e+06
-9.3945,0,0,4.3366,0,0,-2.8184,0.6061,1.1345e+06
-6.3605,-3.1412e-14,0,5.2468,0,0,-1.9082,0.73331,7.6812e+05
-9.0832,0,0,4.43,0,0,-2.725,0.61915,1.0969e+06
-8.7996,-1.5706e-14,0,4.5151,0,0,-2.6399,0.63104,1.0627e+06
-10.268,-1.5706e-14,0,4.0745,0,0,-3.0805,0.56946,1.24e+06
-9.2373,-1.5706e-14,0,4.3837,0,0,-2.7712,0.61269,1.1155e+06
-6.2534,0,0,5.2789,0,0,-1.876,0.7378,7.5518e+05
-8.538,-1.5706e-14,0,4.5935,0,0,-2.5614,0.64201,1.0311e+06
-6.7499,-1.5706e-14,0,5.13,0,0,-2.025,0.71699,8.1514e+05
-6.6736,-3.1412e-14,0,5.1529,0,0,-2.0021,0.72018,8.0593e+05
-10.298,-1.5706e-14,0,4.0657,0,0,-3.0893,0.56823,1.2436e+06
-10.16,-3.1412e-14,0,4.107,0,0,-3.0479,0.57401,1.2269e+06
-9.9027,0,0,4.1841,0,0,-2.9708,0.58479,1.1959e+06
-9.1858,0,0,4.3992,0,0,-2.7557,0.61485,1.1093e+06
-6.8597,-1.5706e-14,0,5.097,0,0,-2.0579,0.71238,8.284e+05
-6.3072,0,0,5.2628,0,0,-1.8922,0.73555,7.6168e+05
-5.6775,-1.5706e-14,0,5.4517,0,0,-1.7032,0.76195,6.8563e+05
-8.3217,0,0,4.6584,0,0,-2.4965,0.65108,1.005e+06
-10.279,-3.1412e-14,0,4.0712,0,0,-3.0838,0.569,1.2414e+06
-7.4814,0,0,4.9105,0,0,-2.2444,0.68631,9.0348e+05
-9.4253,-1.5706e-14,0,4.3273,0,0,-2.8276,0.60481,1.1382e+06
-7.8226,-1.5706e-14,0,4.8082,0,0,-2.3468,0.67201,9.4469e+05
-12.282,0,0,3.4702,0,0,-3.6847,0.48501,1.4833e+06
-7.4247,-1.5706e-14,0,4.9275,0,0,-2.2274,0.68869,8.9664e+05
-5.7318,-3.1412e-14,0,5.4354,0,0,-1.7195,0.75967,6.9219e+05
-7.2253,-1.5706e-14,0,4.9874,0,0,-2.1676,0.69705,8.7255e+05
-9.1762,1.5706e-14,0,4.4021,1.1869e-14,0,-2.7529,0.61525,1.1082e+06
-7.2493,0,0,4.9802,0,0,-2.1748,0.69604,8.7545e+05
-8.5486,-1.5706e-14,0,4.5904,0,0,-2.5646,0.64157,1.0324e+06
-11.627,0,0,3.6667,0,0,-3.4882,0.51247,1.4042e+06
-5.9201,0,0,5.3789,0,0,-1.776,0.75177,7.1494e+05
-5.9611,-3.1412e-14,0,5.3666,0,0,-1.7883,0.75006,7.1988e+05
-7.5005,-3.1412e-14,0,4.9048,0,0,-2.2502,0.68551,9.0579e+05
-12.778,0,0,3.3216,0,0,-3.8334,0.46424,1.5431e+06
-9.2202,0,0,4.3889,0,0,-2.7661,0.61341,1.1135e+06
-6.191,0,0,5.2976,0,0,-1.8573,0.74042,7.4765e+05
-7.1118,-1.5706e-14,0,5.0214,0,0,-2.1335,0.70181,8.5884e+05
-8.8183,-3.1412e-14,0,4.5094,0,0,-2.6455,0.63026,1.0649e+06
-6.6783,0,0,5.1515,0,0,-2.0035,0.71999,8.065e+05
-6.9902,-3.1412e-14,0,5.0579,0,0,-2.097,0.70691,8.4416e+05
-7.6887,-1.5706e-14,0,4.8483,0,0,-2.3066,0.67762,9.2851e+05
-8.5253,-4.7118e-14,0,4.5974,0,0,-2.5576,0.64254,1.0295e+06
-6.939,-1.5706e-14,0,5.0732,0,0,-2.0817,0.70905,8.3798e+05
-8.4712,-3.1412e-14,0,4.6136,0,0,-2.5414,0.64481,1.023e+06
-6.1448,-1.5706e-14,0,5.3115,0,0,-1.8434,0.74235,7.4207e+05
-7.9638,-3.1412e-14,0,4.7658,0,0,-2.3892,0.66608,9.6174e+05
-6.7303,-3.1412e-14,0,5.1359,0,0,-2.0191,0.71781,8.1277e+05
-11.768,0,0,3.6246,0,0,-3.5303,0.50659,1.4211e+06
-6.2547,-1.5706e-14,0,5.2785,0,0,-1.8764,0.73775,7.5534e+05
-6.9381,-3.1412e-14,0,5.0735,0,0,-2.0814,0.70909,8.3787e+05
-8.2952,0,0,4.6664,0,0,-2.4886,0.65219,1.0018e+06
-9.2921,0,0,4.3673,0,0,-2.7876,0.61039,1.1222e+06
-7.4802,-3.1412e-14,0,4.9109,0,0,-2.2441,0.68636,9.0334e+05
-9.6736,0,0,4.2529,0,0,-2.9021,0.59439,1.1682e+06
-9.0174,-1.5706e-14,0,4.4497,0,0,-2.7052,0.62191,1.089e+06
-10.541,-3.1412e-14,0,3.9927,0,0,-3.1622,0.55804,1.2729e+06
-5.7582,-1.5706e-14,0,5.4275,0,0,-1.7274,0.75857,6.9538e+05
-7.029,0,0,5.0462,0,0,-2.1087,0.70528,8.4885e+05
-6.4629,0,0,5.2161,0,0,-1.9389,0.72902,7.8048e+05
-10.42,-1.5706e-14,0,4.0289,0,0,-3.1261,0.56309,1.2584e+06
-8.121,-1.5706e-14,0,4.7186,0,0,-2.4363,0.65949,9.8073e+05
-6.3404,1.5706e-14,0,5.2528,1.1869e-14,0,-1.9021,0.73415,7.6569e+05
-9.2797,-3.1412e-14,0,4.371,0,0,-2.7839,0.61091,1.1206e+06
-6.3998,-1.5706e-14,0,5.235,0,0,-1.9199,0.73166,7.7286e+05
-7.7845,-3.1412e-14,0,4.8196,0,0,-2.3353,0.6736,9.4008e+05
-7.0004,0,0,5.0548,0,0,-2.1001,0.70648,8.454e+05
-8.4279,-1.5706e-14,0,4.6266,0,0,-2.5284,0.64663,1.0178e+06
-6.8979,-1.5706e-14,0,5.0856,0,0,-2.0694,0.71078,8.3302e+05
-9.3941,-1.5706e-14,0,4.3367,0,0,-2.8182,0.60612,1.1345e+06
-7.9825,-1.5706e-14,0,4.7602,0,0,-2.3948,0.6653,9.64e+05
-9.5162,-1.5706e-14,0,4.3001,0,0,-2.8549,0.60099,1.1492e+06
-7.1894,-4.7118e-14,0,4.9981,0,0,-2.1568,0.69856,8.6822e+05
-7.9449,0,0,4.7715,0,0,-2.3835,0.66688,9.5946e+05
-7.5457,-3.1412e-14,0,4.8912,0,0,-2.2637,0.68362,9.1124e+05
-6.5037,-3.1412e-14,0,5.2038,0,0,-1.9511,0.72731,7.8541e+05
-6.1174,-1.5706e-14,0,5.3197,0,0,-1.8352,0.7435,7.3876e+05
-8.7649,-1.5706e-14,0,4.5255,0,0,-2.6295,0.6325,1.0585e+06
-13.463,-1.5706e-14,0,3.1161,0,0,-4.0388,0.43552,1.6258e+06
-7.9616,1.5706e-14,0,4.7665,1.1869e-14,0,-2.3885,0.66618,9.6147e+05
-7.5695,0,0,4.8841,0,0,-2.2708,0.68262,9.1412e+05
-8.1147,0,0,4.7205,0,0,-2.4344,0.65976,9.7996e+05
-8.4755,-3.1412e-14,0,4.6123,0,0,-2.5426,0.64463,1.0235e+06
-7.0347,-1.5706e-14,0,5.0445,0,0,-2.1104,0.70504,8.4954e+05
-6.5463,-1.5706e-14,0,5.191,0,0,-1.9639,0.72552,7.9056e+05
-8.1425,0,0,4.7122,0,0,-2.4427,0.65859,9.8331e+05
-6.0346,-3.1412e-14,0,5.3446,0,0,-1.8104,0.74698,7.2875e+05
-7.3301,-3.1412e-14,0,4.9559,0,0,-2.199,0.69266,8.8521e+05
-11.32,-1.5706e-14,0,3.7588,0,0,-3.3961,0.52534,1.3671e+06
-5.862,-1.5706e-14,0,5.3964,0,0,-1.7586,0.75421,7.0791e+05
-6.5083,-1.5706e-14,0,5.2025,0,0,-1.9525,0.72711,7.8596e+05
-12.857,0,0,3.298,0,0,-3.857,0.46094,1.5526e+06
-9.594,0,0,4.2767,0,0,-2.8782,0.59773,1.1586e+06
-12.078,0,0,3.5315,0,0,-3.6235,0.49357,1.4586e+06
-8.3036,-1.5706e-14,0,4.6639,0,0,-2.4911,0.65184,1.0028e+06
-7.0049,-3.1412e-14,0,5.0535,0,0,-2.1015,0.70629,8.4594e+05
-10.583,0,0,3.9801,0,0,-3.1749,0.55627,1.278e+06
-7.1439,0,0,5.0118,0,0,-2.1432,0.70046,8.6273e+05
-10.638,-4.7118e-14,0,3.9636,0,0,-3.1913,0.55397,1.2846e+06
-7.3329,-1.5706e-14,0,4.9551,0,0,-2.1999,0.69254,8.8554e+05
-8.0503,-3.1412e-14,0,4.7398,0,0,-2.4151,0.66246,9.7219e+05
-7.0124,0,0,5.0512,0,0,-2.1037,0.70598,8.4684e+05
-6.6942,-1.5706e-14,0,5.1467,0,0,-2.0083,0.71932,8.0842e+05
-10.077,0,0,4.1318,0,0,-3.0231,0.57748,1.2169e+06
-6.6321,-3.1412e-14,0,5.1653,0,0,-1.9896,0.72192,8.0091e+05
-7.2042,-3.1412e-14,0,4.9937,0,0,-2.1613,0.69794,8.7e+05
-8.7894,-1.5706e-14,0,4.5181,0,0,-2.6368,0.63147,1.0614e+06
-8.1466,-1.5706e-14,0,4.711,0,0,-2.444,0.65842,9.8382e+05
-5.8707,0,0,5.3937,0,0,-1.7612,0.75385,7.0896e+05
-14.035,-1.5706e-14,0,2.9445,0,0,-4.2104,0.41153,1.6949e+06
-8.345,-1.5706e-14,0,4.6515,0,0,-2.5035,0.6501,1.0078e+06
-7.5314,-1.5706e-14,0,4.8955,0,0,-2.2594,0.68422,9.0952e+05
-10.656,0,0,3.9581,0,0,-3.1968,0.5532,1.2869e+06
-7.6331,-1.5706e-14,0,4.865,0,0,-2.2899,0.67995,9.218e+05
-5.4915,-1.5706e-14,0,5.5075,0,0,-1.6474,0.76975,6.6317e+05
-8.9321,-1.5706e-14,0,4.4753,0,0,-2.6796,0.62549,1.0787e+06
-7.6195,1.5706e-14,0,4.8691,1.1869e-14,0,-2.2858,0.68052,9.2015e+05
-9.2435,-1.5706e-14,0,4.3819,0,0,-2.7731,0.61243,1.1163e+06
-8.6042,-3.1412e-14,0,4.5737,0,0,-2.5813,0.63923,1.0391e+06
-11.635,0,0,3.6646,0,0,-3.4904,0.51217,1.405e+06
-10.402,0,0,4.0343,0,0,-3.1207,0.56384,1.2562e+06
-12.833,0,0,3.3051,0,0,-3.8498,0.46194,1.5497e+06
-10.069,-3.1412e-14,0,4.1343,0,0,-3.0207,0.57782,1.216e+06
-7.946,-3.1412e-14,0,4.7711,0,0,-2.3838,0.66683,9.5959e+05
-7.3064,0,0,4.963,0,0,-2.1919,0.69365,8.8235e+05
-6.0935,0,0,5.3269,0,0,-1.8281,0.7445,7.3588e+05
-6.5535,-1.5706e-14,0,5.1889,0,0,-1.9661,0.72522,7.9143e+05
-11.587,-3.1412e-14,0,3.6789,0,0,-3.4761,0.51417,1.3993e+06
-9.8697,-3.1412e-14,0,4.194,0,0,-2.9609,0.58617,1.1919e+06
-7.0621,-1.5706e-14,0,5.0363,0,0,-2.1186,0.70389,8.5285e+05
-6.5085,0,0,5.2024,0,0,-1.9526,0.7271,7.86e+05
-9.6054,-3.1412e-14,0,4.2733,0,0,-2.8816,0.59726,1.16e+06
-8.6681,-1.5706e-14,0,4.5545,0,0,-2.6004,0.63655,1.0468e+06
-8.0417,-1.5706e-14,0,4.7424,0,0,-2.4125,0.66282,9.7115e+05
-7.4547,0,0,4.9185,0,0,-2.2364,0.68743,9.0025e+05
-6.3723,0,0,5.2432,0,0,-1.9117,0.73281,7.6955e+05
-8.5662,-3.1412e-14,0,4.5851,0,0,-2.5699,0.64083,1.0345e+06
-8.2074,-3.1412e-14,0,4.6927,0,0,-2.4622,0.65587,9.9116e+05
-5.8442,1.5706e-14,0,5.4017,1.1869e-14,0,-1.7533,0.75496,7.0576e+05
-12.162,-1.5706e-14,0,3.5065,0,0,-3.6485,0.49008,1.4687e+06
-6.8945,1.5706e-14,0,5.0866,1.1869e-14,0,-2.0683,0.71092,8.326e+05
-5.4719,0,0,5.5134,0,0,-1.6416,0.77057,6.6081e+05
-7.7809,-1.5706e-14,0,4.8207,0,0,-2.3343,0.67375,9.3965e+05
-7.0814,-3.1412e-14,0,5.0305,0,0,-2.1244,0.70308,8.5517e+05
-8.5265,0,0,4.597,0,0,-2.5579,0.64249,1.0297e+06
-8.1918,-1.5706e-14,0,4.6974,0,0,-2.4575,0.65653,9.8927e+05
-6.1484,-1.5706e-14,0,5.3104,0,0,-1.8445,0.7422,7.4251e+05
-6.262,0,0,5.2763,0,0,-1.8786,0.73744,7.5622e+05
-9.501,-1.5706e-14,0,4.3046,0,0,-2.8503,0.60163,1.1474e+06
-9.4752,-1.5706e-14,0,4.3124,0,0,-2.8426,0.60271,1.1443e+06
-6.5798,0,0,5.181,0,0,-1.9739,0.72411,7.946e+05
-7.4163,-3.1412e-14,0,4.93,0,0,-2.2249,0.68904,8.9562e+05
-10.313,-1.5706e-14,0,4.0611,0,0,-3.0939,0.56759,1.2454e+06
-7.0976,-1.5706e-14,0,5.0257,0,0,-2.1293,0.70241,8.5713e+05
-7.5678,-1.5706e-14,0,4.8846,0,0,-2.2703,0.68269,9.1391e+05
-10.344,0,0,4.0519,0,0,-3.1031,0.5663,1.2491e+06
-12.977,-1.5706e-14,0,3.2619,0,0,-3.8931,0.45589,1.5671e+06
-6.8766,-1.5706e-14,0,5.092,0,0,-2.063,0.71167,8.3044e+05
-6.9446,-1.5706e-14,0,5.0716,0,0,-2.0834,0.70882,8.3866e+05
-7.1751,-3.1412e-14,0,5.0024,0,0,-2.1525,0.69915,8.6649e+05
-12.912,1.5706e-14,0,3.2813,1.1869e-14,0,-3.8736,0.45861,1.5593e+06
-7.0687,-3.1412e-14,0,5.0343,0,0,-2.1206,0.70362,8.5364e+05
