Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus
0,Argentina,corn,-0.112018810527608,-0.0638767719328492,-641901516.925974,128135400.124051,-1027418095.75542,0.200128715711376,-0.166798662336187
0,Australia,corn,-0.1954142226854,-0.0395737332447556,-24853089.2381061,4836456.61467045,-9684866.67202166,0.39924080233308,-0.229628974611694
0,Brazil,corn,-0.141463557290257,-0.0677174662949469,-2512621373.63773,483172141.694034,237548683.864969,0.169446355750024,-0.19824795999385
0,Canada,corn,0.423236360732557,-0.200427718585999,811743783.58868,-78144433.7352766,316504854.484923,-0.760396694035367,0.0960334968828964
0,China,corn,-0.189165403563593,-0.0841668152611518,-20965633662.3621,3686794970.58687,-7412991886.20842,0.0404363166007905,-0.25916982099514
0,Egypt,corn,-0.301704232876556,-0.00201243760386483,-990905564.711815,211361480.825286,-389825386.407067,0.723642456189077,-0.299343807475969
0,India,corn,-0.173538909991312,-0.0596986281196832,-788587352.942906,147135203.219936,-282143278.183961,0.23377186587899,-0.225730759508951
0,Indonesia,corn,0.0584587999607975,-0.126116122802065,378024658.395748,-55991988.5965572,471393170.073135,-0.270929684318297,-0.0977211209318904
0,Mexico,corn,-0.160590547380556,-0.081403631721136,-1025250852.11656,184950888.648483,-252209955.856057,0.0618319174657961,-0.229981775831398
0,Pakistan,corn,0.408944437545995,-0.262571686260449,317268179.033201,-15828153.378176,267085950.687021,-1.10870413038593,-0.0310938193981697
0,Russia,corn,0.575710505826425,-0.267160849778042,865287815.112501,-11176348.423007,682046148.593167,-1.13224159466371,0.0250789317641793
0,South Africa,corn,-0.661150604157729,0.0225352591724574,-2235975378.58775,560111446.556024,-676684130.057833,0.946596531421813,-0.636086623031304
0,Thailand,corn,0.266874042866067,-0.135108240761439,311462944.755267,-42308759.4907308,51733021.0285535,-0.334406621782537,0.0680076214042614
0,Ukraine,corn,0.0735579065315146,-0.128828622903541,336970246.300138,-49062630.77286,364446074.690193,-0.290199326032196,-0.0894503013353693
0,United States,corn,0.0331448498109437,-0.108767697360088,1961131704.10073,-308129690.950697,886868528.078049,-0.145245008315099,-0.0948611390972075
0,Vietnam,corn,-0.572053823727295,-0.0115547438211439,-1272889368.58935,256785147.452707,-351083751.594309,0.639329249195454,-0.579221053600865
0,Argentina,soybean,0.175238016692223,-0.102707647496219,5366813361.3083,-2639246637.61189,343124775266.935,-0.102245365177512,0.0663298332574737
0,Brazil,soybean,-0.349297865067322,-0.0843547824762211,-25607796420.4929,13165490228.0651,617231678552.352,-0.0852858525841719,-0.373138736811683
0,Canada,soybean,0.168869536720828,-0.140544081259121,774011822.62597,-380672125.676969,36799624241.1835,-0.13676321967669,0.0376852895950873
0,China,soybean,0.245729970698031,-0.104469946346365,4770692873.25556,-2309638477.55548,59020161002.1149,-0.103905570471647,0.106264601497146
0,India,soybean,-0.868411844236816,-0.0331958087611531,-5826089203.87081,3123062840.86132,85086880008.8892,-0.0384353786856774,-0.862823106519881
0,Japan,soybean,-0.324982042268954,-0.0739530439087428,-229939047.380669,118242572.732963,1302084075.72575,-0.0756258547931089,-0.345848100099069
0,United States,soybean,0.114778165531025,-0.136088713538621,8281804003.56494,-4042011631.54086,455472188633.964,-0.132797979107382,-0.0305242924241801
0,China,sugarcane,0.074555594829892,-0.0584292196681863,3105284790.59668,107798143.936926,4889455223.65488,-0.113444465625339,0.00503666203852095
1,Argentina,corn,-0.162789341850507,-0.0944109515423538,-911408539.597883,176630404.088551,-909718932.892982,0.27666239191101,-0.239723324879366
1,Australia,corn,-0.371846735198088,-0.0305370322506473,-47851496.346314,9587230.93291857,-11750828.7168162,0.812313292028386,-0.390694556573622
1,Brazil,corn,-0.264741289735622,-0.085201898756125,-4676382275.77926,912969533.183001,171526744.234154,0.350258383428317,-0.317886987675107
1,Canada,corn,0.32669755570931,-0.226527659003172,606257983.292492,-48183568.5469413,390802196.272092,-0.644693770458228,-0.0147810594922876
1,China,corn,-0.40574477000999,-0.110812744189031,-43903345073.2601,7359636933.80929,-4710576133.5296,0.148635353398335,-0.470604672457266
1,Egypt,corn,-0.409438643510098,-0.0142252756141475,-1330257692.81504,278826914.624946,-350704364.727073,0.958478856219792,-0.41451254641446
1,India,corn,-0.250705096200095,-0.0887109471400068,-1104981198.38325,192188824.657482,-119626952.440285,0.322141996878247,-0.321140460839717
1,Indonesia,corn,-0.286151013365685,-0.0386437219239505,-2053552269.84715,403716918.748133,-434707020.961371,0.741089928271811,-0.314898998936979
1,Mexico,corn,-0.354007358067192,-0.103596227850959,-2229368978.12661,398546704.924654,-200454956.022398,0.204482771746415,-0.416219201617307
1,Pakistan,corn,-0.186318176489885,-0.078723132358975,-184425811.538649,32559749.9778856,-5011212.87910426,0.402858121215189,-0.258149371905132
1,Russia,corn,0.699089748352,-0.350627799470351,910080545.461429,77140769.7511381,941561602.360812,-1.28151881500678,-0.0743612601727278
1,South Africa,corn,-0.474099370551284,-0.0613083407852865,-1454803257.89707,302973467.530131,-260431666.978209,0.546893098605846,-0.493539447167399
1,Thailand,corn,1.31482323053566,-0.30916600885431,1153968751.13839,48298680.5074074,442270090.171243,-1.09343576662707,0.431416710580811
1,Ukraine,corn,0.246832948341743,-0.237778753109641,977787440.273613,-67927486.4368735,1148040297.60661,-0.711562994460815,-0.106507881155038
1,United States,corn,-0.401075281722304,-0.0826028103746553,-24908877402.3219,4639926322.40754,-3657649734.19615,0.371271539253635,-0.446306573253628
1,Vietnam,corn,-0.231461872506787,-0.114353321588944,-460747244.489713,70840233.406549,-65429532.1824698,0.1216542624693,-0.326676413676674
1,Argentina,soybean,0.035380646101415,-0.179349842968639,1025189914.87267,-503069582.769716,315927651178.764,-0.179091287670669,-0.110077789954482
1,Brazil,soybean,-0.958291131695513,-0.140133681548283,-70698711518.0411,37554793267.5114,654758998844.557,-0.14188642516196,-0.959738108566389
1,Canada,soybean,0.0627906292122132,-0.194162984119157,275903111.854047,-134434051.626183,34209112230.2323,-0.192143731118221,-0.0972837716708065
1,China,soybean,0.0425309098699885,-0.179528599562854,793652853.459611,-387543184.16016,56534873404.6904,-0.179319819259285,-0.11146144049788
1,India,soybean,0.0465889503013803,-0.181959498088708,260078180.818861,-127085058.925745,56093066712.7848,-0.181278171321216,-0.104980263597858
1,Japan,soybean,-0.413708741974177,-0.147437171168041,-279146244.433998,142307666.433941,1213046283.83208,-0.148570656211207,-0.461167527591605
1,United States,soybean,-0.0460816779944159,-0.163304454755941,-3320509022.50911,1636968014.86207,462138495343.788,-0.163116407701447,-0.173789396688062
1,China,sugarcane,0.104962849290623,-0.0822593849890616,4254348629.85123,213659411.125131,6068846764.24931,-0.157752163559344,0.00432131355827767
2,Argentina,corn,-0.245356047419722,0.0135018652644386,-1561255788.1291,390915535.124243,-1926186585.87636,0.639619889465117,-0.181899730890089
2,Australia,corn,-0.0510842665545195,-0.0557703647022439,-6372485.73666391,1183136.12570878,-6506290.9744387,0.0570046551947586,-0.110652051382233
2,Brazil,corn,-0.181047420175796,-0.0271108962885155,-3372818643.1849,720815641.123705,-894131347.428003,0.289660493469348,-0.189920452145565
2,Canada,corn,0.0576553330643264,-0.0856334779372596,128041329.716987,-21727944.8243548,-67942729.7273259,-0.172873810507749,-0.0441340700057926
2,China,corn,-0.00455983187133552,-0.071916768145331,-508190992.290989,90441548.609846,-8102210009.53014,-0.068894455281384,-0.0824411521907419
2,Egypt,corn,-0.0896248696175352,-0.0423484200105901,-281062170.748324,54166514.0518878,-197446754.021942,0.164499348455584,-0.132313340281403
