Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus
1,Canada,soybean,1.49102978492523,-0.372757446231306,1452615431.80503,1588152161.26818,-Inf,-0.268167371171368,-0.606566778741728
1,China,soybean,0.407587421123737,-0.0101896855280936,3869702730.91709,417095758.318546,4425211316.91739,0.222518089839209,-0.0202755413650257
1,India,soybean,-0.462632140866592,0.0346974105649944,-1636851558.72075,147324082.449444,-67235591.9943099,-0.385322471364805,0.0705987314299046
1,Japan,soybean,1.52920284324874,-0.114690213243655,328672812.304732,185638775.591713,-Inf,0.299574562305695,-0.216226581473435
1,United States,soybean,0.334662703096364,-0.110104029318704,10243431153.0222,2295973503.80612,-Inf,-0.132599645516245,-0.208085161365194
1,China,sugarcane,0.074555594829892,-0.0584292196681863,3105284790.59668,107798143.936926,4889455223.65488,0.00503666203852095,-0.113444465625339
2,Argentina,corn,0.43517246993941,-0.152310364478794,1433790599.39693,471069194.627521,2081629508.89487,-0.21035415585706,-0.281422281829924
2,Australia,corn,0.562513403050761,-0.182816855991497,44233785.3611709,9175861.88398351,44642060.2553554,0.125528903693129,-0.332211709148379
2,Brazil,corn,-0.174898558525623,0.0437246396314059,-2806199004.34229,152175062.30757,1378346053.35963,-0.0908705024932311,0.089361123373708
2,Canada,corn,2.21788526514473,-0.510113610983289,1240176214.1749,1942513896.71324,-Inf,-0.267433839609791,-0.760011325856167
2,China,corn,1.10283872231614,-0.110283872231614,86036331644.6785,13338950027.1588,30389088641.5884,0.693587198241547,-0.20840521198883
2,Egypt,corn,-0.49201046562787,0.164823505985336,-1560556693.67912,183136219.995731,-421137363.981212,-0.360615451940284,0.356813800095971
2,India,corn,-0.801765914774663,0.200441478693666,-3924323270.21131,563330400.88489,-1005160118.96893,-0.738723732538379,0.441059743768235
2,Indonesia,corn,-0.422965259544219,0.166648312260422,-3048406438.5271,354458481.811428,-852961418.340659,-0.271417519498412,0.361068284500092
2,Mexico,corn,-0.105730422168172,0.0142736069927032,-591727076.534049,10824630.0530219,395318615.044394,-0.0797022002590754,0.0287509498419886
2,Pakistan,corn,-0.258004738906278,0.100621848173449,-248855715.385445,18921606.5447534,-27884788.5108099,-0.140025325403562,0.211368452676738
2,Russia,corn,1.67853425467597,-0.478382262582651,751426917.746655,1435237278.44556,-Inf,-0.480654582957828,-0.727914936011606
2,South Africa,corn,0.535759262954142,-0.101794259961287,1105491633.8962,169078327.427648,982093264.033461,0.220034736486175,-0.193226448561508
2,Thailand,corn,-0.999689187012052,0.119962702441446,-1291962570.69953,145915966.833676,-210807825.748739,-0.99962368463937,0.254316454859947
2,Ukraine,corn,1.58730158730159,-0.555555555555556,1475602013.40388,3320104530.15873,-Inf,-0.589844551084861,-0.802469135802469
2,United States,corn,1.55761712125021,-0.267131336294411,46942328516.7893,24206221383.314,36537541320.9675,0.335596195587019,-0.462903521758384
2,Vietnam,corn,0.146033458962436,-0.0233653534339897,253275070.004634,4571927.00802883,134076478.700324,0.111166952691817,-0.0461847671268841
2,Argentina,soybean,1.32443795198951,-0.0331109487997377,16418529960.7955,4968440882.09865,10129883540.8509,0.646418713272795,-0.0651255626690567
2,Brazil,soybean,-0.308373774242547,0.0123349509697019,-12206791356.6472,671709430.978434,1963607324.88501,-0.254411519042052,0.0248220529548286
2,Canada,soybean,1.59532098019183,-0.398830245047957,1383236211.33905,1818091034.59363,-Inf,-0.327743537445871,-0.6385949257309
2,China,soybean,0.534006118174132,-0.0133501529543533,4891529169.73019,715956595.215556,5060009293.80212,0.269758165780088,-0.0265220793248022
2,India,soybean,-0.847844415623782,0.0635883311717836,-3263353792.91333,494805444.559505,-597548569.191949,-0.807727236425692,0.13122013820478
2,Japan,soybean,1.37685287231912,-0.103263965423934,315386715.909997,150492054.603334,284608470.573682,0.332840672163957,-0.195864484292793
2,United States,soybean,0.570172224751648,-0.187586661943292,13823334474.2475,6664450666.74697,-Inf,-0.277071735970379,-0.339984568147557
2,China,sugarcane,0.104962849290623,-0.0822593849890616,4254348629.85123,213659411.125131,6068846764.24931,0.00432131355827767,-0.157752163559344
3,Argentina,corn,0.449651785557298,-0.157378124945054,1459902931.59599,502938084.308363,2136732452.03388,-0.219767445800975,-0.289988375678887
3,Australia,corn,-0.0112365249582004,0.00365187061141512,-1180027.26975899,3661.38299097294,11365857.8043158,-0.00571277715636069,0.00731707738179276
3,Brazil,corn,-0.179657373444801,0.0449143433612002,-2888393076.29549,160568784.635511,1330998249.6927,-0.093840820607599,0.0918459849619682
3,Canada,corn,2.40799485112316,-0.553838815758327,1064289870.63309,2289797574.95169,-Inf,-0.392369345775543,-0.800940197676068
3,China,corn,0.834376636453546,-0.0834376636453545,68617413273.0093,7635226101.25362,24500508520.5558,0.56427763505712,-0.159913483576114
3,Egypt,corn,-0.435171276818348,0.145782377734146,-1350846067.24048,143266947.904011,-335136377.838989,-0.305952158122013,0.312817257126114
3,India,corn,-0.629051221889305,0.157262805472326,-2931999156.63013,346768812.435631,-702449754.520563,-0.536495073670588,0.33925720092968
3,Indonesia,corn,-0.354163838715862,0.13954055245405,-2476037688.33122,248521753.821611,-580325306.201764,-0.212137340216957,0.29855267068728
3,Mexico,corn,-0.3046733781491,0.0411309060501285,-1786135054.54313,89883949.2750123,10042849.2699451,-0.246355804952362,0.0839535635327617
3,Pakistan,corn,-1,0.39,-1013971480.305,0,1013971480.305,-1,-1
3,Russia,corn,1.65904491068121,-0.472827799544146,767062549.148382,1402101888.49874,-Inf,-0.469535161417317,-0.722089471066532
3,South Africa,corn,0.867458182113189,-0.164817054601506,1551917240.71228,443246853.781064,1372864526.63027,0.245852577062792,-0.302469447715496
3,Thailand,corn,-1,0.12,-1146423090.02,0,1146423090.02,-1,-1
3,Ukraine,corn,1.58730158730159,-0.555555555555556,1475602013.40388,3320104530.15873,-Inf,-0.589844551084861,-0.802469135802469
3,United States,corn,1.65780160090494,-0.284312974555196,47553732263.3461,27420204265.5211,38536648224.2531,0.306234806773677,-0.487792081609969
3,Vietnam,corn,-0.0732796537028665,0.0117247445924586,-132835912.820755,1151228.04441159,40041563.2367837,-0.0591317899411886,0.0235869588206756
3,Argentina,soybean,1.36850543430482,-0.0342126358576205,16781625928.7118,5304567073.67139,10379518340.664,0.654644930453714,-0.0672547672629149
3,Brazil,soybean,-0.316764316336886,0.0126705726534755,-12559675966.4525,708759801.539787,1845072328.79475,-0.262006263699745,0.0255016887183178
3,Canada,soybean,1.73206647186052,-0.43301661796513,1258393849.0326,2143130326.68536,-Inf,-0.402027240506511,-0.6785298444963
3,China,soybean,0.404013950282769,-0.0101003487570694,3839591155.40658,409814151.190645,4407267514.98595,0.221032910829267,-0.0200986804691245
3,India,soybean,-0.665203590963404,0.0498902693222553,-2462321851.65849,304586963.755299,-346111099.956243,-0.595946905291619,0.102269577617558
3,Japan,soybean,1.61556389779789,-0.121167292334842,334291793.107226,207198582.960542,-Inf,0.280628300550611,-0.227653071937926
3,United States,soybean,0.606845170157174,-0.19965206098171,14111055303.1271,7549323610.07232,-Inf,-0.298385143633918,-0.359443176509176
3,China,sugarcane,0.0393525653367631,-0.0308406054544213,1690022342.92118,30032874.5169522,3524052265.58414,0.00386061147950408,-0.0607300679640472
4,Argentina,corn,0.217179826096461,-0.0760129391337614,872578795.432336,117327776.579603,1080466622.4154,-0.0675014540140392,-0.14624791135177
4,Australia,corn,0.70660265683202,-0.229645863470407,50882962.5182141,14478769.3664041,52998912.1620444,0.107064139940947,-0.406554504331744
4,Brazil,corn,-0.232480219047671,0.0581200547619177,-3821524618.99495,268870429.098197,805437628.989723,-0.128582425721544,0.119618050289364
4,Canada,corn,-0.0205601030535227,0.00472882370231016,-39866249.0343189,166930.831809572,157131946.028287,-0.0134788247358257,0.00948000917822812
4,China,corn,0.912340157309342,-0.0912340157309342,73909709843.911,9128747922.18897,26210598932.7719,0.604451089083123,-0.174144385835476
4,Egypt,corn,-0.562752861268614,0.188522208524986,-1832301844.88252,239585752.357421,-528174707.662445,-0.433394511479818,0.41258504015711
4,India,corn,-0.365492788866087,0.0913731972165218,-1573262946.68515,117064613.657143,-240521079.078599,-0.273507009419934,0.191095455602613
4,Indonesia,corn,-0.0325700355821212,0.0128325940193558,-194819667.648133,2101805.10891641,694039134.51348,-0.0130050030861483,0.025829863507977
4,Mexico,corn,0.208152291628105,-0.0281005593697942,1077614464.19259,41954207.631007,1003188355.01556,0.138924742533899,-0.0554114773026928
4,Pakistan,corn,-1,0.39,-1013971480.305,0,1013971480.305,-1,-1
4,Russia,corn,1.67891457966163,-0.478490655203563,751116102.634887,1435887748.86205,-Inf,-0.480870401393379,-0.728028003289991
4,South Africa,corn,1.31149908889926,-0.249184826890859,1864614159.31707,1013175203.99557,1895984789.5161,0.148237980530261,-0.43627657582909
4,Thailand,corn,-0.180119123536614,0.0216142948243936,-201646616.380083,4736881.03607757,28517638.4564477,-0.148987378833653,0.0436957673895428
4,Ukraine,corn,1.583629154943,-0.554270204230051,1484109369.32289,3304759299.59792,-Inf,-0.587468748261794,-0.80132494916288
4,United States,corn,0.725445341219306,-0.124413876019111,30615199491.3243,5250672953.38198,19932171348.3663,0.341483290815594,-0.233348939492123
4,Vietnam,corn,0.256728944996413,-0.0410766311994262,435107002.666415,14130066.8411853,181539398.472414,0.189512549955708,-0.0804659727681587
4,Argentina,soybean,0.660982079424012,-0.0165245519856002,9526045226.24476,1237474512.05076,6371518750.51322,0.419187214045935,-0.0327760431528758
4,Brazil,soybean,-0.409899333584051,0.016395973343362,-16550516259.9714,1186809456.14762,529333872.192863,-0.34870030625707,0.0330607746286003
4,Canada,soybean,-0.0147888460560425,0.00369721151401076,-37293595.9785185,156238.495499959,379917140.258554,-0.00767723201290785,0.00740809240100086
4,China,soybean,0.441764707749786,-0.0110441176937449,4154285152.88103,489977641.991635,4596828909.18681,0.236306396535902,-0.0219662628518564
4,India,soybean,-0.38649812155954,0.0289873591169654,-1343732656.83325,102824573.486218,37576380.7555065,-0.312760417272255,0.058814985222507
4,Japan,soybean,1.20065766235869,-0.0900493246769016,294651170.367581,114439748.637966,256633953.705316,0.357735593671298,-0.171989768479037
4,United States,soybean,0.265552283995655,-0.0873667014345703,8624014781.86041,1445613931.67949,24864823717.2478,-0.0881649501824943,-0.167100462349584
4,China,sugarcane,-0.233428397498881,0.182937835119873,-12367260579.3727,1056715752.24645,-7056171622.07513,-0.0781538105258699,0.399341921758093
5,Argentina,corn,-0.261251895948238,0.0914381635818833,-1464203249.74025,169777752.575234,-1299724558.62194,-0.0534064498433424,0.191237264922994
5,Australia,corn,-0.115170278402803,0.0374303404809109,-12645235.2701803,384646.647416956,5337934.39677687,-0.0645051060127615,0.0762617113503386
5,Brazil,corn,-0.196101722776625,0.0490254306941562,-3174801037.06145,191308314.753514,1167385283.68806,-0.104307944211681,0.10045435424306
5,Canada,corn,2.18275396350757,-0.502033411606741,1267801336.36685,1881462445.73981,-Inf,-0.243068610634855,-0.752029276843978
5,China,corn,0.823484238703002,-0.0823484238703001,67862788984.9023,7437178673.12895,24261589283.0101,0.558494145156779,-0.157915584826678
5,Egypt,corn,-0.358776954335381,0.120190279702352,-1081095599.59161,97381092.3741547,-219547341.351869,-0.237833201613465,0.254826262739635
5,India,corn,-0.482001452391372,0.120500363097843,-2150732520.88549,203593873.115943,-444721308.995004,-0.38296793444633,0.255521063702398
5,Indonesia,corn,-0.381167055693888,0.150179819943392,-2697137703.87906,287863560.171105,-687329667.499744,-0.23470282018274,0.322913618205013
5,Mexico,corn,0.277598225222287,-0.0374757604050086,1411373572.13704,74618497.5907696,1137678340.41613,0.179967376943783,-0.0735470881920836
5,Pakistan,corn,-0.218102587640015,0.0850600091796058,-206454791.796207,13521481.4933897,-5200302.26046598,-0.113006145873137,0.177355223520846
5,Russia,corn,1.6774054497737,-0.478060553185504,752348133.843356,1433307549.43794,-Inf,-0.480013769534221,-0.727579213858978
5,South Africa,corn,1.02881645729008,-0.195475126885115,1703276785.87815,623482648.500382,1562959137.37298,0.227883526096212,-0.352739728539478
5,Thailand,corn,-0.918904856431007,0.110268582771721,-1171904130.73929,123286045.192789,-187217716.39942,-0.903195504381914,0.232696325889926
5,Ukraine,corn,1.58730155787847,-0.555555545257465,1475602081.78535,3320104407.07208,-Inf,-0.589844532077681,-0.802469126648611
5,United States,corn,1.60747081557375,-0.275681244870898,47282952148.6446,25780525762.55,37532334774.2045,0.321755098243969,-0.475362340968228
5,Vietnam,corn,-0.209404180997832,0.033504668959653,-389777437.857907,9400809.26457513,-18324570.2840672,-0.174913749752319,0.0681319007614021
5,Argentina,soybean,-0.795114465929421,0.0198778616482355,-14976049956.6323,1790672657.83026,-1877020773.64096,-0.759236039001028,0.0401508526801774
5,Brazil,soybean,-0.345758300685103,0.013830332027404,-13787550711.1359,844445846.092709,1435468064.52729,-0.288524572226772,0.0278519421387965
5,Canada,soybean,1.57005109655808,-0.392512774139519,1402099016.0388,1760950081.39297,-Inf,-0.313540309554198,-0.630959270416337
5,China,soybean,0.398739736635137,-0.00996849341587866,3795025075.30312,399184126.935165,4380783614.80907,0.218825828826429,-0.0198376159707749
5,India,soybean,-0.509702685287428,0.0382277013965572,-1822755107.23796,178828191.658896,-132036539.902477,-0.431988058745911,0.0779167599471786
5,Japan,soybean,0.565061730648206,-0.0423796297986153,171987210.565206,25347217.5436238,155720375.424201,0.282935733809247,-0.082963226575363
5,United States,soybean,0.588421376880719,-0.193590632993756,13975595317.2686,7097887744.91456,-Inf,-0.287717552840537,-0.34970393280459
5,China,sugarcane,-0.111323203411604,0.0872439945136744,-5397934614.28054,240337862.439081,-2320136240.94087,-0.0254765236035332,0.182099503606051
6,Argentina,corn,0.573784838989991,-0.200824693646497,1626699690.46859,818954957.316569,2544936026.84689,-0.298152560126137,-0.361318829714785
