Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
11,Brazil,soybean,0.0290164935858279,-0.0281343921808186,1043071782.78781,20496112.8558645,1412721547.16,-369649764.372185,-1063567895.64368,-0.0119795186716033,-0.0554772403382532,19171247328.7954,19171247328.7954,86760520
11,China,soybean,0.0429698506621582,-0.0416635672020287,430890477.937489,13853272.7774725,644790361.799999,-213899883.86251,-444743750.714963,-0.0261107979527736,-0.0815912815720594,5450873452.9703,5450873452.9703,12154000
11,United States,soybean,0.0615072256061149,-0.0596374059476889,2240540054.98614,125601569.559874,4084124046.31,-1843583991.32386,-2366141624.54601,-0.0718061192335041,-0.115718191707208,20447447282.3845,20447447282.3845,106877870
12,Argentina,corn,0.00718735026353616,-0.00696885481552469,33731270.0020608,204325.530675611,56856984.3360004,-23125714.3339396,-33935595.5327363,-0.00750895021275784,-0.0138891446936094,2443317877.47525,2443317877.47525,33087165
12,Brazil,corn,0.00863557858376524,-0.00837305699481847,126931970.427219,769429.639512965,178199904.5112,-51267934.0839806,-127701400.06673,-0.00437011137160744,-0.0166760059061987,7657792926.25825,7657792926.25825,79881614
12,China,corn,0.0254638050200074,-0.024689705347399,2362623268.89533,33971705.3367044,2668234799.16001,-305611530.264679,-2396594974.23203,-0.00342998414091614,-0.0487698291446568,49140934390.4703,49140934390.4703,215646300
12,Mexico,corn,0.0100874243443174,-0.00978076664425007,54430144.5342073,330176.617129789,65463017.2896004,-11032872.755393,-54760321.1513371,-0.00227239502643286,-0.019465869892351,2813145338.69637,2813145338.69637,23273257
12,United States,corn,0.0161482236953937,-0.0156573176950537,836570864.963834,8087569.95786182,1001666822.36001,-165095957.396172,-844658434.921696,-0.00349314374123532,-0.0310694837927036,27186110994.2244,27186110994.2244,361091140
12,Argentina,soybean,0.0248138957816375,-0.0240595533498759,396018712.391595,6519026.24813889,525433515.6,-129414803.208405,-402537738.639734,-0.00938289544709156,-0.047540244592356,8467304745.51361,8467304745.51361,53397715
12,Brazil,soybean,0.024434941967013,-0.0236921197312156,883119196.466166,14534639.5875383,1189660250.24,-306541053.77383,-897653836.053699,-0.00993430709616024,-0.0468229229250731,19171247328.7954,19171247328.7954,86760520
12,China,soybean,0.0591715976331358,-0.057372781065089,581251778.517976,26269468.6153845,887908039.2,-306656260.682024,-607521247.133364,-0.0374335858394769,-0.111453926123035,5450873452.9703,5450873452.9703,12154000
12,United States,soybean,0.0197061984951632,-0.0191071300609099,761026228.613603,12892837.1430582,1308505762.41,-547479533.796398,-773919065.756653,-0.0213238891564997,-0.0378491777026556,20447447282.3845,20447447282.3845,106877870
13,Argentina,corn,-0.00059894585529463,0.000580737901293574,-2840097.54487311,1418.92729635809,-4738082.02799927,1897984.48312616,2838678.6175766,0.000616278086920112,0.00116181305909728,2443317877.47525,2443317877.47525,33087165
13,Brazil,corn,-0.000719631548646874,0.000697754749568206,-10695594.3184054,5343.2613855045,-14849992.042599,4154397.72419357,10690251.0570211,0.000354123509383837,0.00139599636082672,7657792926.25825,7657792926.25825,79881614
13,China,corn,0.060931247726446,-0.0590789377955621,5440356770.42519,194514011.806716,6384704697.99,-944347927.564804,-5634870782.23191,-0.0105987441385115,-0.114667554700072,49140934390.4703,49140934390.4703,215646300
13,Mexico,corn,-0.000840618695359801,0.000815063887020906,-4589948.09662282,2292.89317451241,-5455251.44080007,865303.344177246,4587655.2034483,0.000178222939687484,0.00163079210318165,2813145338.69637,2813145338.69637,23273257
