Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus
1,Argentina,corn,0.258283978856926,-0.243962209263777,1082053416.66807,-7559637.48604831,1201792410.20175,-0.266189351343771,-0.73565542555977
1,Australia,corn,0.209129319778988,-0.221529845592022,21263567.2926086,-1830129.19463502,22312300.3486077,-0.098691146392423,-0.60217951109105
1,Brazil,corn,-0.254369988756976,-0.0899703194746083,-4464897378.63593,857431666.125706,326985927.85923,-0.313677790203726,0.326368240963805
1,Canada,corn,1.46692638717036,-0.490955885713034,1682982129.06033,449141499.029366,1298132987.11033,0.0605655708094728,-1.72655269147348
1,China,corn,-0.238448407103295,-0.129717975953523,-25112886125.7066,3847595524.79944,-705334658.852814,-0.340957310046853,0.0195750904957682
1,Egypt,corn,-1,0.234111451852422,-1906194366.6898,0,1906194366.6898,-1,-1
1,India,corn,-0.977591608575002,0.0908350854798983,-5259502300.10071,1365578728.08198,-1380201680.41105,-0.974772898642475,2.00880491624311
1,Indonesia,corn,-0.492369174019035,0.0404306378996478,-3844048804.35864,890740600.341347,-1231183531.54846,-0.464453918664488,1.49249347012884
1,Mexico,corn,-0.671111926032275,-0.0629627066494947,-4501000868.29332,955172455.312554,-795362431.487174,-0.681519858214578,0.547797594538356
1,Pakistan,corn,-0.398785735783141,0.00196362029157325,-431884608.622908,93178027.0347017,-122812976.039522,-0.393258701344648,1.12305593556428
1,Russia,corn,1.2468593448377,-0.508917729942597,1102454285.40081,489261026.207521,1505661872.1556,-0.26916015649465,-1.76437454641006
1,South Africa,corn,0.31575503308794,-0.213556272950561,760435012.663466,-53482356.591769,678910912.606401,-0.0408825287412389,-0.552991361876436
1,Thailand,corn,-1,0.0191114518524214,-680823901.1015,0,680823901.1015,-1,-1
1,Ukraine,corn,1.19294101798804,-0.571092172959667,2397689874.32608,1167769508.79962,3656231912.792,-0.336949065992072,-1.85944907176821
1,United States,corn,0.257844323207681,-0.197783118093969,13513007462.6881,-1263903510.27971,9676166612.42754,-0.0363691715722766,-0.452993710397664
1,Vietnam,corn,-1,0.0591114518524216,-1160359209.1713,0,1160359209.1713,-1,-1
1,Argentina,soybean,0.288705132036442,-0.232240163612375,7888429722.15656,-3698414854.78087,273208674392.203,0.0310033494150405,-0.22828201709565
1,Brazil,soybean,-0.900059999248344,-0.18902013534153,-63793547781.1753,33494564210.8876,605528370363.708,-0.90719580619776,-0.20987529352367
1,Canada,soybean,0.754113879811663,-0.413551005264379,2661955976.181,-1162589956.02541,22311426528.7256,0.164695235746297,-0.334577911205141
1,China,soybean,-0.476711665012539,-0.21310474368615,-9255753075.23694,4753234700.73015,64205974629.3413,-0.535341404518944,-0.21980335346879
1,India,soybean,-1,-0.0877406153013129,514275986.25,0,-514275986.25,-1,-1
1,Japan,soybean,0.585288088384173,-0.268919141940275,326869018.135231,-146124335.196199,876664564.535688,0.179602010041254,-0.245996307054488
1,United States,soybean,-0.0715675347321965,-0.201476816384571,-5012192157.91202,2460291276.92445,437568478016.914,-0.2221848782069,-0.214906675268869
1,China,sugarcane,0.074555594829892,-0.0584292196681863,3105284790.59668,107798143.936926,4889455223.65488,0.00503666203852095,-0.113444465625339
2,Argentina,corn,0.231168245532094,-0.213306602429725,1019588642.5965,-41111265.5866186,904647182.397306,-0.219254990335235,-0.671223770564983
2,Australia,corn,0.176559464982843,-0.189779542612928,18727535.822177,-2027761.28753686,16844942.4705554,-0.080001276616004,-0.524253854873252
2,Brazil,corn,-0.494606671402762,-0.0087460486428019,-9696875913.92673,2384090228.1706,-2571751829.97197,-0.468658364732959,0.873053982644283
2,Canada,corn,1.69543542215039,-0.522347863588081,1796809608.66707,616180740.656858,1412645942.34818,0.0547027683944913,-1.86235161073824
2,China,corn,0.171515089152304,-0.149549225408723,17410312112.6373,-2276453697.96618,5021369022.24844,-0.0251366098814864,-0.254488175353808
2,Egypt,corn,-0.858171894051259,0.155089868013679,-3301556175.75668,909841490.031987,-1109126104.19761,-0.83064431472887,2.54411142228678
2,India,corn,-1,0.230342732478821,-2646137604.63,0,2646137604.63,-1,-1
2,Indonesia,corn,-0.740775994896865,0.159468025495872,-6481800632.73653,1779290292.40035,-2416856857.37946,-0.689604967894047,2.59406511595844
2,Mexico,corn,-0.709123198584181,-0.036666084684628,-4899131135.58691,1101606157.22065,-1055778268.20841,-0.709013966899071,0.626798143300717
2,Pakistan,corn,-0.577712851783417,0.0929102957020401,-685728840.77359,172760594.448675,-253588900.44481,-0.527875941906521,1.86443149162045
2,Russia,corn,1.31852679983953,-0.508177854447758,1157175121.95412,526864613.517,1520044069.34155,-0.253841037109817,-1.83779651419297
2,South Africa,corn,0.0800051445973698,-0.147598693966993,213834067.828492,-28094812.0286852,315344314.033461,-0.111540168964177,-0.240816917358287
2,Thailand,corn,-1,0.100342732478821,-680823901.1015,0,680823901.1015,-1,-1
2,Ukraine,corn,1.24729454662273,-0.568950807811447,2512521585.42073,1220976157.30795,3656231912.792,-0.318378008578866,-1.92273395428641
2,United States,corn,0.99168730453242,-0.302472089220803,42869686208.4437,1504598925.84504,22514205807.9275,0.227538846863552,-1.15593699487234
2,Vietnam,corn,-0.746485022819576,-0.0129601128423601,-1656359369.61153,331374295.44485,-341143767.088076,-0.751448637532232,0.835167072986363
2,Argentina,soybean,0.289533363865766,-0.1985108785088,8140309984.15664,-3858099035.50641,288423954269.737,0.0647423290515959,-0.194366988482958
