Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original
3,Brazil,soybean,-0.0400894736842104,0.00160357894736839,-1502949043.32621,11352389.4859105,-566352632.879878,-936596410.446335,1491596653.84033,-0.0303529861726128,0.00320972936017734,464711035250,464711035250
3,Canada,soybean,0.468842105263158,-0.117210526315789,949273780.90923,157026404.540657,669847706.841599,279426074.06763,-1106300185.44989,0.132712866904102,-0.220682745152354,5013079680,5013079680
3,China,soybean,0.351894736842105,-0.00879736842105266,3392741377.90246,310899319.18549,1767001814.09641,1625739563.80605,-3703640697.08798,0.19843517469395,-0.0175173431509697,211427079162,211427079162
3,India,soybean,-0.403172413793104,0.0302379310344828,-1407129206.31884,111888063.989602,-555038292.114,-852090914.204844,1295241142.32924,-0.328344088512514,0.0613901945422117,21098502000,21098502000
3,Japan,soybean,0.273595505617978,-0.0205196629213482,90671358.532052,5942325.25622472,43438763.68,47232594.852052,-96613683.7882767,0.162433540414043,-0.0406182692762908,2378577066.66667,2378577066.66667
3,United States,soybean,0.139042553191489,-0.0457449999999998,4990848295.0044,396321570.945234,5700723438.23289,-709875143.228497,-5387169865.94962,-0.0276490680193869,-0.0893973949749999,60260926702.1277,60260926702.1277
4,Argentina,corn,0.00524740952380942,-0.0018365933333334,24771331.5790149,68493.8844769209,26105789.596234,-1334458.01721907,-24839825.4634924,-0.000433300293673848,-0.00366981359159464,6768688611.42857,6768688611.42857
4,Australia,corn,0.255884684684684,-0.0831625225225223,23729418.9323313,1898758.38322828,14840734.8846848,8888684.04764657,-25628177.3155596,0.0961116577039155,-0.159409039892736,160769912,160769912
4,Brazil,corn,-0.0924644776119403,0.023116119402985,-1431499586.94975,42532495.8987098,-919974827.029519,-511524759.920233,1388967091.05104,-0.0436026965027379,0.046766593782223,29699984085.2,29699984085.2
4,Canada,corn,1.59035853658537,-0.365782463414634,1504471872.95777,998794338.462864,1256061844.52892,248410028.428853,-2503266211.42064,0.141708405077564,-0.59776811628759,4187687739.13043,4187687739.13043
4,China,corn,0.64806956521739,-0.0648069565217391,55195821403.3074,4606179791.82038,14215078254.0614,40980743149.2459,-59802001195.1278,0.459587731115311,-0.125413971429868,476836834950,476836834950
4,Egypt,corn,-0.442246153846154,0.148152461538462,-1376530245.03357,147963192.601047,-669144056.151676,-707386188.881894,1228567052.43252,-0.312571105963821,0.318254074936828,3860334082.68657,3860334082.68657
4,India,corn,-0.0924906521739129,0.0231226630434782,-363972539.446683,7496588.87582566,-162104790.043638,-201867749.403045,356475950.570858,-0.0591975497614025,0.0467799836331788,7620266680,7620266680
4,Indonesia,corn,-0.0360974777448069,0.014222406231454,-216319043.908451,2581723.2860968,-143041755.124745,-73277288.7837057,213737320.622355,-0.0144925519106507,0.0286470893019204,7461048428.68021,7461048428.68021
4,Mexico,corn,-0.0294507042253526,0.00397584507042261,-161820233.633745,839855.36002934,-57034653.8135657,-104785579.820179,160980378.27372,-0.0215822511239301,0.00796749748486943,20204634965.9259,20204634965.9259
4,Pakistan,corn,0.083599402985075,-0.0326037671641792,67792102.7610293,1986593.42435753,47526497.8797085,20265604.8813208,-69778696.1853867,0.0277717524301868,-0.0641445286950623,1087835511.53846,1087835511.53846
4,Russia,corn,0.906040336134454,-0.258221495798319,932922508.176594,418175277.777268,923083136.809069,9839371.36752534,-1351097785.95386,0.00680039789975715,-0.449764650704317,3004010617.19298,3004010617.19298
4,South Africa,corn,0.0225276595744679,-0.00428025531914896,56047483.4167581,298937.718368934,26539616.0999995,29507867.3167586,-56346421.135128,0.0136885884620001,-0.00854219005270086,6596250000,6596250000
4,Thailand,corn,-0.422425925925926,0.0506911111111111,-494500342.178756,26053972.9059724,-123354042.954935,-371146299.223822,468446369.272783,-0.370991827232788,0.103951810967901,4506380070.83333,4506380070.83333
4,Ukraine,corn,0.404807936507936,-0.141682777777778,1357540914.33649,215938904.21178,1066870902.15953,290670012.176956,-1573479818.54827,0.0807940679449161,-0.263291546036728,5976188154.28572,5976188154.28572
4,United States,corn,0.613875825627477,-0.105279704095112,26899702154.7087,3759816407.98116,12249436289.9469,14650265864.7618,-30659518562.6898,0.30997418301481,-0.19947559209587,153700601865.889,153700601865.889
4,Vietnam,corn,0.0692583333333334,-0.0110813333333334,122019033.113907,1028344.46901296,29695905.7349431,92323127.3789637,-123047377.58292,0.0538301979021989,-0.0220398707182223,5582944616.875,5582944616.875
