Scenario,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus
1,Argentina,corn,0.378523555930254,-0.407233240677045,1150337801.42552,277956404.057047,2728628465.19537,-0.558566939116139,-0.972209237451593
1,Australia,corn,0.220752148005864,-0.34649444420337,18668042.0866762,404067.418869107,43475493.0522861,-0.263691361208574,-0.683799447312423
1,Brazil,corn,-0.0548930573588864,-0.261026731761735,-759419662.386823,50647663.9434386,5223274913.72765,-0.354160188347873,-0.188068994351507
1,Canada,corn,1.31599362731783,-0.577428530384558,1230131076.81731,573011245.964454,1556617721.00502,-0.221601768427934,-1.49759625019073
1,China,corn,1.04482483153941,-0.379232479255398,73134559271.9232,7613855904.46079,46141014537.7546,0.138992619591854,-0.845846378742533
1,Egypt,corn,-1,0.174635081678186,-1906194366.6898,0,1906194366.6898,-1,-1
1,India,corn,-1,0.0896350816781861,-2646137604.63,0,2646137604.63,-1,-1
1,Indonesia,corn,-0.475414259431073,-0.087436777885614,-3242991268.56458,570082814.267276,-11258809.6945133,-0.524686601347309,1.14231253117672
1,Mexico,corn,-1,-0.0253649183218138,-3474995167.7896,0,3474995167.7896,-1,-1
1,Pakistan,corn,0.0634881967289227,-0.299510392825736,47013797.324015,-1210703.61587132,306356263.141364,-0.307959001449136,-0.424290253076598
1,Russia,corn,0.86949635321942,-0.522556456768991,779831670.189869,319996863.051083,1456923503.50525,-0.379432387375531,-1.37373339645707
1,South Africa,corn,-0.998048944995668,-0.0851206965522797,-3091391727.36511,696179758.119538,-377411946.779714,-0.998101405081957,1.16299384650405
1,Thailand,corn,-0.97214263749725,-0.158092879601787,-1152269661.06719,183976684.341628,-9695160.32698035,-0.976120423137928,0.548485947924804
1,Ukraine,corn,0.881716330499196,-0.583350711776175,1749560367.67028,863103499.044001,3656213127.7475,-0.441289194146663,-1.50837422638937
1,United States,corn,-0.0712754269749461,-0.262526260375253,-3479411474.95612,215053565.266789,13445345932.5989,-0.342927457497222,-0.197672417942248
1,Vietnam,corn,-0.951079337706058,-0.122577302068487,-1863253106.76512,268247870.509048,-17409532.4057326,-0.957839496532915,0.83799662418989
1,Argentina,soybean,0.432453309423645,-0.381936813080494,10140288585.711,-4395520518.03917,202309751402.563,-0.0338181548666062,-0.377163893962346
1,Brazil,soybean,-0.750083395805423,-0.341122144512686,-46445717108.5072,23316180151.9978,466541311729.775,-0.800124051617393,-0.35524252563454
1,Canada,soybean,0.511059728464393,-0.498890412461,1663391879.05709,-701937515.40358,19520464035.4752,-0.0849094706764336,-0.453158817864824
1,China,soybean,-0.0167234330979831,-0.370707394517452,-267346896.161739,123326121.564562,43177072206.1058,-0.30264057347669,-0.370895321888645
1,India,soybean,-1,-0.187208793108447,514275986.25,0,-514275986.25,-1,-1
1,Japan,soybean,-0.214305093584841,-0.355052598326038,-119567909.244322,56680601.9193545,920076805.75869,-0.416013602139389,-0.362457000822808
1,United States,soybean,-0.266180939154376,-0.283551951363113,-17831401700.7891,8773255619.83118,408266562657.113,-0.418617101692766,-0.328367582756862
1,China,sugarcane,0.074555594829892,-0.0584292196681863,3105284790.59668,107798143.936926,4889455223.65488,0.00503666203852095,-0.113444465625339
2,Argentina,corn,0.471585467178471,-0.385073676944437,1447670473.47675,356533795.31317,2771155675.51039,-0.515222962667905,-1.11526512348022
2,Australia,corn,0.00786779172542251,-0.222575795742741,801259.861244479,-70571.6850011603,21875280.511475,-0.247342431238908,-0.236877226026586
2,Brazil,corn,-0.0547611888964021,-0.206328466207872,-815803930.224854,86494197.352366,3909636405.32393,-0.289998451149795,-0.128158687819944
2,Canada,corn,1.57081589153182,-0.58130641848429,1438361504.41804,708064971.19807,1587300836.96713,-0.157605553221186,-1.66957132676679
2,China,corn,1.47064682914293,-0.367083446346265,103134272228.916,11375402030.3188,47036528853.8455,0.379018442003432,-1.03672137637716
2,Egypt,corn,-1,0.26560051758056,-1906194366.6898,0,1906194366.6898,-1,-1
2,India,corn,-1,0.18060051758056,-2646137604.63,0,2646137604.63,-1,-1
2,Indonesia,corn,-0.386812186359185,-0.0676147620064532,-2693924162.53522,496621207.348287,-180765718.47963,-0.431159024950774,0.954681936844634
2,Mexico,corn,-1,0.0656005175805603,-3474995167.7896,0,3474995167.7896,-1,-1
2,Pakistan,corn,0.0940211342189643,-0.256687005777368,74048115.4888994,-4509075.27468977,248579543.035876,-0.234207787066029,-0.452773200098501
2,Russia,corn,0.713488776642988,-0.423363064775224,811295788.231846,151790424.381673,1146360338.34189,-0.214859857970547,-1.26693022104858
