Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
11,Argentina,corn,-0.0304070862483036,-0.0392849603738125,-139944710.412623,-1296641.4198924,85285476.5040003,-225230186.916624,326293671.633063,-0.0731325413583001,-0.0498601110980617,-6544182603.0297,-6544182603.0297,33087165
11,Brazil,corn,-0.0373402980964507,-0.0336829252005093,-540173957.715307,-4990528.16640545,267299856.766801,-807473814.482107,958771023.876144,-0.0688295825059607,-0.0467450733384987,-20510632573.6901,-20510632573.6901,79881614
11,China,corn,0.00228796795048933,-0.0657025641664364,203828895.443312,7200516.81345724,6294246221.34001,-6090417325.8967,8552429095.57591,-0.0683023504517816,-0.0649287222254668,-131720274208.96,-131720274208.96,215812100
11,Mexico,corn,-0.0446049475315569,-0.0278130884569426,-237757327.295136,-2189980.83859502,98194525.9344006,-335951853.229537,327845775.568356,-0.0691946093574346,-0.0435112926297194,-7534728475.16436,-7534728475.16436,23273257
11,United States,corn,0.00901094969217621,-0.0711347334137195,440815342.208696,17339362.1620101,3848509370.12,-3407694027.9113,4959066313.67316,-0.0721008875891432,-0.0681047485499564,-72815279686.9307,-72815279686.9307,361091140
11,Argentina,soybean,-0.0386978357276468,-0.050383307432847,-607330774.883629,-12072801.7992902,623952299.774999,-1231283074.65863,1857974530.68002,-0.0892710885376138,-0.0601505684541435,-30888727711.6337,-30888727711.6337,53397715
11,Brazil,soybean,-0.0380236574048656,-0.0509280435176543,-1350746667.6283,-26858420.0588418,1412721547.16,-2763468214.7883,4232544383.19379,-0.0895577984032114,-0.0605196379374196,-69936710255.4455,-69936710255.4455,86760520
11,China,soybean,-0.0164158654219286,-0.0683871394398678,-162311136.124622,-5292906.67906411,644852591.4441,-807163727.568722,1440829980.53646,-0.0985211154680541,-0.0724519193497983,-19886705465.7327,-19886705465.7327,12155173
11,United States,soybean,0.014110271843499,-0.0930522583503331,504650882.609157,28814050.2680025,4084124046.31,-3579473163.70084,6687263952.69018,-0.139417611562824,-0.0896508762518201,-74592287686.1386,-74592287686.1386,106877870
12,Argentina,corn,-0.0140789026217509,-0.0218552318352256,-65577805.0874739,-400241.972916482,56856984.3359999,-122434789.423474,175649177.278615,-0.0397547390240438,-0.0268405067421707,-6544182603.0297,-6544182603.0297,33087165
12,Brazil,corn,-0.017289075857981,-0.019261411860352,-252729570.226309,-1540455.83348956,178199904.511201,-430929474.737511,520962448.120533,-0.0367327030347348,-0.0253996285218816,-20510632573.6901,-20510632573.6901,79881614
12,China,corn,-0.0055767432341157,-0.0287249766204351,-516755032.159725,-7445750.46063677,2670286275.72001,-3187041307.87973,4041942920.40163,-0.0357417892185338,-0.0306858070610262,-131720274208.96,-131720274208.96,215812100
12,Mexico,corn,-0.0206527092933838,-0.0165435960445443,-111057779.698895,-675994.332774932,65463017.2895998,-176520796.988495,180052417.165538,-0.0363572561772314,-0.0238963378387182,-7534728475.16436,-7534728475.16436,23273257
12,United States,corn,-0.0140206750281777,-0.0219022797308329,-724043593.378325,-7022022.50140858,1001666822.36,-1725710415.73833,1956306108.60864,-0.0365130354067696,-0.0268666977181133,-72815279686.9307,-72815279686.9307,361091140
12,Argentina,soybean,-0.0229321185076337,-0.0393382779224428,-363109855.044651,-6024651.82381089,525433515.6,-888543370.644651,1395973492.76527,-0.0644216066498926,-0.045193622275336,-30888727711.6337,-30888727711.6337,53397715
12,Brazil,soybean,-0.0225326042479189,-0.0396610854442923,-807677029.199086,-13403071.8040691,1189660250.24,-1997337279.43908,3175999948.25993,-0.0647292154322561,-0.0454124870423488,-69936710255.4455,-69936710255.4455,86760520
12,China,soybean,0.0207731083651737,-0.0746521012356718,202179890.035513,9223195.0162052,887993732.4804,-685813842.444887,1382981205.28925,-0.0837093422974089,-0.0695430023677027,-19886705465.7327,-19886705465.7327,12155173
12,United States,soybean,-0.0164358424828889,-0.0445872689504368,-626426769.332509,-10753197.2994616,1308505762.41,-1934932531.74251,3637191895.70213,-0.0753640716869738,-0.0487609645518089,-74592287686.1386,-74592287686.1386,106877870
13,Argentina,corn,-0.0177504999057019,-0.0114253499339915,-83664921.2964841,42051.6622956051,-4738082.02799901,-78926839.2684851,116340783.61013,-0.0256276497218338,-0.0177777410361791,-6544182603.0297,-6544182603.0297,33087165
13,Brazil,corn,-0.0217978451610743,-0.00815509496765121,-322539782.840605,161848.913593875,-14849992.042599,-307689790.798006,327795176.818165,-0.0262276738417286,-0.0159817195125733,-20510632573.6901,-20510632573.6901,79881614
13,China,corn,0.0439576184884871,-0.0612855095964966,3923228059.41841,140436098.202331,6389613588.33,-2466385528.91159,6104941138.66466,-0.0276598334285935,-0.0463477712548625,-131720274208.96,-131720274208.96,215812100
13,Mexico,corn,-0.0260386710678978,-0.00472850763493748,-141782685.26952,71023.7489298312,-5455251.44079998,-136327433.82872,106315933.712752,-0.0280787959280423,-0.0141101214281558,-7534728475.16436,-7534728475.16436,23273257
13,United States,corn,-0.0234165062638413,-0.00684721679661516,-1229041016.19772,-1234501.96947758,105438612.879998,-1334479629.07772,1111606539.55096,-0.0282352713999705,-0.0152661164570172,-72815279686.9307,-72815279686.9307,361091140
13,Argentina,soybean,-0.0304938744320064,-0.0117580398182419,-497258891.421622,-500703.238971029,32839594.724998,-530098486.14662,610598865.543285,-0.0384334600746218,-0.0197676923194643,-30888727711.6337,-30888727711.6337,53397715
13,Brazil,soybean,-0.0299626222642006,-0.0121872915698283,-1106015164.9957,-1113916.89689615,74353765.6399992,-1180368930.6357,1402509712.76225,-0.0382531060663508,-0.0200539846332427,-69936710255.4455,-69936710255.4455,86760520
13,China,soybean,0.0275062874727332,-0.05862217063727,271933017.751564,10322643.8836368,750566131.025099,-478633113.273536,1028935530.06387,-0.0584211933825302,-0.0517398687196759,-19886705465.7327,-19886705465.7327,12155173
13,United States,soybean,0.00105942474599969,-0.0372531055540702,40427365.8352274,798151.645897772,1506764211.26,-1466336845.42477,2758572839.89168,-0.0571126451816508,-0.0369820114848723,-74592287686.1386,-74592287686.1386,106877870
14,Argentina,corn,-0.0271047643824448,-0.0379733350677115,-124766208.195909,-1220033.67143955,90023558.5320008,-214789766.72791,310278382.099666,-0.069742523032152,-0.0474128551908101,-6544182603.0297,-6544182603.0297,33087165
14,Brazil,corn,-0.0332850038181814,-0.0329797016036363,-481435725.31652,-4695679.39746013,282149848.809401,-763585574.125921,915424925.777149,-0.0650885209303912,-0.0446317256422118,-20510632573.6901,-20510632573.6901,79881614
14,China,corn,-0.0094605380476828,-0.0522298699461989,-855658236.424088,-23006778.3998638,4863735716.49001,-5719393952.91409,7307284504.07751,-0.0641414256594023,-0.055475776587629,-131720274208.96,-131720274208.96,215812100
14,Mexico,corn,-0.0397606854948699,-0.0277473508088714,-211834680.595399,-2060593.09991431,103649777.3752,-315484457.970599,314511759.528749,-0.0649790248744439,-0.0417416182368653,-7534728475.16436,-7534728475.16436,23273257
14,United States,corn,0.0158876998140626,-0.0727112461384891,775309099.206584,31828363.5747232,4006667289.44,-3231358190.23341,4906146518.74018,-0.0683699275011145,-0.0673779808281196,-72815279686.9307,-72815279686.9307,361091140
14,Argentina,soybean,-0.0316741310981612,-0.0501357219514116,-496643794.295915,-10401656.2853013,656791894.5,-1153435688.79592,1795632707.43201,-0.0836269592396465,-0.058132297458005,-30888727711.6337,-30888727711.6337,53397715
14,Brazil,soybean,-0.0311223169675314,-0.0505815877689607,-1104627890.63359,-23140614.6197763,1487075312.8,-2591703203.43359,4086762987.81715,-0.0839912801500572,-0.0584351619183995,-69936710255.4455,-69936710255.4455,86760520
14,China,soybean,-0.0299907948161569,-0.0514958576672708,-302856276.125766,-6023822.84224058,401711450.407801,-704567726.533567,1174441399.35914,-0.0859984114374961,-0.0590566095215143,-19886705465.7327,-19886705465.7327,12155173
14,United States,soybean,0.0186857766829304,-0.090826527438534,668746929.551492,38527976.247439,4123775736.08,-3455028806.52851,6438144868.50069,-0.134570603565843,-0.0863111330703573,-74592287686.1386,-74592287686.1386,106877870
