Year,Country,Crop,Percent_Price_Change,Percent_Quantity_Change,Welfare_Transfer_to_Producer,Welfare_lost_by_Consumer,Welfare_lost_by_Producer,Change_in_Producer_Surplus,Change_in_Consumer_Surplus,Percent_Change_in_Producer_Surplus,Percent_Change_in_Consumer_Surplus,Producer_Surplus_Original,Consumer_Surplus_Original,Quantity_Original
2,Mexico,corn,0.0359922178988328,-0.0290817120622568,189859138.855296,3632412.0731786,201844303.3096,-11985164.4543037,-193491550.928475,-0.00246853459663322,-0.0573176781480417,3375774406.43564,3375774406.43564,23273257
2,United States,corn,0.171428571428572,-0.138514285714286,7625406555.81865,786270798.905143,9173159320.56,-1547752764.74135,-8411677354.72379,-0.0327477605654642,-0.257842364081633,32623333193.0693,32623333193.0693,361091140
2,Argentina,soybean,0.0478723404255317,-0.0386808510638297,749628046.224281,21223461.4845079,886669057.574998,-137041011.350718,-770851507.70879,-0.00993581452499527,-0.0758654938886372,10160765694.6163,10160765694.6163,53397715
2,Brazil,soybean,0.0470383275261325,-0.0380069686411149,1668290331.36025,47215936.5431708,2007551672.28,-339261340.919754,-1715506267.90342,-0.0109946981164833,-0.0745694076169434,23005496794.5545,23005496794.5545,86760520
2,China,soybean,0.162162162162162,-0.131027027027027,1426971899.37589,174839034.745946,2156348095.2,-729376195.824105,-1601810934.12184,-0.0890350856523481,-0.244885972242513,6541048143.56436,6541048143.56436,12154000
2,United States,soybean,0.16787838730998,-0.135645736946464,5359791799.48201,845396040.053312,10071529201.58,-4711737402.098,-6205187839.53531,-0.183518396386734,-0.252891707941179,24536936738.8614,24536936738.8614,106877870
3,Argentina,corn,0.0218832891246684,-0.0176816976127321,101057357.595476,1710799.51209947,156356706.924,-55299349.3285241,-102768157.107575,-0.0179557723021935,-0.0350507527949961,2931981452.9703,2931981452.9703,33087165
3,Brazil,corn,0.026872964169381,-0.0217133550488601,388146257.954932,6584544.51726035,490049737.405802,-101903479.450871,-394730802.472193,-0.00868631752598286,-0.042955240310242,9189351511.5099,9189351511.5099,79881614
3,China,corn,0.0778251599147119,-0.0628827292110874,6912406482.81471,270694167.771923,6956469297.80998,-44062814.9952698,-7183100650.58664,-0.000494532246564798,-0.12181122078914,58969121268.5643,58969121268.5643,215646300
3,Mexico,corn,0.0321011673151752,-0.0259377431906615,169959352.244006,2889478.99758329,180023297.5464,-10063945.3023939,-172848831.241589,-0.00207282905898407,-0.0512027198594985,3375774406.43564,3375774406.43564,23273257
3,United States,corn,0.182266009852217,-0.147270935960591,8012552277.54079,888826730.497047,9753071691.40001,-1740519413.85922,-8901379008.03783,-0.0368263680886586,-0.272853143342474,32623333193.0693,32623333193.0693,361091140
